Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_age,HOST,host_subject_id,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR25213826,WXS,598,95849455,PRJNA991269,SAMN36291088,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",64159394,SAN PABLO CEU,2019,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",ENVO:01001029,ENVO:01001033,collection kit,SRX20960507,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 31,Illumina MiSeq,40.41 N 3.70 W,Gran 31,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:39:00Z,1,AA 031,SRP447710
SRR25213827,WXS,598,99885182,PRJNA991269,SAMN36291087,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",67526756,SAN PABLO CEU,2019,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",ENVO:01001029,ENVO:01001033,collection kit,SRX20960506,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 30,Illumina MiSeq,40.41 N 3.70 W,Gran 30,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:39:00Z,1,AA 030,SRP447710
SRR25213828,WXS,598,103206046,PRJNA991269,SAMN36291086,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",69445749,SAN PABLO CEU,2019,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",ENVO:01001029,ENVO:01001033,collection kit,SRX20960505,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 29,Illumina MiSeq,40.41 N 3.70 W,Gran 29,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:38:00Z,1,AA 029,SRP447710
SRR25213829,WXS,598,77372074,PRJNA991269,SAMN36291085,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",53564186,SAN PABLO CEU,2019,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",ENVO:01001029,ENVO:01001033,collection kit,SRX20960504,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 28,Illumina MiSeq,40.41 N 3.70 W,Gran 28,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:39:00Z,1,AA 028,SRP447710
SRR25213830,WXS,596,96902541,PRJNA991269,SAMN36291084,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",64520281,SAN PABLO CEU,2019,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",ENVO:01001029,ENVO:01001033,collection kit,SRX20960503,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 27,Illumina MiSeq,40.41 N 3.70 W,Gran 27,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:39:00Z,1,AA 027,SRP447710
SRR25213831,WXS,598,98375571,PRJNA991269,SAMN36291083,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",67591763,SAN PABLO CEU,2019,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",ENVO:01001029,ENVO:01001033,collection kit,SRX20960502,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 26,Illumina MiSeq,40.41 N 3.70 W,Gran 26,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:39:00Z,1,AA 026,SRP447710
SRR25213832,WXS,597,92569784,PRJNA991269,SAMN36291082,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",62209689,SAN PABLO CEU,2017,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",ENVO:01001029,ENVO:01001033,collection kit,SRX20960501,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 25,Illumina MiSeq,40.41 N 3.70 W,Gran 25,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:38:00Z,1,AC 001,SRP447710
SRR25213833,WXS,598,87467098,PRJNA991269,SAMN36291081,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",59478712,SAN PABLO CEU,2018,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",ENVO:01001029,ENVO:01001033,collection kit,SRX20960500,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 24,Illumina MiSeq,40.41 N 3.70 W,Gran 24,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:38:00Z,1,AA 024,SRP447710
SRR25213834,WXS,597,104508792,PRJNA991269,SAMN36291063,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",69713272,SAN PABLO CEU,2017,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",ENVO:01001029,ENVO:01001033,collection kit,SRX20960499,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 03,Illumina MiSeq,40.41 N 3.70 W,Gran 03,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:39:00Z,1,AA 003,SRP447710
SRR25213835,WXS,598,68853033,PRJNA991269,SAMN36291080,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",46489243,SAN PABLO CEU,2018,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",ENVO:01001029,ENVO:01001033,collection kit,SRX20960498,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 22,Illumina MiSeq,40.41 N 3.70 W,Gran 22,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:39:00Z,1,AA 022,SRP447710
