"","GABA","Choline","Cadaverine","Putrescine","Tryptophan","Aspartic Acid","Glycine","Histidine","Propionic Acid","Butyric/Isobutyric Acid","Valeric/Isovaleric Acid","Caproic Acid","Hippuric Acid","Glucose (and isomers)"
"Moth_24_T",0.041,0.01590242,0.04684764,0.02861067,0.2463485,0.51666402,0.4440926,0.13381361,5.69589643,8.47906627,7.14252638,1.1703637,0.05909047,0.0845113
"Moth_21_T",0.132,0.0924012,0.13116802,0.1215284,0.36515581,2.04750727,0.78776907,0.31066443,7.69376677,15.86034545,15.32527053,1.35064111,0.06521958,0.15131305
"Inf_25_T",2.693,2.0073453,0.7492125,1.6854313,1.1999412,6.0724358,4.0278109,7.0941798,12.3624658,4.8005814,0.6262785,0.8424276,0.1083203,2.6808794
"Inf_35_T",7.246,1.44741205,1.51650154,1.07087974,0.61910149,1.19040926,1.19374118,0.60255575,0.36181512,0.19519583,0.02833276,0.08752733,0.03670668,3.02412874
"Moth_06_T",0.145,0.0706659,0.10862336,0.01945052,0.34578369,1.02318634,0.51035701,0.2565862,4.61358172,4.49717952,6.50428069,0.22125134,3.96674815,0.06509964
"Gran_53_T",0.114,0.1082518,1.7737479,0.1848773,0.9427276,1.6206956,1.8529742,0.6828528,10.5788462,22.339522,14.6389895,5.0890139,0.1841265,0.4035815
"Gran_11_T",0.048,0.27087465,0.08293626,0.05567005,3.17336724,2.32446279,1.72953917,3.146209,0.27834328,0.34807265,0.2759799,0.05607232,0.14376934,1.16493255
"Moth_56_T",0.807,0.71226032,1.23231216,0.41075232,3.75364472,4.81010777,8.70962141,0.52971135,4.14097133,5.57074424,2.64057998,0.09226627,0.19075462,0.45154326
"Moth_04_T",0.1,0.15683585,0.07417786,0.02438432,1.0514797,6.08419635,2.03214447,0.39717312,11.83226576,17.62812286,14.08948154,0.31179354,0.09481797,0.15815168
"Gran_17_T",0.191,0.28863009,34.33406637,0.68225151,1.11798255,4.89437263,1.41629583,0.77582072,14.12732983,28.96421625,8.97804288,5.297874,0.02121174,1.66838405
"Gran_06_T",0.121,0.2762851,0.2050123,0.13525991,0.72316099,2.06216592,0.84979041,0.24670396,6.64599831,8.65144552,9.89689693,2.15319583,0.06022235,0.34856372
"Gran_19_T",0.197,0.27823771,0.28974973,0.05722411,1.76919539,1.30784946,6.70090939,0.25192621,6.2133931,12.10133084,9.93480012,0.26164345,0.59767718,0.19059124
"Gran_31_T",0.155,0.05549562,0.15817118,0.02876051,0.29968064,1.25638284,0.55367716,0.31183374,5.9402485,12.34249488,8.95452549,0.24934636,0.0772767,0.19708205
"Gran_21_T",0.528,0.348634,0.17566299,0.04333659,1.12521264,1.63214382,0.9939142,2.46401012,4.88194337,8.79286817,6.74768845,0.70938113,0.11225371,0.54783613
"Gran_01_T",0.171,0.1375151,8.5738971,0.1587552,0.73067,2.0791506,1.349758,0.2555516,6.6854999,12.9757249,10.1291256,3.9369273,0.2661307,0.364443
"Moth_01_T",0.131,0.10751469,0.53923903,0.38307388,0.78561539,1.81523791,1.18707536,0.29479385,5.1103475,14.10237631,11.4870499,5.60156008,0.03224063,0.28583874
"Gran_04_T",0.189,0.0520154,0.05154626,0.0117571,0.403475,1.77704786,0.86410471,0.27973717,5.079949,8.09635447,7.83438404,1.05115523,0.07807408,0.09234522
"Gran_24_T",0.319,0.10481313,0.28849775,0.01642257,1.62716878,2.86442451,2.67162571,0.08843832,2.06317575,4.22520983,3.89131145,0.79866548,0.57525277,0.27656349
"Moth_28_T",0.39618022,0.05477247,0.10908407,0.09523463,0.90270791,2.46158845,1.08342617,1.01728198,12.31166455,14.78019571,15.34641995,1.93061012,0.05301308,1.60031305
"Inf_51_T",0.297,0.06898343,2.40534577,4.62743987,1.05224285,3.03565065,1.10486604,0.99943811,19.42749055,5.06224294,3.4749232,0.25347243,0.08511401,0.27958165
"Gran_56_T",0.102,0.11554616,0.03916235,0.03088759,0.75246144,1.90723016,0.93301003,0.35773246,5.71176368,5.71948609,8.23510192,0.97673056,0.04332548,0.08982869
"Inf_28_T",1.281,0.16404952,0.1112656,0.24340849,0.11229418,0.84886312,1.08707743,0.14185122,3.78682363,1.31597059,0.15476193,0.07443268,0.03935258,3.07918553
"Gran_36_T",0.2518599,0.2479775,11.2195886,0.6779489,0.7135386,1.5954327,1.0309302,0.4077644,16.270405,21.210853,15.0690643,0.5074863,4.4065363,0.6654248
"Gran_26_T",0.66,0.14648776,12.08378907,0.91288409,1.44409934,3.46238654,1.69606962,1.10091729,18.91697385,25.06430984,14.6301079,7.98371468,0.01175213,0.73846142
"Inf_54_T",2.11,3.47035398,6.7253786,2.44741558,1.91397261,2.68287587,1.85606151,0.95947183,2.50631341,6.19730359,2.84685653,0.5392751,0.04854387,8.33457555
"Gran_12_T",0.418,0.44736935,0.25595291,0.03457856,1.44818554,2.5735338,3.90184407,0.24349664,5.19488663,6.03736714,3.86644679,0.96487782,0.06417088,0.34436164
"Gran_58_T",0.101,0.09164437,0.09289924,0.4836344,0.70941984,1.26936338,0.75279494,0.50946064,3.26502214,7.65746405,5.14352596,0.11538417,0.03951062,0.1323703
"Inf_30_T",0.063,0.43393629,3.22918419,5.28474051,1.90960421,7.10763495,3.64975379,3.43850236,2.36272371,6.43893469,1.65280958,0.08035557,0.06129248,1.27875148
"Inf_32_T",7.627,1.2140181,13.60043289,8.88213803,1.61518112,3.18970303,5.61526193,10.70282085,7.44698644,12.83088267,0.60365097,0.30504615,0.05716732,3.80733993
"Moth_35_T",0.186,0.10627357,0.47993029,0.47821907,0.91882623,2.1987152,0.75188188,0.33103399,3.07831706,6.81002254,4.12753948,0.45916096,0.04018124,0.22905389
"Moth_23_T",0.155,0.4903485,10.2614323,0.5009828,0.7628422,2.9605718,1.1999256,0.5706848,6.8911268,19.4921164,10.1181597,0.4695651,5.9434394,0.699026
"Gran_50_T",0.2130193,0.07448181,0.05504392,0.19897173,0.63113045,1.64598003,1.12731618,0.63423812,8.67677999,21.01456985,14.32411178,7.11565069,0.03664783,0.14854957
"Moth_51_T",0.157,0.12599124,0.04370415,0.04601285,0.38074629,2.12552919,0.91759164,0.35791256,4.67098542,4.03684337,6.46793882,0.99857764,0.05266571,0.16368304
"Inf_23_T",0.829,0.50777519,0.49318433,1.30573838,2.18545331,7.54655966,2.42982607,2.04190579,17.15029325,28.04420912,7.2889193,1.62198114,0.02797341,1.03185344
"Inf_08_T",0.491,0.48443816,5.88262765,0.83315919,1.47284361,8.55599378,1.83657922,3.32416639,1.47151318,1.13610187,2.2880707,0.08586314,0.07565856,0.34419115
