sample_id	TNFRSF14	LDL-receptor	ITGB2	IL-17RA	TNF-R2	MMP-9	EPHB4	IL2-RA	OPG	ALCAM	TFF3	SELP	CSTB	MCP-1	CD163	Gal-3	GRN	MEPE	BLM-hydrolase	PLC	LTBR	Notch-3	TIMP4	CNTN1	CDH5	TLT-2	FABP4	TFPI	PAI	CCL24	TR	TNFRSF10C	GDF-15	SELE	AZU1	DLK-1	SPON1	MPO	CXCL16	IL-6RA	RETN	IGFBP-1	CHIT1	TR-AP	CCL22	PSP-D	PI3	Ep-CAM	AP-N	AXL	IL-1RT1	MMP-2	FAS	MB	TNFSF13B	PRTN3	PCSK9	U-PAR	OPN	CTSD	PGLYRP1	CPA1	JAM-A	Gal-4	IL-1RT2	SHPS-1	CCL15	CASP-3	uPA	CPB1	CHI3L1	ST2	t-PA	SCGB3A2	EGFR	IGFBP-7	CD93	IL-18BP	COL1A1	PON3	CTSZ	MMP-3	RARRES2	ICAM-2	KLK6	PDGF-subunit-A	TNF-R1	IGFBP-2	vWF	PECAM-1	NT-pro-BNP	CCL16
s_1500	4.956165092	5.632155192	4.906361565	5.445623537	4.977291555	5.901021845	5.052775637	4.735900055	5.116324649	4.848666812	4.513025796	5.364867247	4.872344924	4.92549842	4.6602527	5.014504754	5.129688968	4.797794524	5.285561486	4.795826619	4.652073592	5.027429095	4.744406752	4.829650756	5.224050905	4.540882833	4.683447131	5.39030437	5.468806755	6.098634752	4.858955908	5.697199531	5.247038603	4.822054168	5.184134226	4.769061333	4.915200443	4.915284503	5.1797518	4.924616847	5.243215545	5.284172441	5.898902153	5.333547428	4.438832305	4.635412625	4.760653924	3.511408024	4.993525318	4.883077462	5.240192781	4.906048435	4.847131641	4.708105451	4.719404961	5.00488769	4.939685644	4.843533102	4.840072155	4.970937974	5.144159046	5.843067703	4.938050377	4.403531175	5.162481714	5.293197248	4.925595033	5.117840342	4.968286187	5.491741747	4.774461657	4.786783047	6.467712754	5.568134292	5.242472186	5.112471791	4.996021972	4.970231852	4.9005243	5.67112934	4.689089357	5.389005045	5.115567508	5.037629067	4.562017039	5.258373819	4.989567308	5.402338012	6.701520483	5.12623583	4.889705966	5.565757399
s_227	5.419975681	5.416127399	5.12318391	4.818474019	5.223877292	3.965041176	5.021007155	4.970520084	4.999373432	5.208067402	4.75648862	5.417559393	5.214555043	5.3941023	4.747823302	5.721020942	5.052130386	4.680501343	5.50731742	5.319624865	5.409528394	5.628094181	5.426067913	5.379519337	5.985963981	5.055090309	6.144053156	5.590170403	5.339883308	5.744970943	5.608293589	5.559559317	5.892320262	5.149489403	4.824918349	6.259617474	5.355702294	5.019159332	5.47906542	5.22743911	5.220892187	6.180810826	4.956326577	5.106896203	5.980854596	6.053982817	5.19769305	4.164383556	5.058794991	5.125799843	5.21225908	5.510023243	5.154486149	6.254125147	5.164264076	5.07655553	4.931886701	5.034590353	4.927670443	5.301588035	5.056573608	4.519876426	5.407750852	5.242442899	5.120805073	5.724322378	4.9111216	5.387566847	5.169783241	4.789318372	5.644526258	5.142819062	5.314485413	6.110332567	5.347802391	5.523259372	5.385297999	5.282879173	4.994710061	5.101409199	5.39052666	5.136528186	5.372292121	5.499710266	5.381985746	5.633913458	5.439885067	5.555072721	6.626027431	5.511334763	5.611295966	4.381795135
s_869	5.368428677	6.541466309	5.528480127	5.572024776	5.229514637	5.174093964	5.147968401	5.05393048	5.210292598	5.366052827	5.180700949	5.535730592	5.833746093	10.37826661	5.34406937	6.062662323	5.485514181	4.842058631	5.762397613	5.337948121	5.373610085	5.698948863	5.578597097	5.804413485	5.492264712	5.318784611	6.785649454	5.517303342	6.204026386	5.294246931	5.285087053	5.082482896	5.819110467	5.324189829	5.562196554	5.634263028	5.441044782	5.346943288	5.815770037	5.226989217	4.459725638	6.155969877	6.536522224	5.724628096	4.357841689	5.058762135	4.663565062	3.753676966	5.401301858	5.440299115	5.310106018	5.543586835	5.317187048	5.473780896	5.250739761	5.473701772	5.090152408	5.504579033	5.086049324	5.761098901	4.789923761	5.742324833	5.330610244	5.763025559	5.277516671	5.202382012	5.61300009	5.390644356	5.51670032	5.373606354	5.731000722	5.832026752	5.161054427	5.093006927	5.275595754	5.436766197	5.107855821	5.232222388	5.416145159	5.685702079	5.155011132	4.797141568	5.407630083	5.273227295	5.37831604	5.707915625	5.32286668	6.303425151	4.14504816	5.629190526	6.191775966	5.796567739
s_191	5.754596022	5.972600818	5.860896109	5.689059128	6.071733656	5.163596849	5.897860424	5.720815083	5.553176367	5.416127713	5.263710628	5.421031671	5.756478116	5.538226285	6.112599316	5.543568679	5.613075709	6.909597596	5.630147175	5.540101396	5.933614806	5.531770952	5.214260469	5.466711238	4.759143257	5.57038218	6.155539977	5.22321275	6.313684954	6.284202646	5.040565035	5.724522504	5.517861437	5.617377958	5.206735169	5.652069983	5.675759196	5.548217397	5.908968149	5.657621455	5.59341809	4.713365325	4.69678711	5.682060675	6.337609255	5.354618673	5.121549331	6.598682841	5.295856064	6.027660862	5.511846406	6.350226837	5.382273311	5.755620099	5.159373925	5.37921974	5.778264327	5.881672996	6.273004487	5.36315312	5.334098053	5.514433055	5.473132448	4.985543868	5.477974872	4.845263785	5.234846586	4.749530007	5.756686036	5.476068905	6.084351519	5.94352091	6.599447182	4.761985809	5.495359309	6.089018627	5.547414047	5.937289016	5.323711652	5.1102846	5.610966552	6.806785492	5.324354101	5.505243681	5.636194236	5.511175853	5.92228035	5.021842698	6.669231102	5.38173693	5.022735966	4.921236995
s_438	5.696622452	6.142656074	5.694346567	5.632505873	5.439509218	4.401065581	5.456251744	5.284861717	5.130705867	5.64950286	5.157075361	4.622622709	6.150507529	5.248412525	5.633798645	5.717909361	5.309604078	5.976944393	5.881051373	5.501354611	5.535167052	5.399775831	5.4544811	5.538400379	4.920144162	5.706511217	5.292371922	5.327121929	7.925882505	4.266690324	5.143959101	6.031110482	5.52367622	5.391411822	4.975937407	5.490394473	5.350724565	5.293078298	5.658024358	5.925362869	5.40694385	4.049963458	5.716770288	5.254339545	4.580111399	6.492073065	5.13617604	5.621795037	4.971673302	5.49773523	5.589135796	5.515079694	5.536712773	5.688814503	5.766326111	5.185993839	5.447612554	5.588506923	5.748674824	5.24082042	5.481646128	6.035774873	5.160523465	5.391647629	5.405872575	5.362390193	5.130083644	4.564750771	5.634902218	5.819344301	6.024952943	4.697729677	5.981021237	5.750920336	5.403903525	5.376385181	5.259775918	5.576495407	5.494698332	5.27244865	5.638842482	5.051724325	5.299467621	5.309606382	5.188792426	3.998510498	5.552563699	4.849586259	4.472573808	5.508721263	4.698545966	5.981236405
s_1078	4.841498243	5.707823845	5.032665274	5.19845106	4.847730583	5.305798494	4.871947565	5.055105625	5.055639775	4.624583272	4.562296563	4.855097953	4.89866044	4.806704181	4.740957285	5.092087304	4.635033922	4.031858753	4.910864248	4.977158448	4.804683559	4.738887521	5.311000446	4.471004242	4.789898863	4.188442866	5.451383649	5.432753829	5.601059634	3.562965949	5.097313683	4.990380388	5.343122399	5.179471522	4.374360536	5.182791661	4.958406074	5.165369332	4.912379857	4.834824094	5.282842218	5.633234747	5.535846091	4.791127912	5.537545011	4.866064546	5.954468216	3.857306517	4.609257832	4.659987528	4.847630991	4.653908375	5.039468795	4.993811354	4.73856251	4.40883588	4.650487421	4.53268551	5.239863765	4.987151899	4.44135921	4.725459333	4.673634064	4.774098257	4.789985711	4.508350681	4.719930309	4.288531807	4.227319184	4.53820035	5.463074272	4.53359983	5.171937129	4.876588485	4.675955947	4.84409579	4.715520627	4.719670075	4.566391993	4.71322861	5.012755526	5.295702073	5.148606208	4.926558018	5.224392017	4.059307644	5.036056099	5.596170439	5.200878837	4.808614048	3.780555182	5.31555157
s_1304	5.284295606	6.073357123	5.137707417	5.325344352	5.060820119	4.509478121	5.289585711	5.24780118	5.647563978	5.356425706	4.965740564	4.6006381	5.693741222	5.245955276	5.496262633	5.565419503	5.308504471	5.926677241	5.13630958	4.989274113	4.984812692	5.408435161	5.642786858	5.462556529	4.154680799	4.973267748	5.927545452	4.938045298	4.814310487	5.139153095	4.842897319	4.318190982	5.860048809	4.53635138	4.893329507	5.082191791	5.28169212	5.078235958	5.280718371	5.582869188	4.701020232	6.194741089	6.040044968	5.495291683	4.405158067	5.625794612	4.962526094	4.159214461	5.22016867	5.115022132	5.306067636	6.109949725	4.92074233	5.745825882	5.224932468	4.931249273	3.866030072	5.654350087	5.670479073	5.193639421	4.68529968	5.441451937	5.158967939	4.969525503	5.087079159	5.737711324	5.071300035	4.455915066	5.307982042	5.539796008	5.385421654	4.894623016	5.083301438	5.442206454	5.204360499	5.223274642	5.038638324	5.312081609	4.460350236	6.228581525	4.750485727	5.393010959	4.890059776	5.036739096	5.390507562	5.452834446	5.029163163	5.340471	5.91714446	5.214733	7.975855966	5.435968097
s_981	5.102076658	5.60638761	5.274412759	4.223651778	5.418834799	7.236488818	4.947380243	5.300163024	5.339759407	5.080276145	4.873743394	5.9587397	6.118274013	5.673167202	5.375708791	4.88167937	5.384324709	4.654607968	4.543413919	4.725460364	5.297543206	4.660401827	4.725935296	4.332264279	5.136930694	4.665325473	6.306543863	5.373267767	6.524028713	4.390980547	5.065157058	4.949887707	5.992830032	6.279162986	5.343168092	4.613906486	5.136785934	5.619799109	5.764070052	4.545046637	5.02801636	5.199399316	5.720807572	5.35204421	4.635609307	5.068786678	5.21663544	4.196291924	4.98783108	4.915105777	5.391733135	4.525643463	5.434363401	5.055387219	5.610395042	5.553134364	5.202767423	6.082848455	4.921594106	5.942893617	5.802353102	5.909607226	5.270125568	5.451791953	5.022284321	5.423397401	5.265116667	5.263213286	5.019174062	5.579773436	5.416991648	5.433450662	5.231414513	8.408491299	4.738888072	5.20716706	5.183179376	5.643554831	4.719030879	4.484986526	5.224789677	5.700974503	5.223664657	5.563163856	4.614769366	5.236884532	5.550959343	5.626652666	5.934564641	5.159618529	4.166235966	5.339974553
s_52	4.818887528	4.958579193	4.807208224	5.191390917	4.944734985	4.545320672	5.165409087	4.845173842	5.352835397	5.072999136	4.658392674	3.687788653	4.924153172	5.096812144	4.671959201	4.911744016	4.705026887	5.515639355	4.929536598	5.186431759	5.410207235	5.073454809	5.566657899	5.073187405	4.671784605	5.062202086	5.380457245	5.197012732	4.525634911	4.550522715	5.021563784	5.243871849	4.790409276	4.184974522	5.283013964	5.069081634	4.742437406	1.971898671	5.244157108	5.344576877	5.131891721	5.212893035	4.966255715	5.296119546	5.402166598	4.215574835	4.938800445	5.225782561	5.271120757	5.239245975	5.260269042	5.244192676	5.178505995	4.218848954	5.312497191	5.419159451	5.07744257	5.17767528	5.864474618	5.087765	5.601816623	4.855058991	4.565217051	4.979572596	5.30917405	5.252014859	5.540702205	4.011355303	5.277207471	5.165255019	4.747634391	4.802802055	5.010391696	6.02965505	5.239451892	5.155635859	4.924256329	4.994194528	6.00324278	5.926850356	4.955492534	4.607045723	5.130513222	5.271174323	5.231459782	3.863725047	4.963270523	5.556945229	4.049250894	4.580741943	4.244445966	5.618158055
s_891	5.08566441	6.505939016	5.773396152	5.166616824	5.235948738	5.020855777	5.134830519	5.404577794	4.742614848	5.298618006	4.336237517	5.085119648	4.683295178	5.089959755	5.445782664	5.472474056	5.58163189	4.896649818	5.852940332	4.856124805	4.923598861	5.367063698	4.882994742	5.473936943	5.474819822	5.190135413	4.58106938	4.978913466	5.569284688	5.416250582	4.488928841	4.691553975	4.506220161	5.069211512	4.939546053	5.4969996	4.944837081	5.115155906	4.729063739	5.352944656	4.606185578	5.920895677	3.677294032	5.479476502	4.396929845	5.591062983	4.673023151	4.785288846	5.352019666	5.145432703	5.491514582	5.21098964	4.976488641	5.291236689	5.359791469	5.585587702	4.682873511	5.102706581	4.986000298	5.22582421	4.894816289	4.736014098	4.869789762	4.663559156	5.286217122	5.560214665	4.876207367	5.21532835	5.578298499	4.715277349	5.299015007	5.15213673	5.219165477	4.819462895	5.301349661	5.173011076	5.431582907	4.934558322	5.117268229	5.810924198	5.231652782	5.108337175	4.668536461	5.349436697	5.093352119	5.86301553	5.010690672	5.072814767	5.01968031	5.090662184	4.940165966	5.242300646
s_1324	4.064048658	5.068914462	4.627684311	3.764260288	4.016901674	4.433734344	4.50423828	3.859874162	4.527117337	4.199712011	3.743087551	4.702958315	4.231734235	4.237390685	3.752385868	4.566047136	4.315968059	4.383139142	4.226418625	3.930898761	4.272693802	3.880868001	4.710357129	4.290902338	4.039452252	3.961078226	5.453313035	4.521194434	5.08171572	3.8473775	4.719398316	4.433735366	4.002045482	4.821244114	4.846491163	3.469499866	4.616368952	4.431290152	4.349880089	4.643443603	4.611219484	3.606318687	3.297422033	4.594714722	4.53838765	4.463747606	3.87623675	3.683415759	4.2570825	4.00536159	4.375314597	4.154689123	4.286019619	4.947355438	4.401784435	4.607299391	4.845784521	4.35795888	3.636051453	4.644455971	4.630254678	4.84753927	4.02154792	4.17742183	4.258638729	3.725783901	4.134484833	4.352760807	4.049268494	4.214436559	5.500847643	4.067606526	4.460785137	3.57110819	4.512627418	4.246852596	3.873111816	3.96318595	4.500960114	4.628536404	4.629424881	4.08106168	4.547737472	4.164498696	4.382756156	4.333489037	3.97242235	4.03680902	3.658345168	4.262404329	4.027705966	4.098526164
s_1341	4.597401518	3.876124149	4.870155185	5.066049443	4.52248086	3.996694746	4.762526319	4.478417588	3.987286677	4.583233043	4.610625475	4.718487363	4.148341021	4.541233534	4.239767318	4.335341361	4.406486924	4.456516455	5.036110269	4.517552815	4.909458214	4.954102893	4.682982159	4.925804819	4.54905031	4.58344013	3.875801096	4.540198595	3.764484285	4.39200389	4.576573383	5.274165818	4.081654281	4.758989958	4.312148874	3.736004642	4.455896356	4.310037276	4.598807593	4.181150231	4.283888988	4.589821523	3.844993161	4.148988938	3.377875728	3.965243408	3.885868523	5.584937494	4.463409546	4.508146945	4.569090182	4.695501091	4.412530764	4.495825927	4.693673409	4.677216727	4.607732457	4.53058741	3.864904979	4.597477656	4.60330409	4.171323034	4.663793294	4.815179345	4.382371097	4.958200545	4.480532358	5.05816726	4.787082312	4.476870518	4.231025847	4.524141117	3.501281074	3.524230435	4.817755726	4.398780237	4.800728074	4.104006191	4.304137837	5.624084982	5.280705283	4.26840237	4.313837671	4.424209897	4.770324112	4.138188743	4.5971996	4.936227535	2.26535617	4.599832102	4.692465966	4.540123412
s_864	5.52270148	5.478349728	5.148625875	4.965653478	5.664123907	5.966915687	5.047052509	5.189665642	5.337867583	5.418233637	4.797777095	5.125317239	5.622069074	5.246673192	5.065213153	5.553000407	5.183112776	4.848059674	5.154019077	5.504656291	5.763321617	5.510060513	5.411735597	5.460283589	6.119895305	5.556906781	5.163056429	5.52907322	5.886487926	5.614369975	4.91954227	5.46291832	5.764582901	5.663998153	5.324418849	5.076979201	5.28703512	5.052042858	5.413014955	5.657771576	5.111318833	5.166576168	6.073274015	5.570115876	5.00564478	7.800193468	6.278104899	7.425950476	5.457001562	5.347016944	5.758857991	5.474962196	5.997391289	5.683894109	5.009869045	5.35769638	5.219070167	5.313443527	4.998265628	5.397219396	5.468229593	6.43664123	5.678037057	5.703751484	5.312037751	5.251118808	5.359123487	5.739521383	5.113477989	6.110723774	6.18960198	6.17995259	5.786768015	6.530028478	5.239711733	5.505548997	5.370515222	5.223366628	4.916514775	5.220737247	5.5348506	6.229559625	5.202606404	5.599605643	5.688943061	3.884195189	5.64526999	5.536912442	4.628345906	5.374628144	5.048495966	5.512439231
s_876	4.888253748	4.389012175	5.324382685	5.689615591	4.657115476	5.34059218	4.867668399	5.034519974	4.690750604	5.215249929	4.833407275	5.226379424	5.092974603	4.910727143	5.192859177	5.079120624	5.300821317	5.094413688	5.181284553	5.129877965	5.077800196	5.510617318	4.559761984	5.323701291	5.253607845	5.08516315	5.652637764	5.112488239	5.012873461	6.93746826	4.449430399	5.526120839	4.459438193	5.942556275	5.186580946	4.743250472	5.24633598	5.184093694	4.853406136	5.454571679	5.086944602	4.891088977	6.379192229	4.675515204	4.360530153	5.914144861	4.962085097	3.60305462	5.187507808	5.315950469	4.74045148	5.217975054	4.915261422	5.174325232	5.104233468	5.229150003	5.066755972	5.271712059	4.592632116	4.600217908	5.260799943	4.592758847	4.840230097	5.156714869	5.346435333	4.945735963	4.682926659	4.993008757	5.184141881	4.724295704	4.456701487	5.276363841	4.513550825	5.004349003	5.253822528	5.416439028	5.148843853	4.918325538	4.880776349	5.094831759	4.83240674	4.7017541	4.851917118	5.350284129	5.201860557	4.648160402	4.922023562	5.216823163	3.991799523	5.19689821	4.820635966	5.114471938
s_83	4.233527193	3.367077065	4.220980006	4.505435012	4.204193449	4.125326747	4.576165033	4.451431132	4.202729637	4.209254435	3.799819663	4.16290734	3.534185467	4.169409962	3.669264748	4.326510886	4.404734575	5.046505617	4.987451307	4.434348242	4.7605251	4.287472829	3.854571381	4.44667244	4.991877171	3.990174998	2.949713003	4.189793169	4.254458523	5.55359146	4.541684467	4.233165691	3.657296003	4.472490634	4.456104034	3.951229479	4.508219637	4.97072006	3.948678564	3.674781759	4.651602223	4.392911278	2.865067028	4.845870162	3.737210151	4.271742691	4.537543107	3.7577266	4.560785244	4.461182542	4.463189385	4.430509927	4.307164004	4.235979761	4.122100458	4.599550566	4.072245381	4.385345341	4.476566385	4.345724129	4.430333292	4.394022335	4.025059902	3.955291038	4.479272868	4.753353156	4.415557624	4.013811553	4.689455796	4.440097025	4.558202147	4.850163201	3.820059325	4.079734786	4.32307963	4.329825574	4.50635664	4.335242456	5.137209988	4.202634098	4.241094227	4.246886804	4.113226721	4.661922559	4.487457214	3.27531702	4.456873254	4.903069712	3.660435678	4.542758692	4.074115966	4.601609351
s_1247	5.116553396	5.714722952	5.143628301	4.73151217	5.173525413	5.326130645	4.888425352	5.069129449	5.072154073	5.067299818	4.762515332	5.588919109	4.759587836	4.796962622	4.624041422	5.262574379	4.974518748	4.710598554	4.670906074	5.023097961	5.332070345	5.227746116	4.580028734	5.281170689	5.702828194	5.44220642	5.573411389	5.544958851	4.884370036	6.33284752	5.833986219	4.871394842	4.661022692	5.299317985	5.396590178	5.355343951	4.955142149	5.216177781	5.055448556	4.789599391	5.361395942	5.860964044	5.711998636	4.719872604	4.385372759	4.00439989	4.517536101	4.328536542	5.058906519	4.843689319	4.983390598	5.031031739	4.916714137	4.492515247	5.223441787	5.545924648	5.481841674	5.040625455	5.277992786	4.760574631	5.241383857	4.914264889	5.236126468	4.554321697	4.663268216	5.030413576	4.514378448	5.669784251	5.201109824	4.963539364	5.234452643	5.177273944	4.450095354	4.700576002	4.938580859	5.056410199	4.944951272	5.079233745	4.832034768	5.669338938	4.803069526	4.585301684	5.146280171	4.870782737	5.205610813	4.906951801	5.141524314	4.898476688	4.259560642	5.400688771	5.310315966	4.898855521
s_928	4.71491009	4.448434651	4.646790902	4.340813729	4.533315152	4.222602459	4.963331136	4.685739006	4.634786943	4.359499147	4.370168484	4.332806433	4.821677935	4.951257696	4.850753594	4.65505561	4.861214576	5.196311267	4.578461463	4.874694948	4.543652963	4.533473188	4.323344644	4.629356678	3.507751541	4.283085437	6.232701145	4.768517303	5.289549489	4.105552522	4.322389642	4.536988349	4.949205508	4.000902027	4.835086262	4.079138315	4.736449856	4.623990477	4.737875909	5.394412221	5.75916605	4.41090507	6.197721548	4.776299521	4.556526743	4.919871894	4.353032768	4.629391859	4.33758468	4.568465464	4.393707231	5.018520063	4.886027358	4.72279852	4.717325709	4.868164126	5.087266095	5.234819439	4.864552236	4.579252943	5.029838366	4.936669444	4.538043239	4.059851357	4.514653194	4.930529766	4.39300308	4.256654878	5.209821344	4.948628388	4.600900303	4.499421966	5.123847941	4.693347568	4.576289581	4.720153327	4.737600659	4.685254181	4.409399339	4.848128011	4.611620501	4.558102386	4.861249872	3.908437763	4.730456471	4.842130329	4.759560226	4.954476771	6.345884691	4.290986042	8.355835966	4.699732865
s_1272	4.74393176	4.834054111	4.771739956	4.458941419	4.670652438	5.409293405	4.630661051	4.614735447	4.896791209	4.75907033	4.569381532	5.394658154	4.449380089	5.094807853	4.825560544	4.501672036	4.889338541	4.960076508	4.856469302	4.769782654	4.452192313	4.659977699	4.577218081	4.538644645	4.257520193	4.725190706	4.362602666	5.395456451	5.973772956	4.69994168	4.652069266	4.710699925	4.557996323	5.180161797	5.1868574	3.599335973	4.887607003	5.099493673	4.974534031	5.012705357	4.694967525	4.532541309	3.929829828	4.804805761	7.48439047	4.561303271	5.006492522	4.936025059	5.143016217	4.354788464	4.942302887	4.575765384	4.840712147	4.782577056	4.806946978	5.066834738	4.967057277	4.766637222	4.764126837	4.572216045	4.618936819	4.921600565	4.667030701	4.485726668	4.849299958	4.718288411	4.380424292	4.362970449	4.951078277	4.801890524	5.23035613	5.376850125	5.570313735	5.38604221	4.852266321	4.98308301	4.719952959	4.81219053	4.979144693	5.490023657	4.556740501	5.059024501	5.060307888	4.844449953	4.649859608	6.109896316	4.644666168	4.621387133	5.211403963	4.751754364	3.780555182	5.171358777
s_370	4.429929056	3.913324981	4.675392051	3.705363341	4.384598103	4.275580143	4.614166385	4.260697827	4.07889151	4.412553476	3.664626189	4.408604486	3.830131027	4.225185305	4.652716009	4.12265875	4.156811837	4.982200555	5.026533377	4.67690901	4.406881436	4.632520108	4.499251016	4.654311627	5.228094343	4.447076821	3.741605825	4.655983358	3.184249633	6.075620373	5.189819224	4.969589175	3.916399739	4.831914161	4.644448083	5.555676471	4.402198001	4.727523552	4.240593304	5.281666058	4.628942999	5.431272599	3.897928239	4.660020828	4.308537557	4.46915895	4.587766663	6.077397589	4.656680136	4.703770854	4.454030457	4.495914611	4.39276468	4.786528482	4.581609344	4.548770734	4.622983167	3.806676163	4.438014978	4.533861879	4.70975088	4.084175671	4.919026004	4.55319805	5.049331034	4.74763196	4.040565392	4.763176427	5.550237905	4.030390225	4.398920092	4.816472438	5.838366624	4.892160711	4.790032272	4.37350991	4.445088687	4.363761704	5.556958774	5.184427426	4.539293828	4.531696544	3.940019075	4.79782334	5.386035374	3.983746203	4.305536085	4.108793996	5.663295088	4.997339712	3.780555182	4.563901391
s_1283	4.869426032	5.052546213	4.874311681	4.357779486	5.069231518	5.121670588	4.673698775	5.295202543	4.784952327	4.687298589	4.52747797	5.33411128	5.05216315	4.636970213	5.37167107	4.959943861	4.885179622	4.013420223	3.537038353	4.625309663	4.750906231	4.682669273	4.774354315	4.4767868	5.257046359	5.120576552	5.403316304	5.31407798	5.412805189	4.529857075	4.85797607	5.367638564	4.82231816	5.528145492	5.173720281	4.638018458	4.727375545	5.091292734	4.786536011	5.274350224	5.05261704	4.961739262	5.84380516	4.918039832	5.158164807	4.962180446	4.838280133	5.032160411	4.699871468	4.431986287	4.863945311	4.587353057	5.210501323	4.640024367	5.081112152	5.32093356	4.982069007	4.889759974	5.175186603	4.626094656	4.672726684	5.18275642	4.465007225	5.196315327	4.536830852	5.064774233	4.46333681	4.052289539	4.740655859	4.65342834	4.175898651	5.026224714	3.869734838	5.17480897	4.600022577	4.959083135	4.945432892	5.208413383	5.132940735	4.911309507	4.715617264	4.091818343	5.16786798	4.982645898	4.815265956	4.244287	5.191493453	4.672269086	5.206901599	4.977194873	3.941475966	5.079231145
s_166	5.006067759	4.43034138	5.299820406	5.033650259	5.257669533	4.129775634	4.990035515	4.945080841	5.019877547	4.907250011	4.505181477	4.735197963	4.787979814	4.744171046	5.433551042	4.371300076	4.787786265	4.458797658	5.127573089	4.859346458	5.195044283	5.02943962	4.711017896	4.660586687	5.276289186	5.142438804	3.835771237	5.011010631	3.138271964	4.095507768	5.127465381	4.148350597	5.3942116	4.490469992	4.197481482	5.258750636	4.825029415	4.754381177	4.344175511	5.568617207	4.786799071	5.390183139	0	4.995257984	4.407055067	5.384227547	4.89217965	5.031973028	4.687555951	5.000879548	5.068727766	4.848742825	4.794123244	5.207885315	4.445419984	4.732622809	4.61945031	4.915122501	4.702210781	4.8229322	4.973518772	5.033426426	4.513791363	4.768954733	4.918739927	4.930251227	5.505721082	3.902309516	5.259141152	4.922713007	4.688828652	4.562348015	4.673746472	5.084419324	4.830358822	5.300746922	5.183824698	5.389217924	4.480519932	4.757815438	4.706217443	5.322314874	4.365701211	5.011024752	5.242381189	2.999320879	5.028201425	5.898799006	4.777500083	5.202621644	4.668015966	4.818886175
s_1323	4.706762671	5.843821075	5.239347452	5.04137364	4.639071907	3.881680904	4.745339414	4.613597417	4.4670942	4.910533768	4.239523574	4.749443349	4.656299665	4.428575605	5.273643644	4.61191929	4.553329031	4.219829345	4.95837499	4.820441654	4.699704943	5.464602111	4.410939732	4.341299483	4.579366016	5.006646245	5.19793871	4.722422136	5.530104231	5.64021241	4.715605363	4.506814485	4.935753953	5.014961545	4.805699076	5.335781814	4.761475385	5.057235416	4.744458575	4.325303493	4.917228146	4.070856725	4.644500339	4.517530008	4.402364054	6.009147844	4.843514168	4.109515325	5.38716878	4.76805968	4.693132125	4.696726159	4.694393766	4.868971231	4.368110127	4.949889971	5.091232296	4.501286603	4.370068756	4.610003468	4.386056309	4.653479393	4.640897381	5.001538635	4.366062766	4.520341195	5.411706574	3.992291631	4.631203473	4.772058959	4.463326642	4.518413017	5.205321283	4.113575115	4.474812209	4.740700286	4.83228332	5.075148796	5.062674049	4.06856892	4.875184352	4.021613061	5.096167558	4.533699069	4.678307522	4.636897047	4.798214714	4.978981721	6.061525165	5.035277184	4.690065966	4.850618719
s_66	4.994545548	5.892403874	5.051808765	4.96042633	4.814910192	5.834730586	4.736810874	4.938833937	4.760614241	4.830803083	4.406716615	5.300693111	5.331595698	4.812630723	5.204999886	5.203279176	4.942117181	4.558249197	4.463624012	5.171093088	4.816902899	4.343194445	4.904879695	4.690869133	5.345016685	5.09098753	5.601413363	5.300893214	6.623805635	6.684292043	4.92821663	5.522166387	4.698711617	5.357078243	5.596740683	5.763880734	4.947539271	5.32415048	5.075637673	5.303892343	5.165159513	3.543162321	4.57925484	5.408858873	4.375318792	5.488280948	4.968314039	6.287960293	5.221081582	5.034981554	5.094914639	4.588840957	5.151113712	5.186558809	4.755424912	5.145469809	4.996047887	4.927073265	4.563430012	5.213226988	5.130579406	4.946416196	5.040250985	4.943070876	5.230657685	5.412603631	4.953259167	4.940056754	4.649542735	4.741383753	4.595976891	5.511050615	5.263931778	3.217695321	5.104642487	4.995969099	4.751029593	5.075211093	5.150128723	3.786526671	5.318595616	5.307265552	5.33513519	5.407137823	5.095906733	5.306091178	5.292436058	3.65115119	4.605667599	5.230132345	3.875965966	5.587611376
s_1364	4.689592173	5.024802534	4.848222317	5.133471433	4.947853399	3.452481742	4.897885644	5.006030247	4.309624373	4.562086367	4.327113067	4.782853731	4.43053823	5.02170408	4.630591688	4.575279476	4.865572963	5.092227858	5.377976539	5.067376838	4.789520567	4.765324626	4.646921823	4.572229376	5.255423915	4.945352488	4.57116891	5.231767902	5.234101316	4.496596808	4.312386959	4.51652289	4.403197493	4.77236211	4.595770407	4.128773978	4.53600092	4.562060995	4.654119507	4.728509953	4.420254037	3.9842507	4.004968796	5.085197207	3.675788349	4.781125836	3.798364111	7.07654523	4.830796338	4.779044843	4.615962457	4.53784226	4.974438277	4.831843706	4.675335639	4.274067787	4.903289879	4.255312827	4.848097611	5.504169384	4.594559287	4.573527943	5.222450705	4.63082828	4.651973726	4.433713872	4.682327037	5.255372643	4.916270549	4.455093117	4.424325892	5.413673244	5.698036022	5.508521684	4.821659205	4.661905905	4.945841158	4.810188704	5.018820419	4.832195648	5.424586067	5.692836275	4.55888024	4.42147971	4.679688314	3.945735809	4.731370254	4.458832612	5.901159731	4.920152545	4.057395966	5.073050623
