project_accession	sample_accession	sample_name	experiment_accession	run_accession	experiment_title	library_name	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	file_type	file_name	file_md5	file2_name	file2_md5	file3_name	file3_md5
CNP0000334	CNS0046770	C0125	CNX0036805	CNR0054884	DNA-seq of human gut	C0125	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0125_RmHost.1.fq.gz	c70e06e090dbac89058304db46c80bba	C0125_RmHost.2.fq.gz	eb2924e0e91d7d5ec387305f2391a761		
CNP0000334	CNS0046792	C0126	CNX0036806	CNR0054885	DNA-seq of human gut	C0126	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0126_RmHost.1.fq.gz	77f06e556280b1fdbe7b142ffb336866	C0126_RmHost.2.fq.gz	699055cc8e04df4eb2d3e9373fc7ad9c		
CNP0000334	CNS0046901	C0131	CNX0036807	CNR0054886	DNA-seq of human gut	C0131	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0131_RmHost.1.fq.gz	abe579be6bd7992d58052de9c006a4b7	C0131_RmHost.2.fq.gz	49c652776ddbb5ff1e5a768c95418725		
CNP0000334	CNS0046906	C0133	CNX0036808	CNR0054887	DNA-seq of human gut	C0133	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0133_RmHost.1.fq.gz	7a177514e2ac1755ab0a0d90f78b3ad0	C0133_RmHost.2.fq.gz	738d5e46f1cda17a2f30b76c25767eda		
CNP0000334	CNS0046950	C0135	CNX0036809	CNR0054888	DNA-seq of human gut	C0135	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0135_RmHost.1.fq.gz	f42db17db5343086cdd77593929fc451	C0135_RmHost.2.fq.gz	f0376125a2c17e2f5701df9aee2b1636		
CNP0000334	CNS0046850	C0137	CNX0036810	CNR0054889	DNA-seq of human gut	wHAXPI054628-90	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0137_RmHost.1.fq.gz	8ce2d9acfd48f909299bc8cfb3602e49	C0137_RmHost.2.fq.gz	daaaf3885046d681777d639cc31c97df		
CNP0000334	CNS0046904	C0138	CNX0036811	CNR0054890	DNA-seq of human gut	C0138	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0138_RmHost.1.fq.gz	c34b169aa10db9478368c1607dceef3c	C0138_RmHost.2.fq.gz	69233d8f1c8c369f54560c9372f26204		
CNP0000334	CNS0046984	C0140	CNX0036812	CNR0054891	DNA-seq of human gut	C0140	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0140_RmHost.1.fq.gz	5fbf85eb1cb43cf362cdc5ee676f0ea7	C0140_RmHost.2.fq.gz	9568eea2ac8c7b47f081c6f871bd55ba		
CNP0000334	CNS0046815	C0142	CNX0036813	CNR0054892	DNA-seq of human gut	wHAXPI054923-20	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0142_RmHost.1.fq.gz	43da8dd001ee174587d0ff8931415e33	C0142_RmHost.2.fq.gz	605b0731b827feeafd06154688a612e2		
CNP0000334	CNS0046823	C0143	CNX0036814	CNR0054893	DNA-seq of human gut	C0143	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0143_RmHost.1.fq.gz	67e3971c5ff5a89545e592cdc47b850c	C0143_RmHost.2.fq.gz	f0a66a4c11f3fdf681995459d47024c3		
CNP0000334	CNS0046781	C0144	CNX0036815	CNR0054894	DNA-seq of human gut	C0144	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0144_RmHost.1.fq.gz	d972c89ed824971dcfd23f5ab8f7045f	C0144_RmHost.2.fq.gz	2553b09f6309216e95c55b0eb4ddc150		
CNP0000334	CNS0046990	C0147	CNX0036816	CNR0054895	DNA-seq of human gut	C0147	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0147_RmHost.1.fq.gz	d81c9c78f0f4f456c1157cf6db082082	C0147_RmHost.2.fq.gz	e476ea052357c36dc388501844463d23		
CNP0000334	CNS0046725	C0149	CNX0036817	CNR0054896	DNA-seq of human gut	C0149	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0149_RmHost.1.fq.gz	9bb246081906151a53b9ecefc1af9739	C0149_RmHost.2.fq.gz	1c9fac4ce0a18a4c1a658956110f3431		
CNP0000334	CNS0047032	C0150	CNX0036818	CNR0054897	DNA-seq of human gut	C0150	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0150_RmHost.1.fq.gz	54afa9e7692f61be1601627e02f8927f	C0150_RmHost.2.fq.gz	b91d07ff6f2c1a30d2d992d391777edb		
CNP0000334	CNS0046894	C0151	CNX0036819	CNR0054898	DNA-seq of human gut	C0151	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0151_RmHost.1.fq.gz	951bfa06ebb695f6e12042ada0c7549e	C0151_RmHost.2.fq.gz	9ebd2430875232bcf918947b9e71bafd		
