"","2-Hydroxybutyric acid","3-Hydroxybutyric acid","3-Phosphoglyceric acid","5-Aminovaleric acid","6-Phosphogluconic acid","AMP","Adenine","Adenosine","Ala","Arg","Asn","Asp","Betaine","Butyric acid","CMP","Carnosine","Cholic acid","Choline","Citric acid","Citrulline","Creatine","Creatinine","Cytidine","Cytosine","Deoxycholate","Fructose 6-phosphate","Fumaric acid","GABA","Gln","Glu","Gluconic acid","Glucose 1-phosphate","Glucose 6-phosphate","Gly","Glycerol 3-phosphate","Glycocholic acid","Guanine","Guanosine","His","Homoserine","Hydroxyproline","Hypoxanthine","Ile","Inosine","Isocitric acid","Lactic acid","Leu","Lys","Malic acid","Met","N,N-Dimethylglycine","NAD+","Ornithine","Phe","Pro","Propionic acid","Putrescine","Ribulose 5-phosphate","S-Adenosylmethionine","Sarcosine","Sedoheptulose 7-phosphate","Ser","Spermidine","Spermine","Succinic acid","Taurocholic acid","Thr","Thymidine","Thymine","Trimethylamine","Trimethylamine N-oxide","Trp","Tyr","Tyramine","UDP","UMP","Uracil","Uridine","Val","dTMP","dTTP","β-Ala"
"06_C2",91.5147594652077,1014.15970907634,0,5545.31083892038,0,110.869111114055,124.472510551137,45.5535606037711,5037.99254994258,114.882984490291,35.6168222976708,2102.75290958346,271.609001530059,131487.541363876,0,19.7709890989011,9461.11090552925,769.259421213486,0,302.196655966336,763.349583244301,698.082714523339,43.6040180287817,14.3527857035951,3955.9703670224,47.1152833495691,0,1815.67377751225,433.748814593503,6539.03881797833,1245.83929517237,0,223.518344904664,15819.6238610088,0,183.370180251178,114.94278517418,7.88666120368438,585.135598747925,87.393344268842,845.394090709609,201.327104590656,131.676419429631,21.514871791224,0,2465.27997793251,150.502534708062,3431.01107022648,165.881463236247,283.295567963371,0,224.801224685598,395.248796003003,215.146199338899,1823.825017296,38804.0759096675,2699.09786367113,0,18.7623498775811,208.969708850163,0,311.453659235568,55.7129261821074,0,52118.9649370868,48.6549622295832,845.241973254768,91.0936789374894,370.248621578186,42.4241721315489,0,664.41227013082,461.160016141412,16.5997038414265,0,117.439952076757,128.036821482282,153.096021052461,422.39020013206,0,0,213.514913867998
"06_C3",0,492.066473866296,0,7418.56243305132,0,17.837483220393,86.3913569144464,9.64856555355585,930.204197186634,92.2647775658362,41.8253867501481,2068.51833488643,36.2890895769644,65868.7896263961,0,0,14701.6825840436,243.75096958776,0,431.770501812365,499.293374534251,304.168894107787,3.69328139942189,4.71490328008336,5904.02850859985,0,0,3004.50607278145,222.425558678759,5487.50171926634,63.4649397112285,0,0,10117.9142070632,0,623.455100128294,208.532571247209,8.54104646121831,157.1348777299,31.6943574274014,392.360364156537,360.420391272599,96.6137741806185,21.6509065877346,0,757.934637194176,158.052251286902,1944.17282272288,79.4869677337992,90.9603415404999,6.34269905356103,23.0679771827931,301.271783606749,108.452749613019,999.271497665104,97866.0159279876,2382.16230279008,0,9.10914762352887,465.081916363855,0,236.620842665682,68.777109356881,0,4110.88953728798,165.604736893448,176.449189062987,309.580634294223,231.842417155108,0,0,185.693457066546,215.316618639227,32.1990947520658,0,0,242.515336213464,88.0892387244144,202.46615004191,0,0,282.557497583939
"06_T1",0,155.435576130846,0,141.032844269493,0,0,5.30861006051092,4.35301555669009,487.758096280935,18.4456404984045,9.86121841908108,1530.81410710876,0,39323.9709537383,0,0,13730.1192002668,22.9272973653026,0,444.790660643338,5.64753187589555,1.96119899261263,0,2.72042093889678,8110.23404240227,0,0,25.4008639035829,17.4609400099789,5714.47020927497,0,0,0,330.608264987829,0,17.700333730068,1571.79020663249,2.30318885974192,61.6167823183225,16.854751792708,5.79959484111153,188.043713639791,77.1675982133213,18.2185425057783,0,627.880155803805,100.778730882148,836.758634077871,123.37328131611,67.6619959209607,0,34.2894912978327,107.097540578209,43.2208411848046,315.221679682949,59941.6196524709,30.8301225218843,0,5.49971037757907,0,0,148.879508092676,35.388059840344,0,1249.53180396758,9.46919303451174,41.9372844668395,30.2782684143343,194.458739823809,8.7577614691562,0,21.8344659296166,125.85655547465,9.36867710146058,0,0,75.6444739919229,62.6718037957691,194.637532526883,0,0,31.9203400135876
"06_T2",0,470.629859172254,0,1551.17105320432,0,29.6728612394273,29.1776065790873,10.9775051023554,1100.55922409748,154.66121289579,0,2493.97368182795,0,109480.386037657,0,0,11420.9860752454,67.8364557062472,0,552.966511091228,83.22507569507,191.467196849128,3.71468646763918,3.13031319309696,4638.59022319631,0,0,596.325889139254,134.156738871978,7742.53902164282,0,0,0,1297.62537043564,0,21.9244039995104,607.435502738829,4.87809784678799,174.366741946156,32.6948309643577,76.1525850452753,546.518703548868,65.050632562731,103.764779472442,0,919.700951959617,67.2218590219588,1845.96560509451,86.7975211786731,68.7795579136812,0,68.9922599434502,317.598898758258,47.0004486734712,681.886654482238,120195.556355614,1500.64571667558,0,15.5360629725091,98.5194169237955,0,160.616391282413,134.733193100339,0,2764.37372121359,34.8794249153838,146.906497193821,54.3439215646466,179.960817222485,11.3048422042829,0,67.4518265759187,267.273458920099,26.9472864929177,0,0,97.6168524129504,109.943447178003,149.119624899543,0,0,178.408365003339
"06_T3",34.5884811021634,451.419705065765,0,5544.91757318136,0,51.1298327757246,26.9073951590794,24.298381629841,1291.96183922719,104.711984128114,16.772434601532,3248.8348830645,60.9974927547856,76058.1688212717,0,6.47125839898088,16503.577493774,165.429753667135,0,595.647748913482,1736.67611627052,1018.40406717623,7.27702778303437,4.14578654089735,6826.58364056962,0,0,1022.16144291423,255.53424585554,7527.24550484992,0,0,26.5058603856725,1472.80472951769,0,35.526633252292,1261.39695851975,9.36980518117663,221.507363833886,44.5931867185262,848.845325416662,399.073613615671,88.5713666363965,197.04383664338,0,975.889138653895,124.509884003635,2371.96387632046,345.670607363968,103.735307207978,0,64.7380681931718,405.188598937431,83.6524029818062,4778.54498667126,82704.1841511997,2573.13807047026,0,22.9864977683511,108.833040012989,0,317.822957699609,63.8848480371832,0,95076.5657884453,55.2576255287447,332.7978706784,54.6089667438416,178.774764345944,77.5062507924949,0,62.4712790750803,370.345133254052,70.3643080126643,0,0,93.9061522264062,111.02638846093,288.265293088307,0,0,457.884049314312
"07_T1",28.3887142457781,210.364486212527,0,453.666000982059,146.805201573499,19.340735259648,20.0893371344292,10.7310631120156,1123.98596747572,53.0346991934714,31.844721993582,1177.08528427375,0,31498.8034660073,0,0,34485.983467503,244.893450570625,92.6058696936344,323.1434943055,6.14089900445998,16.202319440552,0,8.39876802794163,11869.1647713077,0,0,139.776300852573,70.723904547497,7470.11127384322,36.2564777245755,0,0,535.940927203919,0,25.5716149076923,34.176605115659,0,226.362193167366,76.610393614599,25.7836051854896,74.7525743702275,145.951826378266,25.8340532232757,0,729.462306855282,269.717521990047,1139.67121032136,661.93249527916,96.406039402062,12.7530152619203,87.0911169065295,318.788077119179,260.000420025671,361.916270683838,74329.6524687311,3769.47227653159,0,5.29924679894362,17.7395845080417,0,202.234881711283,60.1941517574127,0,1883.86495117332,14.617134268238,164.752622746382,116.496562501264,115.183760151217,108.297736043085,0,35.2038206600357,256.372015559096,66.6765416249235,0,0,151.068802836032,102.05048225701,499.126050247145,0,0,682.399613150522
"07_T2",578.608124292874,289.79794778138,0,5231.04731135746,0,0,21.7121769233701,14.624498708254,5411.35336687693,53.6103730974874,21.1880404959238,1634.1266595182,259.483188091521,26185.0709250577,0,24.8905158267776,39260.7156203991,226.933719599095,51.2717425604224,566.937358158502,2059.917001482,665.255422153006,18.2722215205008,10.4550607662198,12575.9845145235,0,0,176.006002493403,452.834846465033,5810.93804496594,1222.44897758997,0,82.8425740305278,11642.1338698499,0,423.717726550002,25.9023227255673,16.0764882862586,834.960405752877,107.900479044973,50.7877079399156,361.572463425747,1498.32593014745,118.461106867314,0,29929.3170819222,3072.12429616247,339.256339946146,856.499340892947,315.588049925834,15.4694612865492,87.929456936782,161.944018380488,2605.94964111645,1026.80420235899,132786.394488737,4327.34439192585,0,17.1370905519131,89.3142157448733,0,494.113313168915,145.74093675792,15.4048198166938,13245.3872382099,202.537094990509,623.589747323569,70.427703698901,396.034383025055,52.6214494979017,0,494.21168409545,1100.06769057384,100.719704334367,0,0,325.119843963629,135.958613796923,4796.44099122979,0,0,1865.35215057355
"07_T3",129.316964431926,147.080712692367,0,5277.02281032349,0,0,6.90895514501322,2.71714268929717,1492.12795714619,76.2935037102815,0,1087.37443957565,0,94025.3569747657,0,11.9565610975605,16227.9837701175,193.996148226445,0,528.689875043821,84.2262031717684,826.709902661195,3.12416197730547,0,11051.3971959812,0,0,499.784669428159,100.908132011514,5489.11013501132,0,0,0,783.248996388091,0,71.9430814926415,32.7945714252233,12.6453853995312,159.397990243232,46.482449847245,39.2180297428556,362.620207800827,309.661683221986,192.032978533228,0,868.236885632478,528.797297780135,1273.79399166919,130.335776486558,166.700510079911,12.048617280697,0,207.301179742692,244.387963084207,677.525276500385,204287.77488954,2135.87906630117,0,5.72227060183164,68.2311619282179,0,367.921580815516,115.808887502199,9.5708914540438,1285.57205390221,140.812294858155,193.949411269443,47.6092788501682,162.569297593143,0,0,73.1326114293554,336.088609218657,100.114400779121,0,0,131.263704610579,61.9581234692101,610.430783617743,0,0,633.930729012876
"07_C1",0,47.9202255376586,0,200.383536763434,58.3666459733176,0,8.47501585065851,6.14364269573513,509.756701570291,52.9076283393764,0,1370.60616512246,0,42114.3853986538,0,0,6720.20139321361,139.680628684222,39.281474937734,441.48376932865,8.91894712527277,2.97701475283636,0,0,31226.9788553586,0,0,35.2668107213493,15.5998699244824,8363.08932326562,0,0,0,323.781723397006,0,20.4193045159876,8.35246186460182,0,154.941999292399,34.5818947584274,17.1987102464039,124.949827354556,46.9563188429429,97.3622150615179,0,670.439095312105,66.79848677796,1168.75933610745,138.200841937913,63.9987338649476,17.8331205285428,47.0231019414375,115.331344983488,83.3553440212679,654.900590146209,97918.8843292519,186.429305204626,0,4.47958303771838,23.0566374495087,0,135.284947706164,72.7518715495197,0,2085.79537886851,16.4642324038946,47.9583382946231,147.515204341713,74.8600292077798,0,0,36.0787219107842,194.402396839364,30.1705639575202,0,0,90.3280904341824,144.242659076348,161.4093563507,0,0,54.3735710699507
"07_C2",56.6164299354991,187.221047176904,0,1742.74866938941,81.2177006089624,0,13.8863274770948,7.93565905753607,1487.2284931704,26.2455880620971,0,1812.22049004022,42.9629449368629,26981.3289422887,0,0,27806.0342906925,124.377385560595,28.6731785715579,470.692903050724,513.150280387819,190.55004093263,6.85417278526746,5.06556000991332,13392.7263461176,22.6064890765603,0,86.965161176536,48.2660523440297,8664.87937052845,65.3946729321222,0,44.2375512495152,1436.15663174334,0,63.6152946530891,21.4949903264711,11.1013567475091,266.782146124772,71.8819885172691,26.8654841106972,611.578270895165,227.728895902755,85.8228982458121,0,810.893532900045,508.169535086509,473.219949087775,975.694097861285,122.118516122602,13.1666861911391,35.1745259837186,179.760641825938,541.162717840824,753.0824286116,81119.3304866487,1257.51800045441,0,9.45930325679711,141.475257394295,0,182.999462047189,57.1882894318503,0,2428.49637433875,34.0727299750356,252.188781921778,58.9047408819807,128.375720313124,43.2054389830636,0,53.6967595289328,445.285947807415,49.4087209500218,0,0,281.470842369211,111.214042732886,1036.48454808904,0,0,271.685614003784
"07_C3",0,91.5766786584134,0,270.778837990473,60.1467911846715,30.8725381646266,6.58701312540057,5.55253151177146,574.570813045685,53.9635974148862,0,1037.0500496085,0,59919.3674369815,0,0,17407.7247203687,91.5921996125555,93.2511519975988,268.457445738863,5.85383356788968,0,0,3.11291215383475,24452.2936426906,0,0,21.5889295994803,21.7206982604126,6828.67368533797,0,0,0,341.584939740212,0,33.7768028764492,7.70462075761005,12.5238307699028,86.0584619859624,27.3803502049306,0,36.0593022557708,86.4240323134004,81.3659784062274,0,779.396984093152,111.338762750426,746.648533409671,165.592630740564,50.5509507128037,17.6427964831316,79.8462053145115,141.700707137906,85.8591560758488,578.034285810321,120521.362307277,140.947723236219,36.2899739523852,3.25638494889707,0,0,180.638103080466,61.8802165015301,0,1765.03951708621,17.9595069888873,59.7830477305752,60.1023987875329,49.7752278558858,0,0,41.2580678506358,197.396419033816,16.6868398050818,0,0,75.2676428322899,94.5286677237348,209.695901911449,0,0,44.0599400462469
"09_C1",0,55.2933337440725,0,128.195182913102,0,26.7337034448883,39.2969977842192,15.9369247209911,531.192863068054,257.998080868766,0,826.785074495524,0,11775.0785938753,0,0,104.087667444088,35.1334020718871,0,709.104051276092,6.25936025756709,2.07456275220791,4.64913908623175,5.36491643670425,9328.01887011687,0,0,19.7830860253685,19.9429782349346,10272.3730603043,0,0,0,283.968650228583,0,9.3483108654998,60.9564940548026,3.41715965431227,114.970708649552,16.3887983053289,0,84.627723284426,67.2511214057125,20.5508758868542,0,1260.66428803503,94.9032796294524,1437.36186615941,53.607737353339,127.037314395777,0,320.421529381876,144.244784918894,30.9274608875112,637.974116062434,13006.6487910437,8.12117944910872,0,5.37135406555648,0,0,130.904213488031,10.4224712129786,0,492.478880765517,5.61428359809915,17.9940448338083,83.5079263088489,107.245950218745,0,0,27.0291330628431,84.1647733100535,14.2081424326474,0,0,96.2974478275385,113.875588919622,220.407800687002,0,0,64.2050691468897
"09_C2",56.1144172142432,96.0071652191879,0,782.756130219738,0,27.0469221934025,8.94256079890041,7.2278195111741,1499.25539145204,82.8777504037585,0,2161.02523931422,0,56646.4391126434,0,0,446.866459409504,82.6940342588617,81.712556763207,746.847265779684,99.822850268418,90.6351199406297,4.68351227666905,3.97739560430277,5147.04592780656,0,0,106.029119432923,156.192482966434,12140.6674123601,74.210218383605,0,163.774762863496,835.16826861809,31.0443837930488,25.8499572747082,87.5218383383015,7.31849243935454,187.013928634083,97.1533333579295,150.161952312493,394.596818758444,149.796986518834,271.076492979495,0,5087.14416288565,192.390809921552,1692.44070111325,414.380354400924,116.463223318057,0,77.5591093865835,319.851003302734,93.2540957954352,822.869971607295,53087.2596413442,79.6112042362187,26.5728140138566,12.729237638267,28.3371545496341,0,269.349584219733,25.3288633238449,0,6292.41197384477,12.7671956172819,235.528032245376,288.48361059499,153.84062113677,44.4893442769055,0,48.2416260727841,176.088923997633,8.09828736644559,0,0,187.241745243797,104.960605385273,444.381977590869,0,0,86.7777482282115
"09_C3",0,52.1031789276661,0,157.425963175119,0,120.216997867106,69.864277318834,28.669157580024,932.193739511833,587.316638991467,15.4374957174478,2686.0199480121,0,42887.9687171094,0,0,77.3284476446693,72.3215288027157,74.3448248812182,769.149668714269,21.3540729587678,7.02639207947041,0,8.89862202799331,3850.06607081152,0,0,25.0481288584064,75.3109472763748,16937.8536830904,0,0,0,665.320000581362,0,9.0386149380203,33.002060123318,5.81964614196203,176.842588151073,62.6039312276004,12.466578322677,153.033887274803,116.129513827068,81.4752280605611,0,769.598146373105,124.499513370039,2571.4609455376,243.847132442958,127.927698441594,0,451.496212751857,291.033820745516,42.6997443027891,621.104633867782,52288.5400575165,87.1156922362315,0,20.5269315356565,29.4675528108338,0,178.43473442133,78.3279456161279,0,1940.53155440561,0,93.1555512550621,110.815473975313,78.6779383485664,0,0,42.1680300302515,151.69192018817,7.59192075496991,0,0,167.710917856777,200.902049644191,272.631934885038,25.2344586283788,0,106.402219188665
"09_T1",0,78.0201046246501,0,214.116363045626,0,33.4790456229476,15.9327373126976,9.51742569997193,650.599759118605,376.027705747185,13.7177461285118,566.670367819606,0,25098.8196059556,0,0,68.9773869436813,20.2264845285001,0,265.335032140345,3.61136191282254,4.084542006785,0,0,3712.10971793567,0,0,18.2465841191273,30.5798324735825,7230.34747877139,0,0,0,327.768749156851,0,17.3019278797845,13.3467746329909,5.89065483238634,141.872227876606,19.842407636666,14.8564750781164,30.9132689812155,84.421244230348,34.5028487259908,0,524.847695449063,113.794208910555,1721.87983079044,48.4589298407807,57.742036919551,0,217.891634908348,150.544190603013,32.9606294585118,447.265243251119,32632.3474591506,16.4601071480556,0,5.26138982461962,0,0,152.249821236636,13.2090583382236,0,601.919939386251,0,42.0814743031166,94.2314155106503,172.130931834088,0,0,22.0131568001553,100.463229780178,15.256371770443,0,0,0,108.554189376909,253.563276214361,0,0,42.5097343109932
