Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study
DRR200107,AMPLICON,601,16825738,PRJDB8511,SAMD00177845,MIMARKS.survey.human-gut,10649905,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190515,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:24:00Z,1,SAMD00177845,03_C3,DRP007234
DRR200108,AMPLICON,601,11108479,PRJDB8511,SAMD00177846,MIMARKS.survey.human-gut,7038570,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190516,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:23:00Z,1,SAMD00177846,03_T1,DRP007234
DRR200109,AMPLICON,601,16735600,PRJDB8511,SAMD00177847,MIMARKS.survey.human-gut,10697845,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190517,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:24:00Z,1,SAMD00177847,03_T2,DRP007234
DRR200110,AMPLICON,601,17852989,PRJDB8511,SAMD00177848,MIMARKS.survey.human-gut,11349806,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190518,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:25:00Z,1,SAMD00177848,03_T3,DRP007234
DRR200111,AMPLICON,601,15670517,PRJDB8511,SAMD00177849,MIMARKS.survey.human-gut,10056384,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190519,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:25:00Z,1,SAMD00177849,04_T1,DRP007234
DRR200112,AMPLICON,601,15354937,PRJDB8511,SAMD00177850,MIMARKS.survey.human-gut,9958708,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190520,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:25:00Z,1,SAMD00177850,04_T2,DRP007234
DRR200113,AMPLICON,601,15911010,PRJDB8511,SAMD00177851,MIMARKS.survey.human-gut,10126430,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190521,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:25:00Z,1,SAMD00177851,04_T3,DRP007234
DRR200114,AMPLICON,601,17687437,PRJDB8511,SAMD00177852,MIMARKS.survey.human-gut,11364501,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190522,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:25:00Z,1,SAMD00177852,04_C1,DRP007234
DRR200115,AMPLICON,601,14996262,PRJDB8511,SAMD00177853,MIMARKS.survey.human-gut,9633790,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190523,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:25:00Z,1,SAMD00177853,04_C2,DRP007234
DRR200116,AMPLICON,601,17831000,PRJDB8511,SAMD00177854,MIMARKS.survey.human-gut,11375107,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190524,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:25:00Z,1,SAMD00177854,04_C3,DRP007234
DRR200117,AMPLICON,601,16891049,PRJDB8511,SAMD00177855,MIMARKS.survey.human-gut,10706612,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190525,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:23:00Z,1,SAMD00177855,05_C1,DRP007234
DRR200118,AMPLICON,601,17960133,PRJDB8511,SAMD00177856,MIMARKS.survey.human-gut,11299336,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190526,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:24:00Z,1,SAMD00177856,05_C2,DRP007234
DRR200119,AMPLICON,601,16224887,PRJDB8511,SAMD00177857,MIMARKS.survey.human-gut,10289866,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190527,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:25:00Z,1,SAMD00177857,05_C3,DRP007234
DRR200120,AMPLICON,601,15431162,PRJDB8511,SAMD00177858,MIMARKS.survey.human-gut,9856653,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190528,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:24:00Z,1,SAMD00177858,05_T1,DRP007234
DRR200121,AMPLICON,601,19200915,PRJDB8511,SAMD00177859,MIMARKS.survey.human-gut,12011788,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190529,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:24:00Z,1,SAMD00177859,05_T2,DRP007234
DRR200122,AMPLICON,601,16038468,PRJDB8511,SAMD00177860,MIMARKS.survey.human-gut,10137510,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190530,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:25:00Z,1,SAMD00177860,05_T3,DRP007234
DRR200123,AMPLICON,601,15063989,PRJDB8511,SAMD00177861,MIMARKS.survey.human-gut,9625058,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190531,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:25:00Z,1,SAMD00177861,06_C1,DRP007234
DRR200124,AMPLICON,601,18229394,PRJDB8511,SAMD00177862,MIMARKS.survey.human-gut,11526056,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190532,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:24:00Z,1,SAMD00177862,06_C2,DRP007234
DRR200125,AMPLICON,601,17734789,PRJDB8511,SAMD00177863,MIMARKS.survey.human-gut,11196540,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190533,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:24:00Z,1,SAMD00177863,06_C3,DRP007234
DRR200126,AMPLICON,601,19059356,PRJDB8511,SAMD00177864,MIMARKS.survey.human-gut,11949746,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190534,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:23:00Z,1,SAMD00177864,06_T1,DRP007234
DRR200127,AMPLICON,601,17115764,PRJDB8511,SAMD00177865,MIMARKS.survey.human-gut,10802461,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190535,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:23:00Z,1,SAMD00177865,06_T2,DRP007234
DRR200128,AMPLICON,601,16546796,PRJDB8511,SAMD00177866,MIMARKS.survey.human-gut,10545704,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190536,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:24:00Z,1,SAMD00177866,06_T3,DRP007234
DRR200129,AMPLICON,601,17840414,PRJDB8511,SAMD00177867,MIMARKS.survey.human-gut,11177839,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190537,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:24:00Z,1,SAMD00177867,07_T1,DRP007234
DRR200130,AMPLICON,601,18232020,PRJDB8511,SAMD00177868,MIMARKS.survey.human-gut,11522601,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190538,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:23:00Z,1,SAMD00177868,07_T2,DRP007234
DRR200131,AMPLICON,601,16177623,PRJDB8511,SAMD00177869,MIMARKS.survey.human-gut,10230468,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190539,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:23:00Z,1,SAMD00177869,07_T3,DRP007234
DRR200132,AMPLICON,601,19318926,PRJDB8511,SAMD00177870,MIMARKS.survey.human-gut,12107114,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190540,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:24:00Z,1,SAMD00177870,07_C1,DRP007234
DRR200133,AMPLICON,601,15004374,PRJDB8511,SAMD00177871,MIMARKS.survey.human-gut,9554809,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190541,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:25:00Z,1,SAMD00177871,07_C2,DRP007234
DRR200134,AMPLICON,601,14374933,PRJDB8511,SAMD00177872,MIMARKS.survey.human-gut,9136090,METAGEN,2016,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX190542,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,35.689921 N 139.769628 E,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,Metabologenomic approach reveals the feature of intestinal environment associated with barley-induced blood parameter improvements in Japanese cohort: a randomised controlled trial,2021-04-30T00:00:00Z,2021-04-30T13:25:00Z,1,SAMD00177872,07_C3,DRP007234
