"","sample_id","3.oxolithocholic_acid","Acetate","alloisolithocholic_acid","Butyrate","cholic_acid","deoxycholic_acid","glycocholic_acid","isodeoxycholic_acid","lithocholic_acid","propionate","succinate","taurocholic_acid","5aminovalerate","allocholic_acid","alpha.muricholic_acid","beta.muricholic_acid","chenodeoxycholic_acid","Glycine","glycochenodeoxycholic_acid","proline","taurochenodeoxycholic_acid","Tyramine","ursocholic_acid","ursodeoxycholic_acid","5hiaa","anthranilic_acid","kynurenic_acid","kynurenine","niacin","Phenylalanine","serotonin","tryptamine","Tryptophan","Tyrosine"
"183","LiverD-054.03",1.803552189,51.48,0.595942302,9.38,527.212109,0.833514765,0.551142039,0.029245341,0.626180653,13.53,1.23,0.02140218,,,,,,,,,,,,,,,,,,,,,,
"184","LiverD-054.02",1.28692363,32.59,0.361649036,3.35,417.9414348,0.204823129,0.245870059,0.138797715,1.046404235,7.84,1.11,0.034472709,,,,,,,,,,,,,,,,,,,,,,
"185","MLiverD-389.04",0,26.18,0,0.82,99.05134246,1.744464306,0.522338554,0,0,1.26,3.64,1.54663639,,,,,,,,,,,,,,,,,,,,,,
"186","LiverD-051.06",1.35,33.9,1.008,12.47,277.583,0.281,0.256,0.185,1.547,32.45,0,0.59,,,,,,,,,,,,,,,,,,,,,,
"187","LiverD-050.02",41.886,60.06,168.607,7.72,4.473,268.757,1.042,21.625,705.252,15.4,4.89,0.988,,,,,,,,,,,,,,,,,,,,,,
"188","LiverD-051.10",0.917,88.68,0.438,0.87,158.714,0.322,0.281,0.356,1.722,0.7,2.6,0.392,,,,,,,,,,,,,,,,,,,,,,
"189","LiverD-049.04",0.043,52.57,0,3.44,88.003,0.234,1.671,0,0,19.23,2.89,0.036,,,,,,,,,,,,,,,,,,,,,,
"190","LiverD-054.01",0.393055212,23.74,0.411751976,3.54,1168.571258,0.396712348,14.11919652,0,0.367778921,6.69,2.86,0.884280383,,,,,,,,,,,,,,,,,,,,,,
"191","LiverD-279.07",0,0,0,0.28,8.54,0,2578.38,0,0.07,0.13,0,382.49,,,,,,,,,,,,,,,,,,,,,,
"192","LiverD-284.07",0,44.99,0,16.04,42.99,0.03,0,0,1.83,1.81,57.29,0,,,,,,,,,,,,,,,,,,,,,,
"193","LiverD-049.03",0.124,28.29,0,2,131.156,0.54,2.689,0,0.043,8.21,1.93,0.748,,,,,,,,,,,,,,,,,,,,,,
"194","LiverD-279.06",0,0.47,0,0.28,4.2,0,1520.31,0,0,0.13,0,192.17,,,,,,,,,,,,,,,,,,,,,,
"195","LiverD-187.21",0,41.04,0,0.92,80.17,0,0,0,0,11.92,2.09,0,,,,,,,,,,,,,,,,,,,,,,
"196","LiverD-118.09",0,3.18,0,0.28,32.24,0,6.62,0,0,0.13,0,14.96,,,,,,,,,,,,,,,,,,,,,,
"197","LiverD-100.02",0,0,0,0.28,4.09,0,1193.12,0,0,0.13,0,650.99,,,,,,,,,,,,,,,,,,,,,,
"198","LiverD-072.18",106.09,33.9,9.03,4.29,0.92,146.72,0,21.88,319.29,11.47,0,0,,,,,,,,,,,,,,,,,,,,,,
"199","LiverD-072.17",64.41,33.58,12.42,2.57,1.05,276.39,0,27.48,300.11,8.89,0,0,,,,,,,,,,,,,,,,,,,,,,
"200","LiverD-118.08",0,5.05,0,0.41,25.36,0,106.2,0,0,0.3,1.45,41.42,,,,,,,,,,,,,,,,,,,,,,
"201","LiverD-029.11",0,9.01,0,0.28,233.99,0,1.04,0,0,0.46,0.83,4.01,,,,,,,,,,,,,,,,,,,,,,
"202","LiverD-021.01",0,11.62,0,0.55,28.18249516,0,0.754540424,0,0,2.5,10.44,21.65404498,,,,,,,,,,,,,,,,,,,,,,
"203","LiverD-308.01",6.58,71.75,0,7.85,0.57,7.49,0,2.91,23.48,15.81,30.61,0,,,,,,,,,,,,,,,,,,,,,,
"204","LiverD-053.01",0.43172944,6.54,0,0.93,0.017464062,0.047101533,0,0,0.013184385,1.6,0.46,0,,,,,,,,,,,,,,,,,,,,,,
"205","LiverD-303.04",0,44.45,0,0.35,3,0,0,0,0,3.86,0.87,0,,,,,,,,,,,,,,,,,,,,,,
"206","LiverD-303.02",0,27.52,0,0.6,3.42,0,0,0,0,0.22,6.39,0,,,,,,,,,,,,,,,,,,,,,,
"207","LiverD-303.01",41.22,68.57,2.32,8.75,0.38,44.93,0,1.74,61.36,6.9,0.3,0,,,,,,,,,,,,,,,,,,,,,,
"208","LiverD-304.01",0,23.69,0,2.43,0.41,3.02,0,0.06,1.06,9.69,0.07,0,,,,,,,,,,,,,,,,,,,,,,
"209","LiverD-302.01",0,27.84,0,0,1.24,0,0,0,0,0.17,4.85,1.22,,,,,,,,,,,,,,,,,,,,,,
