Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,3-oxolithocholic_acid,Acetate,alloisolithocholic_acid,Butyrate,cholic_acid,deoxycholic_acid,glycocholic_acid,isodeoxycholic_acid,lithocholic_acid,propionate,succinate,taurocholic_acid,adapter,DNAconc,ForwardBarcode,Group,libraryname,mouse.number,nseqs,reads.in,reads.out,ReverseBarcode,sampleid,treatment
SRR22802071,WGA,313,3396572867,PRJNA912122,SAMN32225638,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1373263378,UNIVERSITY OF CHICAGO,2021-09-24,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18761990,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-129.04,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T04:02:00Z,1,LiverD-129.04,SRP413645,0,10.29,0,4.65,0.248745,0,0,0,0,1.25,7.18,0,,,,,,,,,,,,
SRR22802072,WGA,313,3267562882,PRJNA912122,SAMN32225637,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1319007483,UNIVERSITY OF CHICAGO,2021-09-22,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18761989,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-129.02,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T02:47:00Z,1,LiverD-129.02,SRP413645,0.326643,4.37,0,2.08,16.983979,0.306827,0,0,0.101822,0.47,0.92,0,,,,,,,,,,,,
SRR22802073,WGA,313,3479795091,PRJNA912122,SAMN32225640,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1403216339,UNIVERSITY OF CHICAGO,2021-09-30,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18761992,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-129.07,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T03:11:00Z,1,LiverD-129.07,SRP413645,0,30.33,0,0.54,9.466,0,0,0,0,0.76,2.23,0,,,,,,,,,,,,
SRR22802074,WGA,313,3383629068,PRJNA912122,SAMN32225636,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1369829535,UNIVERSITY OF CHICAGO,2021-09-22,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18761988,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-129.01,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T03:16:00Z,1,LiverD-129.01,SRP413645,0.103296,51.61,0.022073,32.23,0.499756,0.363175,0,0,17.952869,7.81,0,0,,,,,,,,,,,,
SRR22802075,WGA,291,1975004742,PRJNA912122,SAMN32225338,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1047072172,UNIVERSITY OF CHICAGO,2021-10-05,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18761987,USA,North America,"USA: Chicago\, IL",Homo sapiens,NextSeq 500,41.88 N 87.63 W,LiverD-028.07,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T03:32:00Z,1,LiverD-028.07,SRP413645,0,17.87,0,2.33,266.607,0,5.12,0,0,3.45,0,2.791,,,,,,,,,,,,
SRR22802076,WGA,291,1626341527,PRJNA912122,SAMN32225329,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",858429183,UNIVERSITY OF CHICAGO,2021-10-11,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18761986,USA,North America,"USA: Chicago\, IL",Homo sapiens,NextSeq 500,41.88 N 87.63 W,LiverD-024.13,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T02:25:00Z,1,LiverD-024.13,SRP413645,0,40.97,0,3.87,130.75,0,13.816,0,0,6.05,1.51,5.897,,,,,,,,,,,,
SRR22802077,WGA,289,1489104972,PRJNA912122,SAMN32225333,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",811053041,UNIVERSITY OF CHICAGO,2021-04-30,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18761985,USA,North America,"USA: Chicago\, IL",Homo sapiens,NextSeq 500,41.88 N 87.63 W,LiverD-027.01,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T02:34:00Z,1,LiverD-027.01,SRP413645,0,6.33,0,0.23,22.271,0,0,0,0,0.73,1.31,0,,,,,,,,,,,,
SRR22802078,WGA,291,2045125430,PRJNA912122,SAMN32225319,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1076820204,UNIVERSITY OF CHICAGO,2021-10-06,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18761983,USA,North America,"USA: Chicago\, IL",Homo sapiens,NextSeq 500,41.88 N 87.63 W,LiverD-022.06,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T02:49:00Z,1,LiverD-022.06,SRP413645,22.936,10.74,1.611,1.64,0.474,15.048,0,0.684,212.973,3.02,0,0,,,,,,,,,,,,
SRR22802079,WGA,313,4540625089,PRJNA912122,SAMN32225318,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1840301742,UNIVERSITY OF CHICAGO,2021-09-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18761982,USA,North America,"USA: Chicago\, IL",Homo sapiens,Illumina NovaSeq 6000,41.88 N 87.63 W,LiverD-022.04,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T04:26:00Z,1,LiverD-022.04,SRP413645,0.865229,21.7,0,1.18,9.201612,0,0,0,1.033041,1.4,5.67,0,,,,,,,,,,,,
SRR22802080,WGA,282,1900326416,PRJNA912122,SAMN32226114,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1103615315,UNIVERSITY OF CHICAGO,2021-08-17,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX18761981,USA,North America,"USA: Chicago\, IL",Homo sapiens,NextSeq 500,41.88 N 87.63 W,LiverT-081.02,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2022-12-19T00:00:00Z,2022-12-19T03:13:00Z,1,LiverT-081.02,SRP413645,11.24,81.55,5.27,11.88,0,19.62,0,2.56,53.09,22.76,7.19,0,,,,,,,,,,,,
