"sample_id","(+/-)-Tryptophan","1,5-Diaminopentane","16.89_propanoic acid","20.13_butanoic acid","26.93_hexanoic acid","4-Aminobutyrate","Asp","choline","Glucose (and isomers)","Gly","hippurate","His","putrescine","Valeric/Isovaleric Acid"
"Gran_51_T",1.24986457,13.90991526,15.16189679,9.19773665,0.55693667,0.179,4.21482094,0.31579947,0.89399328,2.02368503,0.07545876,1.74662883,10.58722679,15.09572017
"Moth_24_T",0.2463485,0.04684764,5.69589643,8.47906627,1.1703637,0.041,0.51666402,0.01590242,0.0845113,0.4440926,0.05909047,0.13381361,0.02861067,7.14252638
"Moth_21_T",0.36515581,0.13116802,7.69376677,15.86034545,1.35064111,0.132,2.04750727,0.0924012,0.15131305,0.78776907,0.06521958,0.31066443,0.1215284,15.32527053
"Inf_25_T",1.1999412,0.7492125,12.3624658,4.8005814,0.8424276,2.693,6.0724358,2.0073453,2.6808794,4.0278109,0.1083203,7.0941798,1.6854313,0.6262785
"Inf_35_T",0.61910149,1.51650154,0.36181512,0.19519583,0.08752733,7.246,1.19040926,1.44741205,3.02412874,1.19374118,0.03670668,0.60255575,1.07087974,0.02833276
"Moth_06_T",0.34578369,0.10862336,4.61358172,4.49717952,0.22125134,0.145,1.02318634,0.0706659,0.06509964,0.51035701,3.96674815,0.2565862,0.01945052,6.50428069
"Gran_53_T",0.9427276,1.7737479,10.5788462,22.339522,5.0890139,0.114,1.6206956,0.1082518,0.4035815,1.8529742,0.1841265,0.6828528,0.1848773,14.6389895
"Gran_11_T",3.17336724,0.08293626,0.27834328,0.34807265,0.05607232,0.048,2.32446279,0.27087465,1.16493255,1.72953917,0.14376934,3.146209,0.05567005,0.2759799
"Moth_56_T",3.75364472,1.23231216,4.14097133,5.57074424,0.09226627,0.807,4.81010777,0.71226032,0.45154326,8.70962141,0.19075462,0.52971135,0.41075232,2.64057998
"Moth_04_T",1.0514797,0.07417786,11.83226576,17.62812286,0.31179354,0.1,6.08419635,0.15683585,0.15815168,2.03214447,0.09481797,0.39717312,0.02438432,14.08948154
"Gran_17_T",1.11798255,34.33406637,14.12732983,28.96421625,5.297874,0.191,4.89437263,0.28863009,1.66838405,1.41629583,0.02121174,0.77582072,0.68225151,8.97804288
"Gran_06_T",0.72316099,0.2050123,6.64599831,8.65144552,2.15319583,0.121,2.06216592,0.2762851,0.34856372,0.84979041,0.06022235,0.24670396,0.13525991,9.89689693
"Gran_19_T",1.76919539,0.28974973,6.2133931,12.10133084,0.26164345,0.197,1.30784946,0.27823771,0.19059124,6.70090939,0.59767718,0.25192621,0.05722411,9.93480012
"Gran_31_T",0.29968064,0.15817118,5.9402485,12.34249488,0.24934636,0.155,1.25638284,0.05549562,0.19708205,0.55367716,0.0772767,0.31183374,0.02876051,8.95452549
"Gran_21_T",1.12521264,0.17566299,4.88194337,8.79286817,0.70938113,0.528,1.63214382,0.348634,0.54783613,0.9939142,0.11225371,2.46401012,0.04333659,6.74768845
"Gran_01_T",0.73067,8.5738971,6.6854999,12.9757249,3.9369273,0.171,2.0791506,0.1375151,0.364443,1.349758,0.2661307,0.2555516,0.1587552,10.1291256
"Moth_01_T",0.78561539,0.53923903,5.1103475,14.10237631,5.60156008,0.131,1.81523791,0.10751469,0.28583874,1.18707536,0.03224063,0.29479385,0.38307388,11.4870499
"Gran_04_T",0.403475,0.05154626,5.079949,8.09635447,1.05115523,0.189,1.77704786,0.0520154,0.09234522,0.86410471,0.07807408,0.27973717,0.0117571,7.83438404
"Gran_24_T",1.62716878,0.28849775,2.06317575,4.22520983,0.79866548,0.319,2.86442451,0.10481313,0.27656349,2.67162571,0.57525277,0.08843832,0.01642257,3.89131145
"Moth_28_T",0.90270791,0.10908407,12.31166455,14.78019571,1.93061012,0.39618022,2.46158845,0.05477247,1.60031305,1.08342617,0.05301308,1.01728198,0.09523463,15.34641995
"Inf_51_T",1.05224285,2.40534577,19.42749055,5.06224294,0.25347243,0.297,3.03565065,0.06898343,0.27958165,1.10486604,0.08511401,0.99943811,4.62743987,3.4749232
"Gran_56_T",0.75246144,0.03916235,5.71176368,5.71948609,0.97673056,0.102,1.90723016,0.11554616,0.08982869,0.93301003,0.04332548,0.35773246,0.03088759,8.23510192
"Inf_28_T",0.11229418,0.1112656,3.78682363,1.31597059,0.07443268,1.281,0.84886312,0.16404952,3.07918553,1.08707743,0.03935258,0.14185122,0.24340849,0.15476193
"Gran_36_T",0.7135386,11.2195886,16.270405,21.210853,0.5074863,0.2518599,1.5954327,0.2479775,0.6654248,1.0309302,4.4065363,0.4077644,0.6779489,15.0690643
"Gran_26_T",1.44409934,12.08378907,18.91697385,25.06430984,7.98371468,0.66,3.46238654,0.14648776,0.73846142,1.69606962,0.01175213,1.10091729,0.91288409,14.6301079
"Inf_54_T",1.91397261,6.7253786,2.50631341,6.19730359,0.5392751,2.11,2.68287587,3.47035398,8.33457555,1.85606151,0.04854387,0.95947183,2.44741558,2.84685653
"Gran_12_T",1.44818554,0.25595291,5.19488663,6.03736714,0.96487782,0.418,2.5735338,0.44736935,0.34436164,3.90184407,0.06417088,0.24349664,0.03457856,3.86644679
"Gran_58_T",0.70941984,0.09289924,3.26502214,7.65746405,0.11538417,0.101,1.26936338,0.09164437,0.1323703,0.75279494,0.03951062,0.50946064,0.4836344,5.14352596
"Inf_30_T",1.90960421,3.22918419,2.36272371,6.43893469,0.08035557,0.063,7.10763495,0.43393629,1.27875148,3.64975379,0.06129248,3.43850236,5.28474051,1.65280958
"Inf_32_T",1.61518112,13.60043289,7.44698644,12.83088267,0.30504615,7.627,3.18970303,1.2140181,3.80733993,5.61526193,0.05716732,10.70282085,8.88213803,0.60365097
"Moth_35_T",0.91882623,0.47993029,3.07831706,6.81002254,0.45916096,0.186,2.1987152,0.10627357,0.22905389,0.75188188,0.04018124,0.33103399,0.47821907,4.12753948
"Moth_23_T",0.7628422,10.2614323,6.8911268,19.4921164,0.4695651,0.155,2.9605718,0.4903485,0.699026,1.1999256,5.9434394,0.5706848,0.5009828,10.1181597
"Gran_50_T",0.63113045,0.05504392,8.67677999,21.01456985,7.11565069,0.2130193,1.64598003,0.07448181,0.14854957,1.12731618,0.03664783,0.63423812,0.19897173,14.32411178
"Moth_51_T",0.38074629,0.04370415,4.67098542,4.03684337,0.99857764,0.157,2.12552919,0.12599124,0.16368304,0.91759164,0.05266571,0.35791256,0.04601285,6.46793882
"Inf_23_T",2.18545331,0.49318433,17.15029325,28.04420912,1.62198114,0.829,7.54655966,0.50777519,1.03185344,2.42982607,0.02797341,2.04190579,1.30573838,7.2889193
"Inf_08_T",1.47284361,5.88262765,1.47151318,1.13610187,0.08586314,0.491,8.55599378,0.48443816,0.34419115,1.83657922,0.07565856,3.32416639,0.83315919,2.2880707
"Gran_29_T",1.24336939,0.06800682,1.86174363,2.42387629,0.09816203,0.396,4.20423022,0.7944441,0.21748324,2.20835995,3.63037861,0.21705541,0.01785673,2.84594068
"Gran_18_T",0.8494999,0.1900292,6.9246399,17.2344075,5.0611796,0.512,2.9249497,0.5541825,1.541797,1.1860076,0.9404893,0.7795043,1.0911778,3.74671
"Moth_05_T",0.77641797,0.30983093,13.44017295,23.26965398,2.97675075,0.367,2.29787902,0.75851809,1.15104259,1.35928877,0.02609023,0.44754032,0.94662672,7.63060866
"Moth_20_T",0.6357658,0.2745968,7.2937144,14.0485063,0.6063172,0.153,2.2645098,0.1097549,0.5625083,0.8725313,0.3940241,0.596407,0.1149123,5.9743079
"Inf_09_T",1.7326178,2.4880333,24.4782951,0.5012464,0.0515533,0.694,4.8493197,1.5682853,3.831928,2.5218751,0.0170924,1.7988739,2.7292734,0.3539835
"Inf_17_T",0.8413536,1.847207,15.4037986,2.1539921,0.1135937,1.038,3.9045702,0.556499,0.6403294,1.0515531,0.1421711,1.322046,0.4043394,3.1198459
"Inf_22_T",0.33186786,1.13691247,2.64703664,1.17237023,0.09786903,3.426,2.65178725,0.20651963,3.23230572,1.39302097,0.03285431,0.31397242,0.31931652,0.25322547
"Moth_17_T",1.3772007,0.07925702,8.30784995,8.78531155,0.28235124,0.37317825,6.30792482,0.03520429,0.1243595,2.10130057,0.03920193,0.56836808,0.01996039,8.36016146
"Gran_09_T",0.39429434,0.01810606,4.03510521,5.22127579,0.57030206,0.197,2.84064717,0.28169303,0.14087539,0.99661084,0.03240345,0.2752923,0.05200824,6.73469322
"Moth_11_T",0.79623901,3.11849942,9.31835453,10.37439799,0.21419694,0.087,2.26121818,0.0473393,0.18256102,1.31856924,0.04871419,0.34690807,0.10131564,7.47508945
"Inf_07_T",1.53606302,32.16774106,3.95846002,6.69263456,0.05042446,2.794,6.34416807,0.35568961,0.82937825,4.08346509,0.05854138,5.6946505,2.11314952,1.90555708
