"sample_id","(+/-)-Tryptophan","(N(1) + N(8))-acetylspermidine","1-methyl-4-imidazoleacetate","1H-Indole-3-propanoic acid","2-aminoadipate","2-hydroxy-3-methylpentanoate","2,3-Pyridinedicarboxylate","2,5-Dihydroxybenzoate","3-Hydroxyanthranilate","3-Phenyllactate","39.01_1H-indole","4-acetamidobutanoate","4-imidazoleacetate","4-Imidazoleacrylic acid","Ala","Arg","Asp","citrulline","DL-Leucine","DL-Lysine","DL-METHIONINE","DL-Ornithine","Dl-Proline","Gln","Gly","His","histamine","homovanillate","I(-)","imidazole propionate","indole-3-lactate","L-(-)-Phenylalanine.1","L-serine","L-threonine","L-tyrosine","L-valine","N-epsilon-acetyl-L-lysine","pipecolic acid","taurine","xanthurenate"
"9029-D_S",62753887,53889,3810,326904,765500,5960142,2583964,41971,490,1348703,44720,7294,47326,49006,178015,1766787,13013666,57684,161377946,1344550,143083,22553092,3547815,1249916,10782,95346414,1629,3326029,98138970,310,1822040,108768869,13119,55184,29136343,167065136,5112,16272,225386,326971
"9029-E_S",61965192,52959,2192535,857160,968932,8216701,3045396,694125,495,1433173,47265,7052,65304,39827,128689,1727531,12932930,60378,184681778,1234909,127999,23684005,2264019,1129067,10148,99923137,1409,2784363,95983358,682,2430146,113034589,16871,52684,25788788,187432490,4843,31394,228306,416532
"9027-C_S",53332454,85298,5831,NA,NA,5430696,2312482,NA,NA,812344,55198,12098,100482,21800,151555,2234883,17754183,75196,120971117,834613,137727,26844821,2613949,1415806,25734,121375315,96,1840147,74325200,373,1490832,89547891,28651,115600,20838805,113730997,4970,272782,185771,NA
"9003-B_S",98477277,62264,163425,NA,660826,4498979,4155329,NA,294,1540876,49469,10008,78841,61831,147476,1863373,12001458,83913,144986456,1223180,175567,24012730,5184737,1193615,15881,117489077,1543,2042433,93148347,745,2003748,105692470,23517,95196,19411158,148389695,5361,17712,301429,162886
"9027-D_S",51037225,66246,8275,9747408,NA,4745681,2019649,6814385,189,1101421,50196,14826,134659,47571,119328,2311279,25949844,72594,107166473,542111,110864,50610838,2122130,1250892,15042,112426993,156,1759203,57459220,408,1511921,85083852,20189,85762,16104520,95759317,5116,313966,185086,NA
"9026-A_S",50421868,50639,12369,33690,NA,5797543,1631155,3914204,NA,822205,68497,10404,96348,74708,106232,1153261,11748897,56864,78840547,352362,96239,20555028,2917119,1076329,28558,71474253,32,1792392,43438036,591,1245487,84059133,21055,52128,18267102,86447172,4931,74437,223373,NA
"9026-C_S",54535879,62144,8841,NA,NA,4802797,1568955,32479,209,868332,67191,8917,88740,87971,139493,1457101,22467919,42590,99261638,597005,134445,29626437,3761837,1234749,35120,73344188,451,2155759,71384056,115,1255275,101548139,26127,70406,25651477,90955823,6171,21100,318440,NA
"9026-D_S",41601806,49740,8028,1679089,NA,7995602,1044568,339502,NA,703914,63852,6414,54339,28466,126236,1818160,10091599,55550,92090136,833445,140532,24636072,2588071,1233580,26652,75700567,204,1429483,62880761,217,685669,79210610,24614,58632,17137546,89304201,5129,52357,265101,NA
"9025-A_S",63226710,59103,13020,NA,613169,5224397,2598518,NA,NA,1006442,44572,13189,155737,19728,155901,1553218,15871628,83477,127908565,975045,137874,16166513,3795785,1056115,13343,98449466,68,2401830,75625479,450,2104753,93254994,14869,72287,22097526,132174952,4852,31139,231864,NA
"9025-C_S",49203495,65204,43621,NA,358237,5802679,2774480,NA,192,1059760,52355,6980,121336,28654,121421,1340935,24871895,64151,132417515,946300,151109,17789442,4113320,1191134,14239,119086553,55,2629666,72948286,888,1455503,95700871,17810,65285,22982254,146910747,4941,26529,207440,NA
