"sample_id","12-keto Lithocholic Acid","13.36_acetic acid","16.89_propanoic acid","19.04_2-methylpropanoic acid","20.13_butanoic acid","26.93_hexanoic acid","3-dehydrocholate","3-oxoLCA","3<U+03B2>-Cholic Acid","3<U+03B2>-Ursodeoxycholic Acid","6-keto Lithocholic Acid","7_DHCA","7-ketolithocholic acid","b-D-Glucopyranosiduronic acid, (3a,5b)-24-[(carboxymethyl)amino]-24-oxocholan-3-yl","CA","CDCA","chenodeoxycholate/deoxycholate","Deoxycholic acid glycine conjugate","GCA","glycochenodeoxycholate","glycoursodeoxycholate","HCA","hyodeoxycholate/ursodeoxycholate","Isovalerate","LCA","LCA-S","Norca","T-<U+03B2>MCA","taurochenodeoxycholate","taurocholate","taurodeoxycholate","TBA","Valerate","<U+03B1>-hyodeoxycholic acid"
"QCS-066-2f",1279.87802325581,0.184,0.1083,0.0015,0.0078,0,53205.0916046512,6.31937209302326,68715.0466046512,17696.2115348837,2758.20074418605,48572.3353023256,26541.4448604651,5.93610627906977,1590756.82506977,665641.700182326,21547.335372093,2.95451162790698,5824.49139534884,3344.91751162791,946.722367906977,5373.51802325581,189005.935790698,0.0023,1876.77144186046,11742.6564025581,503.990441860465,5916.57367441861,446.169828604651,2246.49574418605,0.164139534883721,2.72529977295744,2e-04,1342.08690697674
"QCS-066-3f",417346.116529946,0.6186,0.704,0.1104,0.6085,0.0017,35006.0267747748,69804.1286846847,88265.821945946,130842.284954955,41071.4557837838,199477.51981982,189850.353072631,247.455387567568,300038.632108108,218679.355783027,785324.838666667,1433.28268468468,1054.94845045045,939.985711711712,790.88577963964,10445.7128288288,348740.917715315,0.1391,410408.292905189,12188.9536241441,896.556756756757,3646.88767567568,342.141954774775,163.414954954955,87.3665945945946,3.26929009195944,0.2682,2196.75481081081
"QCS-067-2f",452766.618123333,0.7607,1.1531,0.1559,1.2005,6e-04,81.6898148148148,192249.874309389,108.091962962963,7995.14555555555,1917.94614814815,1008.90188888889,3622.12638888889,787.848596481481,5388.26018518518,11344.6893703704,703508.371962963,5344.40909259259,5136.65555555555,12573.0427777778,571.284322777778,396.29362962963,10764.0381666667,0.189,2185283.43836106,21839.0661907407,387.732537037037,432.041092592593,1078.18530814815,545.622611111111,457.528314814815,3.629699076286,0.0204,4110.17401851852
"QCS-067-3f",313789.248715418,0.7264,0.545,0.1202,0.8451,0.0075,46.3261454545454,212260.614890873,273.272927272727,2626.85927272727,2689.098,314.401818181818,2282.04389090909,2362.26704381818,2180.40869090909,10665.3438,1158216.58089091,6815.14063636364,1660.42658181818,8238.48258181818,667.048371818182,1031.23796363636,8952.55969090909,0.1439,2817662.16346113,3490.540958,1307.39825454545,669.675872727273,524.830955090909,83.4127272727273,115.366218181818,4.57095530385069,0.1473,12030.5534909091
"QCS-068-1f",118573.401226415,0.1882,0.242,0.1265,0.8482,0.0041,0.665849056603774,91446.0448113208,72.6441320754717,1451.21801886792,600.595849056604,0.99877358490566,481.408867924528,878.589161886792,239.90541509434,2936.99360377359,1432662.2705283,1120.55737735849,23.4378867924528,36.7548679245283,135.102105283019,5213.79786792453,3122.36598113208,0.2131,2050102.21103736,29.0836209433962,2605.66711320755,517.03179245283,0.68649037735849,5.79288679245283,61.8573773584906,3.71723924107623,0.2866,4920.15843396226
"QCS-068-2f",72960.9946938775,0.8795,0.8408,0.087,0.9887,0.0018,750.164571428571,12090.786122449,7838.34112244898,17111.6168571429,1393.45085714286,5292.85181632653,5555.65428571428,545.355095306122,31320.2351020408,44910.2700612245,1750601.0695102,1888.8072244898,157.580653061224,199.424510204082,66.5108469387755,5138.44006122449,41272.0151020408,0.0942,1111248.95044653,27499.5070761224,2404.47334693878,617.430959183673,49.145286122449,16.8527755102041,104.717673469388,3.14624078530204,0.1559,5206.13924489796
"QCS-068-3f",181170.678993778,0.1195,0.2918,0.0429,0.4694,0.0012,35.0285925925926,39008.1282592593,431.648981481481,11376.188962963,5820.56268518518,17.1221851851852,322.576740740741,102.156707777778,1095.55844444444,2809.2147037037,1041517.1682963,192.722611111111,106.719574074074,130.703703703704,189.231515185185,1139.08277777778,1287.10472222222,0.0756,970184.5721225,7613.97042333333,1332.72031481481,278.137481481481,16.3464587037037,23.9187777777778,21.5661111111111,2.27149973077683,0.0229,5276.90062962963
"QCS-069-1f",27800.5470740741,0.8411,0.5461,0.0541,1.3611,0.1495,29.0815740740741,27301.651037037,47.9682592592593,1140.78192592593,593.852277777778,74.109,955.901537037037,139.387004259259,1425.8467037037,6308.93707407407,185186.0395,243.631703703704,288.397722222222,985.505925925926,226.782689259259,357.278574074074,2120.07942592593,0.0544,338454.017587407,11035.2111012963,651.296555555555,154.23037037037,24.3625168518519,13.3317777777778,18.3638703703704,0.608156422491666,0.1726,2579.8297037037
"QCS-069-2f",97794.4024705882,0.9243,0.8206,0.1514,2.1361,0.0066,27.3324509803922,62840.903,43.3167450980392,741.435980392157,636.949901960784,1.03794117647059,322.038549019608,197.521589803922,292.491823529412,1283.65645098039,429807.081823529,23.7342549019608,98.4660196078431,125.383294117647,19.2081394117647,497.727392156863,1352.78333333333,0.1851,582108.167345686,510.921008431373,510.943843137255,350.547333333333,28.7627339215686,20.6896274509804,29.8927058823529,1.18139218389569,0.2775,1726.7881372549
"QCS-069-3f",53712.3705964912,0.7902,1.1057,0.0509,1.1747,0.0017,139.921754385965,22130.978122807,3009.43214035088,2420.8320877193,795.820456140351,378.593596491228,1374.57645614035,66.0678329824561,1577.83447368421,5979.48807017544,505067.198649123,17.2735263157895,126.920175438596,104.569842105263,45.2009178947368,448.802122807017,11207.5467894737,0.0395,395522.869785702,34301.2874994737,330.611578947368,106.551035087719,49.2858901754386,73.1184035087719,535.107842105263,1.04052499094377,0.0693,1002.73129824561
"QCS-070-1f",1426220.30564945,1.1301,1.0729,0.3312,1.3016,0.0213,100.031109090909,713144.656948509,68.0776181818182,1232.51929090909,5857.17754545454,445.423963636364,346.804454545455,600.629383636364,1305.85832727273,6882.89743636364,577456.108890909,907.6588,324.218854545455,360.856290909091,49.5362521818182,999.733618181818,2121.31398181818,0.3962,1242543.27424909,459.901846545454,167.595418181818,772.722672727273,86.7056050909091,75.0714545454545,110.938927272727,3.9878144950436,0.4781,5174.47645454545
