"sample_id","(+/-)-Tryptophan","(N(1) + N(8))-acetylspermidine","(S)-3-Hydroxybutyric acid","16.89_propanoic acid","2-hydroxybutanoic acid","20.13_butanoic acid","3-phosphoglycerate","4-Aminobutyrate","5-Aminopentanoate","5-Thymidylic acid","5'-adenylic acid","5'-CMP","6-phosphogluconate","adenine","adenosine","Ala","alpha-glycerophosphate","Arg","Asp","beta-Ala","betaine","CA","carnosine","chenodeoxycholate/deoxycholate","choline","citrate","citrate/isocitrate","citrulline","creatine","creatinine","cytidine","cytosin","D-Fructose-6-phosphate","D-Gluconic acid","D-Glucose 6-phosphate","dimethylglycine","DL-Leucine","DL-Lysine","DL-METHIONINE","DL-Ornithine","Dl-Proline","dTTP","fumarate","G1P","GCA","Gln","Glu","Gly","guanine","guanosine","His","homoserine","hydroxyproline","hypoxanthine","I(-)","inosine","L-(-)-Phenylalanine.1","L-lactic acid","L-malic acid","L-serine","L-threonine","L-tyrosine","L-valine","NAD+","putrescine","Ribulose 5-phosphate","S-Adenosyl-L-methionine","S7P","sarcosine","spermidine","spermine","succinate","taurocholate","thymidine","thymine","TMAO","trimethylamine","tyramine","UDP","UMP","uracil","uridine"
"12_C2",48.9131398502114,0,91.9154042356905,99555.1386868406,0,41954.8617314198,0,15.1268654194611,171.364227607215,0,22.2192674876088,0,0,10.4258627913998,9.31651757642044,800.843368145088,0,38.9473836970687,1321.54418491551,39.0831511994426,0,361.662305987674,0,4522.14204207907,68.8749598430435,41.0481535205329,0,597.330580819308,3.92874640333614,0,0,3.93942970635558,0,0,0,0,149.180929181079,1475.86959691473,85.7739549478101,134.662971374558,606.438586714862,0,0,0,12.1191840727298,28.9817851843718,10171.4539038796,408.802508372707,65.5775136145075,7.11348921990638,203.533026249961,21.1980608201445,0,103.849857927877,102.411821600301,199.373297046246,75.3967967617282,615.333376944307,94.3437446663048,185.905996639958,113.537058959972,249.993109395952,262.851521578,104.612806706959,47.1874382177732,0,8.33951634805245,0,0,18.1175990714791,0,1828.50477591008,13.1299847726872,83.4173958646336,136.93649930824,0,13.9508179191826,3.94477600313515,0,0,99.7918227833237,102.928699783109
"12_C3",35.7493483950607,0,53.8139474549075,88041.026145669,20.9215530105666,45778.6406116392,0,36.1405178934882,147.687909097331,0,0,0,56.8978451151615,10.3394412444916,22.5511748999757,495.918452566685,0,64.035123316829,704.706216810933,27.9031420327898,0,961.084209249629,0,7157.61362886885,41.9258608313096,52.8894886714095,0,216.197520958236,3.89475186311666,2.40271846353959,0,1.8204720398491,0,0,0,9.79695764466593,93.689836606632,1166.31187986314,51.7675575147599,79.1160196524776,518.546933115173,0,0,0,13.7172014800551,14.4691438479924,5443.23607143982,301.788407200129,135.128226789982,11.8258165819059,102.786794704245,0,12.9348321048621,7.88928112090466,74.1956607218645,149.908694015503,52.4090155850426,707.816534875809,99.557354846179,125.571195148378,57.9319568081849,188.914539501753,194.055443802379,80.479422768255,14.5465367265852,0,6.92791649548016,0,0,61.1090487399575,0,1846.70992857351,13.4432022374795,81.1386619864995,97.1183848573284,0,0,8.05393738434888,0,0,0,149.176357571741
"12_T1",24.7050185270451,0,48.5783175271817,35989.8298459883,0,20042.3513702083,0,17.3645647852958,135.177870088294,0,13.0141727555475,0,0,9.02364475617273,6.50084412572817,269.197692973327,0,18.1914973312206,465.376573842013,23.606468277093,0,312.286199402546,0,4545.3780284103,28.4693490757338,NA,0,117.183092303334,6.80895287780602,2.6209684531661,0,2.32499781667993,0,0,15.1002937217538,14.7528450305106,60.6469924950278,608.407002901381,30.6299349623593,43.5223239367897,577.387613413143,0,0,0,14.3534107753593,16.6577504735766,5513.65501740432,180.228048987389,10.4574534807587,6.26110490707808,54.6567369954727,0,0,12.3308131731142,42.4058986235397,49.3950644519257,30.7645591860849,743.612564318806,48.6547180938821,133.033802053304,42.0532733469797,176.247604141129,122.608694583283,103.432492178238,5.95783858447709,0,3.0127296514377,0,0,12.4988668422013,0,1553.90115338746,12.8165106877752,68.3120061879299,45.0726667493133,0,0,5.20065630921797,0,0,52.7257137505845,100.327630112583
"12_T2",41.5037952186612,15.7636750940809,0,48753.3171267741,0,31875.2128362273,0,21.7142721302205,202.10076184863,0,0,0,0,7.18854891612126,6.25980956035618,531.345455093464,0,62.3780796577248,750.431803234443,48.5910550238181,0,637.396555407889,7.58964777468624,12742.7299487901,52.8250678131763,NA,0,286.71502907405,20.0870945454598,10.7936201810926,0,4.26661520908963,0,0,0,0,103.081416960985,944.09577554011,55.6383110683739,87.6370109723822,557.708559335711,0,0,0,11.2353513790711,51.844708322714,6645.40158515329,263.147271751652,11.0836368916583,7.63326654031179,113.377523804997,16.376995393932,21.6337609673988,53.2230024055902,75.2567777028279,165.287518055356,54.0088100031507,767.974589056333,79.8446153797042,97.2856396651746,83.3143625111324,156.068190024381,204.860841894609,28.3258257247348,11.4980138052984,0,5.61981521566173,0,0,12.8931937193036,0,1634.70892075438,8.92377636647001,95.4251411446135,153.699495287584,0,0,7.22513275873632,0,0,82.060049628271,102.386770855708
"12_T3",50.5077904258955,0,0,93784.3335256138,0,47334.1194313004,0,25.2591534461791,193.987975676436,0,0,0,0,9.39653672142882,7.90976496335149,609.845996578006,0,119.877157270898,1548.16154582267,50.4075629894339,0,936.174258523636,4.02129749511327,6324.94463351934,53.807596170884,48.5964307376563,0,535.680203439155,4.47948707819281,2.04873332137045,6.03743228155812,3.77236875618695,0,0,0,0,123.425296712513,1355.40642660818,55.4665435887372,93.7038010846088,699.940209259095,0,0,0,13.3407934665125,22.330344707673,10971.4245550548,340.712389633916,178.461058161966,15.068695914262,180.573126777969,18.1442242244863,10.0058874711073,31.9886934665122,90.8011725871504,278.757881106596,73.7545095991197,710.077237237351,114.351242055164,141.130747547765,70.3087706484278,187.65441558645,216.55472259368,63.4455727898976,25.4415265951943,0,8.82431874786788,0,19.5673170433614,68.9577693577814,0,2982.96581721906,10.1231438081764,84.7338899632995,96.7350253129332,0,0,5.55871101195907,0,0,88.2358242452719,120.988938433677
"14_C1",33.4764076778402,0,91.7244996897444,27705.5291255177,0,21198.9342246764,0,31.23568137345,123.178057199141,0,0,0,0,34.2793174705248,5.8778201858045,1277.86648241036,0,53.035811346881,602.021393953634,40.4232557930136,0,207.894259045146,6.18491532237514,15641.1672885415,45.4035820202936,NA,0,803.145505498389,5.46038164686882,6.2434511917777,0,5.03339995525894,0,0,0,0,526.153564859545,2132.30615753948,165.347710663767,254.755368812474,628.482042107528,0,0,0,26.1005184330443,27.343464031403,4292.77941295557,664.114404374772,16.3071206656826,4.06707373632412,149.269246015019,19.4582483345607,9.60448560794913,204.876033088652,338.098728962617,NA,262.557729114061,672.985178101792,298.551231655824,347.706342552092,234.788624737992,376.809037089688,595.437255131813,0,36.3059210184794,0,7.91415819609046,0,14.7590015818899,12.0111240105827,0,0,15.3112611381545,77.0346095587649,115.797205035189,0,24.0695162181913,12.5313094778155,0,0,179.947090897631,81.2540496512577
"14_C2",24.0011288666169,0,133.696657786164,15657.2614228253,0,12973.6366363987,0,35.1856707267186,159.161037648942,0,0,0,0,17.5080276860826,4.97000142861449,902.655250320157,0,51.3388154099319,778.634076200169,147.041617281276,0,106.915318826257,0,8431.0866039217,60.9933693956945,NA,0,499.515555847462,0,0,0,10.2033652956141,0,0,0,0,235.695474609122,1721.1488717991,105.385029486615,307.662009431184,420.925492169156,0,0,0,0,25.6559120892836,5975.07671215085,496.691717653412,19.3007000201196,3.59949630141863,153.079257661168,17.6608692829781,8.95640937368218,213.85333675499,146.961069978316,NA,109.900604906798,966.349504966067,371.977269174067,256.245973088742,158.902662931488,206.595428376683,308.914737949057,0,39.6301853500729,0,13.0379195413806,0,0,2.77242119642091,0,646.455371052899,0,74.6607558282012,163.568955155382,0,13.9150147785084,8.52421837988928,0,0,188.515243440904,83.7638549580042
"14_C3",23.0232254880062,0,374.647050558846,35390.2699851344,0,28203.9893116856,0,25.6465264263979,206.600638562359,0,0,0,0,9.46796066857414,3.58887135191027,802.708778485648,0,47.8266869751687,755.531182030406,51.8736944343305,0,101.019235335963,0,10572.2995371671,48.9394298209757,NA,0,388.115118611263,5.66747960650212,11.3776653290805,0,0,0,34.2148889360898,0,0,191.34865609672,1435.6108283093,81.9669002304022,204.934104552979,404.879665920149,0,0,0,13.0427223492158,28.0637460846167,5291.05808060062,446.286685834367,10.4713840377933,3.63521576733329,125.556851626882,0,0,130.764651911872,108.07752501976,10.8929205477491,82.71639417625,1177.09308681964,241.694876369434,264.352057042502,77.5146854067697,152.96122711385,262.094740723156,0,55.071810486356,0,6.45019685166738,0,0,4.91046783714227,0,0,0,81.2012851123509,171.010473969019,0,15.6097349620804,9.86321995184175,0,0,130.848948874291,71.3225034608988
"14_T1",40.0703010359619,0,216.543741106454,22518.354665582,0,13935.921559015,0,32.2190928026216,108.83866470013,0,0,0,0,9.97087100842856,5.60967293474861,1231.38857508418,0,27.5585647814987,727.144576724489,41.6477600273713,0,134.160020981393,0,6081.09248901603,80.9012493222747,NA,0,656.915720383161,0,10.8729054200549,0,6.85259647446678,0,0,0,0,471.81867162935,2009.83834382373,189.946740542107,373.874608911075,498.879558920935,0,0,0,19.2027012705268,60.6770660318939,4743.5667085042,582.041911328108,55.2217217605717,NA,141.761271963668,24.2376615699066,12.2182418210379,297.865588513833,327.801809142747,NA,218.344773271899,913.20808530133,812.217891860558,446.961453273674,293.987967130476,288.006917067498,534.582532187541,0,42.2753598124614,0,7.26857459758104,0,0,7.75969668707198,0,0,14.6963515865273,118.74851840049,397.455806095916,0,0,7.6881157434795,0,0,267.493242250891,101.171890108867
"14_T2",16.1166388624103,0,85.2029499935639,13113.3990399248,0,10786.5368916561,0,14.2617707511668,66.261656465877,0,0,0,0,10.0750703311033,4.69396866038916,435.35605738302,0,38.3156011251506,178.009774326525,23.1273371102948,0,168.435570160434,0,11301.1905068335,18.9191706731338,NA,0,188.601380542327,0,0,0,5.0995803893078,0,0,0,0,145.578831052875,816.735917291369,57.802485982514,116.485970122752,392.726069072003,0,0,0,18.3016990669933,14.1053878160462,1929.894117287,231.366637046688,9.8781272146331,2.66564433503331,54.3834488848328,0,0,26.3429838255618,100.746963184266,NA,55.6660428026047,861.99635448777,91.3904489424341,147.63353914215,87.1527113142947,79.0393957518499,210.004061352993,18.5315910418569,6.70895185749426,0,3.42465705214464,0,0,2.13662239019463,0,0,13.9138902307316,92.088543726825,78.4449873801261,0,12.6856930065353,0,0,0,95.557360860189,92.5742714010855
"14_T3",116.372681176747,19.6324382444605,246.726561728427,201534.084008603,166.406722599414,154044.946522409,0,1223.80920625074,9358.3401485008,0,0,0,0,37.2593830091613,4.91079818925163,5558.79285822781,57.002713078815,95.15126747487,5392.13779832863,1037.62203674672,142.766417619878,18978.7619089727,10.1476170356768,22834.9877321502,495.994789679411,308.655518432752,0,1061.3342361029,460.853894711593,170.45879552661,4.08786441391235,4.37017458622936,449.105374539891,198.572934216615,282.227383688613,0,1070.17513188419,1954.67635993043,540.400652637913,696.56373292199,553.899972331214,0,142.525039729623,0,98.3334691098632,1123.43962973617,12739.1539009176,7648.05839406753,215.140770746405,5.30770110933633,755.216271467858,111.522984712996,28.2876782423947,955.336947229617,735.023781423065,26.659941599292,825.619491609317,1427.56398042148,1536.09534444167,632.125420610359,895.786189038526,787.988387161335,1450.77900599544,0,1751.99683318561,0,47.3181609306811,0,357.27257281822,73.0299227252129,0,30639.8457460995,654.01105735991,76.7666248801788,357.506957823937,0,112.60550298502,14.6217979999811,0,0,362.863992081969,111.491494857791
"15_T1",55.0243759002462,31.3530172816018,45.1729497149432,76396.2282274629,0,23308.8202198933,0,46.7264072756843,194.175079638642,0,17.7485907024764,0,0,6.02956229270849,8.71580293895328,468.886866544518,0,115.283273260783,770.865683273903,35.342389634039,0,132.688054825525,0,4601.30038283565,58.1468260926916,60.8581905596462,0,599.067750460224,4.79408704860063,2.31459199920939,0,0,0,0,0,0,81.1873316108289,1329.87287267013,31.5171190729326,125.290734640955,475.305254740454,0,0,0,11.9148972241548,26.9346436363641,7753.32085414424,445.838901421566,9.95842295145231,7.5865011657054,97.8380364414467,21.4350836687495,0,141.300342024187,68.0315908201236,278.486423975994,64.6842335922339,817.801768862009,92.6526874477705,186.74158640325,42.1672669893433,92.3425565349678,125.166439533682,69.3382852181756,72.758156390411,0,6.83442569968616,0,0,29.4754452670098,0,2470.19903914413,11.5054763130469,54.307679682965,194.018333000898,0,0,7.30488648702253,0,0,126.270343855347,85.8171032181095
"15_T2",48.4613611018046,0,0,114107.774516316,0,53411.5273556854,0,32.9685296747723,154.582226108259,0,0,0,0,7.16910579455428,5.62074655233188,840.225225184542,0,148.561307531629,837.841684133705,53.6816699755712,0,190.618828382195,0,3506.50963351375,38.4732508392221,32.2766874254118,0,653.480116490173,5.2687293061977,0,0,5.20493296306004,0,0,0,0,199.191931764207,1525.4711098638,58.1730264880254,162.84151877767,853.347037568297,0,0,0,12.7435100943075,13.4774184102785,8453.73591684607,653.4653407158,54.6713218505287,6.2787057327287,83.8276065948715,20.8071370763684,0,130.76953552616,127.790846978428,85.1156343084851,78.4804358474146,1503.49359333494,46.8661661538352,463.830053333102,91.3956979958207,164.765039878235,292.486763986743,35.3832612404173,51.292868212306,0,4.11587293200235,0,0,39.5060784286352,0,1198.56464153086,0,48.7084145425103,98.1534907448215,0,0,0,0,0,165.03863632622,78.1405581316283
"15_T3",32.3164725635373,17.2070118972588,132.214526104258,33376.1106408297,0,18874.9333476314,0,36.5962566718016,184.197405797885,0,27.1058366559025,0,0,11.0602677532224,7.37062876311546,451.268927595079,0,27.4627084690553,735.453421372348,39.0340154087142,0,130.804937040435,0,2004.30119476071,24.074933135988,67.6947502282027,0,350.290578593212,7.65254643661379,0,0,0,0,0,0,0,138.424365563909,803.842766562169,47.7684574412401,93.3421775126798,656.314678335278,0,0,0,0,0,8053.79688394679,387.203377441008,27.2014525825431,4.97835244891788,51.8790626407575,20.0729672921573,0,55.4201819397474,95.5712473469074,31.0711481758104,55.7330911037352,2170.76756659138,112.055287387793,261.534781154837,40.3184922031694,110.400906822645,217.222831792147,44.4859795829082,0,0,1.97485489830762,0,0,6.70417349831281,0,1458.19841001429,0,59.8366724190835,136.548231189077,0,0,0,0,0,148.225716766627,108.855870088404
"15_C1",20.5629088144407,0,41.4227345334092,28182.1624359703,0,16574.8405914052,0,27.3402917951448,96.6430891454024,0,0,0,0,5.64724232778008,3.87699012130182,480.809111946504,0,34.5911795904601,486.172821230772,26.9065809792516,0,209.177738763461,0,5573.7325605165,20.6787559260041,NA,0,384.823540714628,5.97948665448251,2.85240500120744,0,0,0,0,0,8.48246596787807,157.964999448497,744.909869452305,41.446617307035,68.7479887395076,676.154644387302,0,0,0,0,8.01897593606325,6304.24098672711,367.691164487614,20.9888298643265,3.28661193367611,41.2019877977752,0,0,135.980710882095,93.9151852710036,24.9173716138749,53.9988183188772,1073.00070545701,44.8383102267873,172.166215686242,33.2288542253449,100.208740677803,214.209382282324,33.4523605067438,4.95266371092875,0,2.45423610843325,0,0,7.47738330046711,0,1142.15540475568,6.32079106481096,43.612571019369,71.1276826677711,0,0,5.23530352315353,0,0,105.734233995916,82.6572635597792
"15_C2",72.4753508812882,0,0,110523.542064819,0,49904.7241673023,0,36.9276563747103,227.12316469727,0,28.8190889081903,0,0,7.38175490681634,7.20005963555348,741.474038047411,0,45.8991460961862,1851.9149233433,64.2483519670036,0,143.540294950644,0,1996.89574112871,76.2475915966386,79.1867513216876,0,918.468237579537,8.82829535997108,2.91733061241604,0,7.32157361706133,0,0,34.5263038224532,0,98.856806539701,1465.25103104564,38.4184795211469,147.164843167039,905.968627857808,0,0,0,11.3550382918868,10.6281225839322,10451.6724332759,646.542260755185,16.470226328111,11.0805229580806,188.195519071844,24.8111376165056,0,209.733818999094,79.1071413552472,457.366741854045,59.2431093182489,1123.64812261819,113.514916205143,156.884461855318,76.5752496056266,221.417156996298,203.099558579255,78.8246479355959,77.0113606989255,26.2790537747292,5.20720477044711,0,0,27.9348693572061,0,5630.67353589344,8.39892982407817,96.9314167593038,137.708392405175,0,0,0,0,0,165.667478090079,124.175310556283
