"","Chenodeoxycholic acid","Cholic acid","Deoxycholic acid","Glycochenodeoxycholic acid","Glycocholic acid","Glycodeoxycholic acid","Glycohyodeoxycholic acid","Glycolithocholic acid","Glycoursodeoxycholic acid","Lithocholic acid","Taurochenodeoxycholic acid","Taurocholic acid","Taurodeoxycholic acid","Taurolithocholic acid","Tauroursodeoxycholic acid","Tauro-╬▒-Muricholic acid","Ursodeoxycholic acid"
"2478T",652.169,683.7769,42046.6811,1062.1281,544.7546,467.6138,0.1158,36.4944,33.7521,31007.0002,68.9354,83.4654,40.249,0.1593,0.2787,1.866,50.3373
"2479T",1574.034,495.42,141198.9986,721.084,334.326,247.3399,1.4064,54.6204,55.7628,63514.1298,49.6404,11.9595,0.21,0.2715,0.1629,1.0387,6573.959
"2480T",1172.3209,269.7211,70722.188,903.2869,584.2611,366.7349,23.3475,51.7672,98.0342,26381.6473,29.4467,2.9178,26.5288,0.152,43.1276,0.105,781.8261
"2481T",3448.9214,592.8697,189820.9624,727.6327,256.0044,703.7686,0.049,233.4141,60.6611,94008.935,11.4577,77.8682,10.6233,0.3548,41.5439,0.2136,617.0852
"2482T",1151.8697,565.1773,30484.9127,607.109,280.9434,251.1084,0.3113,17.6264,51.3069,10395.5254,59.7947,109.1786,23.606,1.3002,0.0109,1.3517,209.8293
"2484T",3451.55,7772.6385,81367.6266,1880.0968,679.2771,701.829,34.4861,67.4453,132.9498,19163.0751,299.5995,546.2913,380.0668,127.1684,48.5441,64.7097,3158.4521
"2556T",999.6303,1401.0763,14208.6124,229.6371,133.6805,110.3057,0.1231,3.3429,34.2015,6430.5086,12.2055,0.1665,19.2442,15.2483,0.4799,1.6403,1258.8769
"2557T",2464.6993,4555.5082,64374.8324,622.084,323.6767,258.3629,1.5091,15.4484,44.3543,14648.8169,504.9085,2025.3685,1397.191,214.1629,78.2924,45.2218,1982.8526
"2558T",4200.2119,5639.1261,40605.5896,431.8221,332.8682,608.9526,2.5981,40.5561,15.5292,9997.5832,47.7427,56.9095,82.0001,4.6878,1.3022,48.333,1361.6233
"2559T",3267.1896,3137.6916,67374.1445,661.9784,627.9019,654.818,1.0601,62.033,51.685,12067.4562,37.2797,40.1848,40.6671,0.2896,0.0145,0.2172,467.3623
"2560T",4104.4797,2438.4457,134903.0072,967.2966,171.3531,446.5344,1.2587,63.1573,91.1117,34690.7314,154.4795,148.9085,817.5343,353.6882,62.7187,4.6226,9437.0564
"2561T",17138.3316,11431.4438,181504.184,1584.2528,819.2744,869.4338,34.4401,147.8686,206.1061,40947.9624,523.4376,597.2086,2386.2572,918.5676,383.2328,74.6241,20632.1479
