"","Acetate","Propionate","Isobutyrate","Butyrate","Isovalerate","Valerate","Hexanoate","TBA","Glycoursodeoxycholic acid","glycolithocholate","LCA-S","GCA","taurocholic acid","dehydrolithocholic acid","lithocholic acid","7-ketolithocholic acid","12-keto Lithocholic Acid","chenodeoxycholic acid","Deoxycholic acid","6-keto Lithocholic Acid","3β-Ursodeoxycholic Acid","ursodeoxycholic acid","α-hyodeoxycholic acid","Norcholic Acid","7_DHCA","3-dehydrocholic acid","3β-Cholic Acid","Tauro-β-muricholic Acid","Hyocholic acid","cholic acid","glycochenodeoxycholate","glycodeoxycholic acid","taurochenodeoxycholate","taurodeoxycholate"
"QCS-035-2f",0.7731,0.7207,0.0281,0.5437,0.0253,0.0105,4e-04,1.71698899569809,510.415738666667,285.601633904762,3509.3901872381,1510.54643809524,160.989619047619,35742.5186285714,572656.633692571,46554.030247619,134863.188495238,90554.7449714286,553882.599714286,5978.86540952381,27195.4822857143,91984.0908,644.630666666667,767.977619047619,24667.9788761905,4758.57081904762,21500.0123809524,966.20659047619,4174.77339047619,89578.7244,3681.25114285714,422.337276190476,375.660369523809,61.7743047619048
"QCS-035-3f",0.3508,0.3594,0.087,0.7308,0.1239,0.171,0.0052,1.86467398093144,63.0669665882353,252.879836470588,71.149622117647,53.9729411764706,8.4696,78892.9954352941,1111385.77155755,583.239905882353,142916.860752941,1752.45988235294,519177.346117647,1054.96341176471,1749.80275294118,3299.57348235294,700.1536,1251.67402352941,105.953035294118,83.7826117647059,22.0043529411765,249.936235294118,812.749458823529,66.7603764705882,69.1684,23.0007764705882,26.0797251764706,0.166070588235294
"QCS-036-1f",1.0132,2.4878,0.0367,0.8914,0.0328,0.4742,0.0109,5.39857596464315,65.1016110869565,126.448673043478,6845.45063152174,131.723760869565,128.961934782609,51366.1293478261,2408617.96712798,71314.6457391304,240782.149538022,382294.610714543,1886272.67132609,4632.80982608696,26897.270826087,181786.845326087,5594.76919565217,1206.9947173913,15509.3412608696,2824.04389130435,6014.33660869565,656.777586956522,3838.01765217391,98399.6440217391,299.734847826087,79.4792173913043,344.019194782609,2546.02006521739
"QCS-036-2f",0.7163,0.6042,0.0407,0.7064,0.0382,0.1077,0.0019,0.752017400768758,66.9171413793104,98.6592794827586,62098.8242715517,165.802155172414,48.7367068965517,33788.2888103448,389875.866091862,11128.5189655172,78197.3465,41692.336137931,108584.166068965,1796.13931034483,1838.24393103448,7209.13855172414,2308.81782758621,814.347172413793,1293.92610344828,454.815086206897,897.278672413793,193.121482758621,1842.07715517241,6413.16651724138,763.54174137931,13.2033275862069,382.221122413793,51.9006379310345
"QCS-037-2f",0.9857,0.8908,0.0422,0.9523,0.0486,0.0304,8e-04,1.85987087506436,197.0755934,5.1050514,226.9845742,114.12786,160.85182,3543.25716,186082.00404096,20226.8164,119822.32498,78449.52884,999399.88386,5562.0569,78912.53364,174500.50982,470.55686,884.7203,28783.37096,8308.53644,55149.58866,514.5282,6115.47468,90602.76962,295.3773,2.54088,105.4592244,1434.8914
"QCS-038-1f",1.5554,2.1645,0.1748,2.5857,0.2215,0.3697,0.0047,3.31686830502435,203.842505192308,85.5775713461538,15661.1984388462,95.0794038461538,10.4512692307692,67213.334,1856173.9852185,28163.0487692308,93418.6021538461,206285.7205245,791203.971692308,4418.64732692308,37971.0220192308,159531.363211538,9812.11303846154,1639.01690384615,2927.44123076923,424.769442307692,3209.35403846154,535.050692307692,1846.54925,35020.7780192308,500.846538461538,2.44315384615385,393.366092884615,120.732519230769
"QCS-038-2f",1.4754,1.7123,0.0803,3.0762,0.0979,0.1187,0.0034,1.89127239821809,120.652335913978,40.1289040860215,32237.4430802151,532.158021505376,113.838709677419,38428.1537634409,802898.93073529,1943.98569892473,144911.744408602,9359.7428172043,842326.081483871,1013.69576344086,1792.65610752688,5282.49559139785,5216.77270967742,882.401784946236,305.011849462366,124.919010752688,115.204774193548,175.235720430108,346.904494623656,1529.53690322581,851.968903225806,133.115397849462,175.777592688172,413.841655913978
"QCS-038-3f",1.396,1.6156,0.3373,1.9936,0.378,0.4164,0.0043,3.75466528365243,209.968807068966,220.933653448276,10806.2865839655,169.392,24.398775862069,439646.016543862,1979896.52278795,6660.86581034483,361145.665723034,17106.097362069,910699.216034483,3434.87305172414,2615.77998275862,4714.80484482759,13256.2625862069,938.166396551724,256.947706896552,94.1877931034483,45.0860172413793,134.284534482759,392.875051724138,1023.77506896552,605.040965517241,451.22524137931,57.8342255172414,58.7761034482759
"QCS-039-1f",0.6307,0.39,0.0363,0.6773,0.0341,0.0543,6e-04,0.681615952485045,148.43737027027,58.417985045045,7609.44789855856,105.615657657658,4.89609009009009,42481.021045045,364825.374203784,866.607945945946,53767.1445585586,3402.78261261261,193016.334126126,2224.41454054054,2211.25232432432,3032.58733333333,3776.28434234234,736.003153153153,190.756756756757,177.02227027027,746.494774774775,461.059081081081,286.07154954955,1106.38918918919,348.512594594595,2.28908108108108,30.6088291891892,0.127171171171171
"QCS-039-2f",0.863,0.648,0.0643,1.0404,0.0907,0.1369,0.0063,1.75922806682404,140.422118181818,73.8944082828283,2177.68672686869,93.8214949494949,0.0712929292929293,96593.0075757576,921490.320893636,489.42595959596,251072.588202727,3246.32353535354,470294.502020202,1533.86737373737,2308.67892929293,2615.16723232323,3554.87933333333,1634.88945454545,230.561333333333,63.8784646464646,70.1522424242424,351.545434343434,437.382121212121,367.229878787879,300.856161616162,2.56654545454545,68.8062319191919,15.5418585858586
"QCS-039-3f",0.4455,0.5314,0.1078,0.571,0.1379,0.1361,0.0015,1.36812062364083,18.142389245283,50.0978171698113,15.8811658490566,17.9113396226415,0.532679245283019,176286.327044132,726204.159237,154.876490566038,192139.909763094,1060.09828301887,267148.36290566,1040.65549056604,362.221886792453,360.823603773585,1531.78575471698,411.16179245283,80.7009056603773,37.3541320754717,56.9300943396226,155.475754716981,800.883245283019,106.069754716981,62.7229811320755,2.39705660377358,15.0089035849057,0.133169811320755
"QCS-040-1f",0.6164,0.5509,0.3421,0.6411,0.4579,0.3959,0.0049,5.97796462768851,93.1310302040816,7031.72983591837,2490.35696346939,49.694081632653,0.0720204081632653,1356686.28559484,3348310.12392961,3088.52318367347,542084.665208143,5269.08508163265,694806.588836735,4782.22712244898,1836.23232653061,3216.21536734694,2960.18281632653,75.6934489795918,150.162551020408,83.4716530612245,127.044,395.68012244898,900.255102040816,182.283653061224,92.1141020408163,3235.87693877551,5.33743244897959,11.5952857142857
"QCS-040-2f",0.6292,0.3621,0.1421,0.4276,0.1956,0.1711,0.0151,5.30448367619381,42.3735289361702,416.153195319149,444.210247021277,83.5697234042553,9.68597872340425,790573.339761957,2165342.33185755,1831.25065957447,1248015.21487813,8630.80772340425,1072824.70987234,4308.98408510638,981.963021276596,1865.18912765957,4538.294,98.5116595744681,318.961531914894,147.166808510638,35.4401702127659,715.786319148936,2300.908,582.360085106383,34.9145744680851,311.678276595745,12.3011929787234,17.569914893617
"QCS-040-3f",1.3076,0.6097,0.0371,1.4761,0.0319,0.1433,0.1213,1.8667380486137,102.082860185185,485.264294259259,467.337627777778,770.04087037037,25.5525740740741,82585.2658888889,972063.542491555,8099.44711111111,179538.696080667,22254.8542777778,580982.08012963,1258.54596296296,2118.24957407407,6539.95587037037,2076.42438888889,157.628666666667,620.646537037037,96.8514444444444,343.03187037037,181.220685185185,242.78212962963,2060.21712962963,1713.00274074074,1775.80587037037,85.4802222222222,94.0413148148148
"QCS-041-1f",0.7433,0.6768,0.1014,0.7172,0.1364,0.2117,0.0038,5.36426452951817,251.523108247423,558.98632371134,1781.53742989691,37.1090721649485,0.0727628865979381,296592.742754268,2731144.9943452,525.275278350515,480354.37052901,14700.4315051546,1776643.17985567,3465.3324742268,729.156886597938,2184.5601443299,1339.63750515464,1880.04746391753,1209.31917525773,221.999567010309,1833.91579381443,413.511484536082,2642.60251546392,44529.4313402062,347.224494845361,790.641525773196,51.5634195876289,35.3627628865979
"QCS-041-2f",1.3543,1.2557,0.2791,2.167,0.3105,0.5818,0.3058,1.5985659550622,19.5964416216216,306.72224018018,992.030513513513,57.6721261261261,0.0635855855855856,163364.685653459,808475.71267854,391.623621621622,248529.891383351,1491.97218018018,361707.112288288,2918.13327927928,955.182666666667,1333.83482882883,5768.10281081081,167.102918918919,124.818504504505,83.4878738738739,65.1116396396396,1024.68171171171,456.989603603604,148.853855855856,91.8175855855856,57.544954954955,32.9557731531532,0.254342342342342
