Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,Label,env_biome,env_feature,env_material,env_broad_scale,env_local_scale,env_medium,Sample_Label
SRR15083536,AMPLICON,502,51338536,PRJNA296814,SAMN20118741,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",27575821,MARINE BIOLOGICAL LABORATORY,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX11393380,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_820800127848601_Bv4v5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-07-09T00:00:00Z,2021-07-09T11:01:00Z,1,nhbcs_820800127848601,SRP064159,nhbcs_820800127848601,human,gastrointestinal tract,stool,,,,
SRR15083537,AMPLICON,502,16653348,PRJNA296814,SAMN20118739,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",8209171,MARINE BIOLOGICAL LABORATORY,2014,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX11393378,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_820800127440855_Bv4v5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-07-09T00:00:00Z,2021-07-09T11:01:00Z,1,nhbcs_820800127440855,SRP064159,nhbcs_820800127440855,human,gastrointestinal tract,stool,,,,
SRR15083538,AMPLICON,502,123721414,PRJNA296814,SAMN20118738,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",67800169,MARINE BIOLOGICAL LABORATORY,2013,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX11393377,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_820800127403871_Bv4v5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-07-09T00:00:00Z,2021-07-09T11:01:00Z,1,nhbcs_820800127403871,SRP064159,nhbcs_820800127403871,human,gastrointestinal tract,stool,,,,
SRR15083539,AMPLICON,502,71357794,PRJNA296814,SAMN20118740,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",33253814,MARINE BIOLOGICAL LABORATORY,2018,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX11393379,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_820800127444252_Bv4v5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-07-09T00:00:00Z,2021-07-09T11:01:00Z,1,nhbcs_820800127444252,SRP064159,nhbcs_820800127444252,human,gastrointestinal tract,stool,,,,
SRR15083540,AMPLICON,502,78260796,PRJNA296814,SAMN20118742,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",41750368,MARINE BIOLOGICAL LABORATORY,2017,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX11393381,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_820800128261535_Bv4v5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-07-09T00:00:00Z,2021-07-09T11:01:00Z,1,nhbcs_820800128261535,SRP064159,nhbcs_820800128261535,human,gastrointestinal tract,stool,,,,
SRR15083541,AMPLICON,502,405426746,PRJNA296814,SAMN20118737,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",206982948,MARINE BIOLOGICAL LABORATORY,2018,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX11393376,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_820800126520564_Bv4v5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-07-09T00:00:00Z,2021-07-09T11:02:00Z,1,nhbcs_820800126520564,SRP064159,nhbcs_820800126520564,human,gastrointestinal tract,stool,,,,
SRR15083542,AMPLICON,502,79669408,PRJNA296814,SAMN20118736,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",42378150,MARINE BIOLOGICAL LABORATORY,2017,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX11393375,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_820800126285820_Bv4v5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-07-09T00:00:00Z,2021-07-09T11:01:00Z,1,nhbcs_820800126285820,SRP064159,nhbcs_820800126285820,human,gastrointestinal tract,stool,,,,
SRR15083543,AMPLICON,502,36999408,PRJNA296814,SAMN20118734,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",19552111,MARINE BIOLOGICAL LABORATORY,2017,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX11393373,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_820800124312887_Bv4v5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-07-09T00:00:00Z,2021-07-09T11:01:00Z,1,nhbcs_820800124312887,SRP064159,nhbcs_820800124312887,human,gastrointestinal tract,stool,,,,
SRR15083544,AMPLICON,502,42268902,PRJNA296814,SAMN20118733,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",22954204,MARINE BIOLOGICAL LABORATORY,2017,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX11393371,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_820800122777057_Bv4v5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-07-09T00:00:00Z,2021-07-09T11:01:00Z,1,nhbcs_820800122777057,SRP064159,nhbcs_820800122777057,human,gastrointestinal tract,stool,,,,
SRR15083545,AMPLICON,502,42630342,PRJNA296814,SAMN20118732,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",23494322,MARINE BIOLOGICAL LABORATORY,2016,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX11393370,USA,North America,"USA: New Hampshire\, Lebanon",Homo sapiens,Illumina MiSeq,43.674125 N 72.273013 W,nhbcs_820800122568436_Bv4v5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-07-09T00:00:00Z,2021-07-09T11:01:00Z,1,nhbcs_820800122568436,SRP064159,nhbcs_820800122568436,human,gastrointestinal tract,stool,,,,
