database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	QC1	QC2	QC3	QC4	QC5	QC6	QC7	QC8	A02	A03	A04	A-05	A-06	A-07	A08	A-09	A-10	A-12	A-13	A-14	A-15	A-16	A-17	A18	A-19	A-20	A21	A22	A-23	A24	A-25	A-26	A27	A-28	A30	A-05-7	A-06-7	A-07-7	A-09-7	A-10-7	A-12-7	A-13-7	A-14-7	A-15-7	A-16-7	A-17-7	A-19-7	A-20-7	A-23-7	A-24-7	A-25-7	A-26-7	A-28-7	A-29-7	A30-7
CHEBI:16112	C16H18O9	O[C@@H]1C[C@](O)(C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)C(O)=O	InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14-,16+/m1/s1	Chlorogenic acid	353.0878359		M-H		2.9844												911.5583174	1247.135763	1230.532803	1177.07283	1138.528237	1364.822447	986.2843725	1020.276065	74.29816256	17.65392058	69.77594397	2.485775973	4.39612E-08	70.50407747	69.46879813	1.329001969	1601.104052	32.73408516	1.29355949	1.209836393	56.04303791	7.53458507	12.40770007	158.2376977	17.06195063	707.88804	9.881386227	16.11679031	43.61779034	42.2513138	0.283242396	164.8772317	18.86333387	3.74413443	4.39612E-08	0.792093114	1743.005138	4.39612E-08	2.50146044	147.9864547	4.39612E-08	4.021384899	609.6081155	4.39612E-08	4.39612E-08	2206.054562	108153.5768	4.39612E-08	4.39612E-08	44.95561878	0.635705251	4.39612E-08	12.72778245	43.24387989	52.3787515
CHEBI:16238	C27H33N9O15P2	Cc1cc2nc3c(nc(=O)[nH]c3=O)n(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)n3cnc4c(N)ncnc34)c2cc1C	InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1	FAD	784.1504778		M-H		4.463866667												78813.79928	77174.25087	77761.98179	75030.62956	79943.67106	76598.10775	75920.61855	77329.45777	28032.08594	23536.2274	188663.5585	58464.73086	70467.04416	93827.89905	184230.8399	74771.60744	131275.2855	199574.8643	9734.143442	7880.89655	69911.11855	71384.21411	68403.3141	142290.1172	17071.32415	107571.3097	39680.68945	165783.1051	31545.57586	117714.1763	105222.7599	105056.7061	184196.0725	78740.06347	71906.95725	137500.3507	56981.76874	108503.446	193464.3184	104959.9876	36209.52426	220460.8117	35655.2272	56382.89011	33413.33437	67346.1123	16486.16918	97990.79244	45371.87254	122902.3661	79106.66766	112353.9501	114276.1643	155813.8186	175677.7939
CHEBI:184191	C34H54O11	OC1C2C(C3C(C(CC3)C(C(O)C/C(/C)=C(/C)\C(OC4OC(C(O)C(O)C4O)CO)=O)C)(C1)C)CC=C5C2(C(O)CC(O)C5)C	InChI=1S/C34H54O11/c1-15(16(2)31(43)45-32-30(42)29(41)28(40)25(14-35)44-32)10-23(37)17(3)21-8-9-22-20-7-6-18-11-19(36)12-26(39)34(18,5)27(20)24(38)13-33(21,22)4/h6,17,19-30,32,35-42H,7-14H2,1-5H3/b16-15-	26-Glucosyl-1,3,11,22-tetrahydroxyergosta-5,24-dien-26-oate	683.3659636		M+FA-H		7.684266667												22449.86819	18799.11504	19868.55531	24477.81661	22998.03732	21740.51713	23008.76754	19919.18882	1506.829323	1055.301537	43233.94295	1624.906396	16793.59833	102329.6013	12403.76967	10484.56336	4.39612E-08	156514.9331	4.39612E-08	610.7713483	245.7350074	126847.449	17043.47983	25085.38777	284.7033892	35363.14484	4040.15771	46124.64626	625.6007341	16852.00387	155354.3295	357.6932281	26667.67057	4684.337743	78560.51222	4.39612E-08	4.39612E-08	23276.45012	129828.4886	11897.09584	4.39612E-08	138422.6737	4.39612E-08	4.39612E-08	18214.21107	2995.01594	5.739094168	50435.48228	12451.51826	2605.546847	4.39612E-08	4.39612E-08	4.39612E-08	47332.93108	33559.23815
CHEBI:16704	C9H12N2O6	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(=O)[nH]c1=O	InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)/t4-,6-,7-,8-/m1/s1	Uridine	243.0617895		M-H, M+FA-H		1.097766667												392402.4599	403150.8632	447030.9291	452713.8242	455437.7257	464934.076	388796.4195	366826.918	372323.8958	2097424.087	256578.8783	228982.931	276619.5826	203916.2799	164714.631	659715.5048	242291.0997	157411.8173	2062640.015	2090236.564	399842.0986	292244.8089	644135.068	254428.6422	820516.8422	761136.1718	537613.2861	245037.1807	314284.5687	383883.6722	233043.8854	716392.2503	172054.6464	1983043.672	211623.9046	564234.6657	666345.8361	1353048.263	763070.6693	210791.8764	496503.3302	236584.8393	428651.9169	258286.6417	1391267.905	160528.1931	758956.1598	294837.9963	256214.0028	276009.6876	244693.3488	245349.1623	278117.6306	195625.1821	175329.3275
CHEBI:16914	C7H6O3	OC(=O)c1ccccc1O	InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)	Salicylic acid	137.023106		M-H		6.198166667												8716.676099	8709.126321	8386.70963	8854.534321	8347.714792	8966.486987	8809.749708	8896.20055	7518.990353	11056.0718	6889.150082	14284.22646	13879.98604	14139.09168	4359.721189	9781.645015	8988.756968	6240.999046	9406.798307	11223.82689	16889.61392	9686.366645	3973.518163	10298.50445	10006.78597	3913.798784	26490.79225	6441.550202	9948.727952	6799.811627	5124.661422	9011.200101	5367.519279	4508.977945	6568.382653	6340.608497	10842.67187	9445.261066	11063.98837	19532.7923	9418.025214	4380.05831	27985.97365	21788.71605	182873.1265	10839.76279	9110.087295	25121.46736	12646.17823	7408.415054	12532.24157	12707.35513	3580.770748	7448.98916	6832.295473
CHEBI:42255	C15H14O7	O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1	InChI=1S/C15H14O7/c16-7-3-9(17)8-5-12(20)15(22-13(8)4-7)6-1-10(18)14(21)11(19)2-6/h1-4,12,15-21H,5H2/t12-,15-/m1/s1	(-)-Epigallocatechin	305.0664445		M-H, 2M-H		2.725966667												17566.8535	17781.69058	18451.51224	17683.38934	18007.90736	17270.83655	17747.60927	16961.54969	3861.227745	4.39612E-08	2846.253948	342.8096052	236.6156238	870.1481296	1822.462744	27513.79993	1139.605794	1345.377123	4.39612E-08	4.39612E-08	982.1172868	398.7080562	1301.49505	873.784853	156.6574894	3307.281887	459.8989377	1616.800676	510.9880243	848.2158112	1916.623453	1073419.948	2354.997096	167.1352808	1164.674497	422.8535228	1698.721844	849.1031748	274.3861557	822.4257694	387.5449103	732.3344386	1451.72152	189.0243979	4.39612E-08	292.6251765	1860.133036	13.47037683	199.415124	361.8836134	1112.611656	1158.268983	690.3492501	1007.818046	954.1929729
CHEBI:168628	C30H46O8	O[C@@H]1[C@@]2([C@@]([C@](C1)(C(O)(CC(=O)CC(C)C(O)=O)C)[H])(CC(=O)C=3[C@@]4([C@](C([C@@H](O)CC4)(C)C)(C[C@H](O)C23)[H])C)C)C	InChI=1S/C30H46O8/c1-15(25(36)37)10-16(31)13-29(6,38)20-12-22(35)30(7)24-17(32)11-19-26(2,3)21(34)8-9-27(19,4)23(24)18(33)14-28(20,30)5/h15,17,19-22,32,34-35,38H,8-14H2,1-7H3,(H,36,37)/t15?,17-,19-,20-,21-,22-,27-,28+,29?,30-/m0/s1	Ganoderic acid L	533.3120183		M-H		6.625666667												5445.6105	4981.160306	4650.008873	5123.464071	3903.032505	5460.969477	4914.692572	5084.878312	2423.619339	1185.840367	5883.175619	6691.190306	10098.02885	27019.80238	14234.91313	2471.386607	727.7430331	1200.356926	0.49675923	526.5102749	856.5027138	6006.614507	308.0553467	13934.63516	137.711092	1655.487063	3463.265148	29930.23391	159.4688546	1945.635143	4894.984237	2775.958672	12977.11454	922.5707564	4009.437834	6551.255728	1231.060965	3547.847526	892.8122778	6671.792498	659.3930683	44020.59964	1323.638098	2158.434428	454.590481	196.056675	413.9906195	4.39612E-08	5123.25669	7545.277729	6671.383141	5142.529192	37764.29268	9530.367506	10481.3194
CHEBI:142162	C25H27N3O6	C1(=CC=2NC(=C(C2C)CCC(=O)O)C=C3NC(C(=C3CCC(=O)O)C)=O)NC(C(=C1C)C=C)=O	InChI=1S/C25H27N3O6/c1-5-15-12(2)19(27-25(15)34)10-18-13(3)16(6-8-22(29)30)20(26-18)11-21-17(7-9-23(31)32)14(4)24(33)28-21/h5,10-11,26H,1,6-9H2,2-4H3,(H,27,34)(H,28,33)(H,29,30)(H,31,32)	Biotripyrrin-b	510.1880974		M+FA-H		5.244683333												5638.589723	5202.568004	4579.86392	5268.008346	4014.887932	3800.83711	4073.343816	4469.501512	9499.964999	4.39612E-08	800.7489991	756.998386	18910.78706	12549.47154	29826.11648	380.8723199	28585.17917	7817.055456	508.9232972	4.39612E-08	16265.3169	18145.85377	4968.318455	9589.141533	571.6471002	12981.97361	2815.379983	3745.683821	413.785412	4473.652614	1903.239958	4.39612E-08	29369.02765	4260.434586	678.2333271	180.9683971	4514.899621	2181.379961	946.7673691	2017.290251	4.39612E-08	1071.366851	4.39612E-08	248.2615461	4.39612E-08	4.39612E-08	95.34361139	761.8553536	123.9749658	148.243779	552.3980999	1027.996704	5080.205201	6885.199835	7365.386346
CHEBI:193170	C15H20O3	CC1C=CC(OC2=C1C=C(C(=C2)C)O)C(C)(C)O	InChI=1S/C15H20O3/c1-9-5-6-14(15(3,4)17)18-13-7-10(2)12(16)8-11(9)13/h5-9,14,16-17H,1-4H3/t9-,14-/m0/s1	Heliannuol B	293.1394294		M+FA-H		6.146566667												1013.267299	837.7962474	710.3218096	889.5072617	707.0744032	581.0887088	747.0931551	886.1866059	223.3965146	66.77542406	2984.460416	4.39612E-08	4.39612E-08	9902.972407	133.4446409	4.39612E-08	9.117357819	273.9618874	62.93049958	61.69203281	113.8191011	237.9672303	152.7864224	5084.582832	148.7965646	152.9959455	19576.55933	156.2647755	4.39612E-08	82.27621473	251.1457484	85.85332031	4.39612E-08	4.39612E-08	304.6749766	899.9932079	111.9027657	1032.463981	2290.736411	313.6724678	58.60383712	3145.386902	4.39612E-08	82.55855685	186.7432702	4.39612E-08	4.39612E-08	4.39612E-08	4.39612E-08	4.39612E-08	4.39612E-08	62.92900222	100.8634865	743.277517	845.7472009
CHEBI:4806	C22H18O11	OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C1=CC(O)=C(O)C(O)=C1	InChI=1S/C22H18O11/c23-10-5-12(24)11-7-18(33-22(31)9-3-15(27)20(30)16(28)4-9)21(32-17(11)6-10)8-1-13(25)19(29)14(26)2-8/h1-6,18,21,23-30H,7H2/t18-,21-/m1/s1	Epigallocatechin gallate	457.0779227		M-H		5.020333333												76736.08309	76913.49927	83729.10358	81717.867	79381.43361	74552.79832	74755.18454	75540.21229	5338.381574	83.09055505	501.1517905	2252.935737	10448.54153	13498.69344	12146.61902	44618.03936	1656.446064	251.7850883	4.39612E-08	72.7990956	801.8551071	6819.272547	4.39612E-08	8612.690918	4.39612E-08	767.8888983	4.39612E-08	64015.43803	4.39612E-08	4.39612E-08	1819.786308	4828132.086	18564.58897	596.3909314	2073.025381	4.39612E-08	3401.695131	6393.316613	4.39612E-08	3905.878703	4.39612E-08	485.0048573	1502.292114	2186.648157	430.0650351	382.1333259	7990.986221	1964.289967	796.2759643	4709.988107	4.39612E-08	116.8816809	4.39612E-08	1714.383191	768.932072
CHEBI:30778	C7H6O5	OC(=O)c1cc(O)c(O)c(O)c1	InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)	Gallic acid	169.0131485		M-H, 2M-H		1.533533333												23097.67926	23139.76113	21801.50402	22215.74626	22712.40223	22781.82873	23330.03169	23233.15039	2530.711463	2525.164861	12858.35325	12322.96162	6044.097125	26804.63504	783.1314241	18173.83084	1039.705617	1565.989859	444.1666309	1815.885229	666.7568665	12237.84089	11542.3877	1069.325948	9037.114194	729.5737553	8892.751361	2465.77473	8229.676763	688.8160895	2923.143437	629339.8222	1007.853797	914.0182705	2340.602243	8631.733818	97277.02848	16988.38945	10497.7223	2968.9576	1362.599685	1410.22583	24732.32507	2823.223438	461.8041514	12345.74083	14099.14593	3286.966117	5285.744108	5526.579702	4235.028081	4817.943078	4862.898512	296.6431423	150.8958886
CHEBI:36281	C9H8O4	OC(=O)C=Cc1ccc(O)c(O)c1	InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)	Caffeic acid	179.0339966		M-H		4.832683333												12286.06785	12343.30488	11806.41157	12322.08272	11544.48288	11798.08043	12036.23339	11851.28425	3880.324314	3990.930707	9544.539099	8702.51026	11353.47998	3840.889475	5391.450861	7798.452718	31294.73371	2537.943588	1765.485645	3514.865935	72402.58021	4298.561848	4451.561466	2111.984	9504.028306	6469.13298	15925.62366	7265.063842	9537.954334	2957.071119	3675.969843	3140.275248	6754.012419	5878.779538	3300.477748	3921.259773	30059.58744	52124.21541	3156.676651	21775.83623	25332.93686	3669.314409	18820.05778	15660.82357	10043.8131	31148.8545	241494.7842	15313.90501	8895.533427	5914.172508	22635.669	21516.18555	3364.452699	3142.385941	2572.939727
