"sample_id","Putrescine","5-Aminovaleric Acid","Pyroglutamic Acid","Alanine","Aspartic Acid","Cysteine","Glutamic Acid","Proline","Tyrosine","2-Aminobutyric Acid","N-Acetyl-L-Aspartic Acid","beta-Alanine","Sarcosine","Anthranilic Acid","Cinnamic Acid","p-Cresol","Succinic Acid","Glutaric Acid","Malonic Acid","Acetic Acid","Propionic Acid","Valeric Acid","Isovaleric Acid","Caproic Acid","2-Methylbutanoic Acid","Glutarate semialdehyde","Enanthic Acid","Caprylic Acid","Pelargonic Acid","Capric Acid","Undecylic Acid","Lauric Acid","Tridecylic Acid","Sebacic Acid","Myristic Acid","Pentadecylic Acid","Palmitic Acid","Margaric Acid","Stearic Acid","Arachidonic Acid","Eicosatrienoic Acid","Eicosenoic Acid","Docosahexaenoic Acid","Clupanodonic Acid","Behenic Acid","Isotridecanoic Acid","Isomyristic Acid","Isopentadecanoic Acid","Anteisopentadecanoic Acid","Isopalmitic Acid/Anteisopalmitic Acid","Isomargaric Acid","Anteisomargaric Acid","Pimelic Acid","Methylsuccinic Acid","Suberic Acid","3-Methyladipic Acid","Undecanedioic Acid","Ethylmalonic Acid","Azelaic Acid","Dodecanedioic Acid","Indole","3-methylindole","Indoleacetic Acid","Linoleic Acid/Oleic Acid","Stearidonic Acid","Phenylacetic Acid","Hydrocinnamic Acid","Nicotinic Acid","Acetoacetate","2-Oxobutanoic Acid","Citric Acid","Tryptophan"
"Moth_67_UT",56378.535,113951.995,10979.067,22935.586,492463.11,8633.989,641594.211,277306.026,214282.617,155140.801,19140.219,472010.52,17049.514,11372.131,5331.568,1421067.829,393058.246,303592.443,152097.893,1042955.807,22285.242,680920.313,1646006.83,345364.642,860644.672,3495.623,1892.944,1050975.027,19092.101,31885.684,6396.935,19816.448,18071.362,4672.133,92880.418,90381.552,2401489.249,15966.061,980010.715,2488.855,633.152,24498.092,1155.122,0,5727.944,7336.6,29977.998,71096.899,237276.282,24372.76,19441.301,9576.217,41939.275,99895.274,47103.296,6091.395,2300.096,1579.385,247461.504,6420.764,479767.482,38554.537,12821.871,303677.795,911.679,305741.833,65116.753,60497.465,3027.359,25250.688,17824.65,47319.355
"Inf_67b_UT",37928.208,45023,17442.768,27500.511,124383.168,10134.14,262482.137,261634.822,38133,28480.037,45952.557,30025.586,4100.959,960.693,112362.58,2245.581,1079072.24,5737.081,39005.206,1403453.041,2325.681,2304.256,42012.685,358.861,13206.501,1195.815,8422,78937.787,5772.853,145364.208,1436.73,258093.247,17193.099,745.881,417654.798,11603.088,2576549.483,6014.15,192495.155,9643.425,10018.598,13166.549,6725.263,3373.86,7135.089,2220.291,5044.253,14473.735,70818.029,3944.78,3165.59,1571.343,2000.355,3979.489,8524.127,0,914.332,980.395,4737.165,5256.04,3369.918,264.392,5298.171,173341.673,1583.259,14389.04,636.328,42045.493,2608.341,13894.97,1111054.403,17679.977
"Moth_22_UT",22377.709,55006.977,82353.03,18998.285,769318.759,3744.552,509849.137,213279.367,102945.02,41724.449,140339.296,252279.265,15380.199,4503.105,7052.256,98467.295,686439.641,450349.666,93566.266,1737477.754,11963.443,317989.168,285990.177,736601.579,180956.404,2340.223,787.704,198091.186,3253.281,65822.211,2082.24,20571.018,6570.727,5080.312,157615.626,51810.125,1944878.285,13172.125,954607.298,1515.766,1989.963,11229.294,361.715,94.691,7987.642,7661.852,14729.795,58175.2,203982.13,12537.623,12144.716,9118.021,19363.938,68890.464,15425.832,70944.49,2670.514,4926.331,169968.366,2760.05,35565.208,3793.66,8216.051,398767.368,1995.631,66954.65,268214.573,274358.278,2198.396,12561.659,27249.692,20383.722
"Moth_07_UT",80052.174,176806.903,23486.673,53538.6,551632.631,11833.357,581632.209,635183.892,353289.225,1281040.848,37225.241,268311.413,21018.135,6891.138,23872.991,251370.021,792322.639,123654.158,65270.154,1784202.269,29935.389,585322.72,1210056.516,19393.494,461514.363,3711.402,2583.888,33767.895,0,4664.089,0,3424.769,6823.018,2238.649,49908.553,33842.669,1873331.934,6274.933,652176.398,8288.701,2930.036,17338.984,2929.215,1625.143,38509.309,4570.286,15408.496,52607.827,207929.797,6207.86,7367.533,3642.267,2120.665,20818.314,30026.95,2407.256,2265.868,1849.772,33190.402,6707.235,565017.797,21328.741,63081.943,229305.127,1123.875,230475.671,586213.891,155168.814,1365.781,91894.857,44661.415,109445.689
"Inf_21_UT",846569.354,3015016,59775.742,55689.743,1117102.008,41555.671,467220.732,445905.231,112781,422477.6,111736.206,43204.173,1509581.791,3223.581,146602.378,21412.562,1605940.495,58817.109,65253.782,356659.334,19279.141,14869.299,118464.605,3205.201,98941.999,11808.3,5730,8905.523,5930.805,20501.976,4412.206,95147.086,85875.658,2518.284,265757.589,22089.121,2081995.467,6380.596,172538.004,69584.551,82301.007,29123.736,56812.097,23962.822,5696.517,2878.114,7602.569,8266.17,63732.815,6371.738,6694.655,7445.714,4544.575,26202.398,5364.687,1637.558,572.059,2880.296,7529.515,3568.695,43713.825,346.724,32467.203,168245.382,9521.616,62075.624,10869.729,87924.717,480.797,13725.892,21293.002,59121.306
"Gran_15_UT",301406.051,1049709.59,25020.075,77062.337,349530.274,5135.697,819531.38,927675.488,84772.33,2755336.56,36870.22,480499.174,29486.099,14781.093,364687.119,245865.748,2197873.374,26234.752,110653.443,1067024.956,18410.986,205340.331,1597486.472,48750.556,1144909.926,5652.505,1477.557,12395.794,16671.013,83036.637,22788.008,38690.118,43403.303,7948.421,264564.187,115474.43,2235983.808,7647.142,330144.058,5049.81,3110.531,98174.918,340.302,452.859,2163.636,14553.041,53094.045,74387.33,360585.56,52078.068,24647.634,15285.647,4929.775,39693.488,31127.686,56232.385,5507.97,863.365,198588.158,10406.729,385654.431,13981.785,11956.445,177500.644,2853.447,170852.975,244879.379,66134.996,1644.663,23440.187,59967.697,52066.081
"Moth_19_UT",5496.355,92551.009,33857.367,46695.822,619073.828,4133.832,477260.793,611079.133,272790.514,41789.127,37487.072,129064.534,13214.394,11137.292,11848.022,1234905.865,597198.909,204831.432,107019.574,1020760.401,23520.818,866873.336,1605852.975,292611.362,935684.706,4287.14,1251.06,84317.16,18520.932,18086.825,3236.736,4963.514,13302.045,6755.889,67548.216,91490.324,1803349.077,11233.9,626337.283,1619.906,3265.92,16284.089,833.297,0,4980.099,9940.847,31056.796,69270.768,310423.788,21930.374,50620.105,14252.071,17168.821,9692.496,27377.641,46167.192,2696.375,5439.699,137133.049,11440.496,224455.422,45792.09,5224.086,271095.404,1853.437,374597.516,726951.938,56796.463,1712.704,19619.631,12546.076,121903.631
"Moth_09_UT",6006.847,397233.27,22312.789,32681.82,530809.967,8551.733,442608.999,302613.841,383737.686,303797.706,38650.545,168849.688,10282.888,9112.954,31093.098,973531.265,258099.994,352486.32,90017.024,1123245.662,9891.845,369274.307,1438995.004,197086.374,812545.313,10495.695,1246.971,51338.609,2670.213,60011.931,16772.372,26631.578,12436.717,8670.139,73224.67,82967.986,1609766.609,10747.889,600238.076,2128.186,1292.852,10085.857,598.013,157.437,3937.031,6263.047,24209.353,54639.812,240207.178,17763.48,28315.007,11185.197,36509.183,19409.332,37365.59,115730.941,2433.203,707.937,190088.232,7783.601,67830.542,190743.031,16760.068,229894.218,1618.271,292683.669,138885.717,57285.7,3240.382,9538,15668.831,21987.84
"Gran_13_UT",10007.248,109598.482,26520.885,29091.981,529664.4,9176.083,474586.677,330675.346,84842.763,221961.598,33742.069,150668.689,12240.636,12138.685,16224.312,150544.859,588213.627,258672.111,56033.737,953604.118,20716.51,424055.964,737406.668,231426.188,304126.422,2915.392,964.739,51842.769,6528.669,12345.323,30077.115,4874.544,22859.051,6253.293,61180.364,57763.815,1791628.556,9335.15,377835.362,1926.315,1319.349,10880.295,1613.825,480.369,7928.394,6701.548,39417.736,41502.284,273635.193,27740.398,13121.704,7079.795,6503.321,49822.125,10657.269,61572.517,1641.215,2804.608,33354.276,7135.085,115417.752,11868.797,24189.777,173574.573,1777.835,176993.371,491522.907,101786.418,1542.435,21327.231,18233.791,27302.385
"Gran_10_UT",11277.914,283440.084,62777.796,81846.362,1077762.182,12028.671,701044.892,892527.143,387908.031,1332928.046,107625.506,152395.762,16821.638,24775.071,72225.503,831815.603,1278150.764,33180.224,103200.037,2353830.523,50143.897,1209951.76,1743902.381,402805.031,649490.773,7540.169,2858.16,62013.649,35397.67,165016.21,26964.855,20027.032,39529.907,9989.814,144644.76,115327.636,2418927.456,19948.463,620986.306,4692.142,3848.019,51587.673,135.703,479.311,23630.147,14678.49,91126.308,92732.063,571306.922,81841.096,25685.75,40908.718,20936.713,26399.167,29641.085,73056.808,5435.081,2759.401,139921.39,10548.76,91529.001,52122.252,10531.604,100942.769,8876.448,324774.566,496487.274,134343.351,1947.337,85576.244,20937.626,129133.548
"Moth_18_UT",46548.993,116391.48,49034.903,48443.151,848115.137,4327.037,616379.405,603029.026,589957.728,1476419.473,67965.742,330655.949,18617.323,6658.586,63996.185,325667.482,1097071.335,313132.891,172001.002,1295471.921,17594.107,409966.791,898394.536,209838.042,512196.834,3615.282,3250.303,746076.83,3498.407,443259.576,4102.965,134521.398,22634.936,4253.239,97478.936,71568.976,1858196.394,10664.811,706127.098,7174.209,2700.75,14302.091,311.345,0,6903.736,6067.449,66183.256,36085,346667.261,53038.629,6418.6,10734.061,19213.792,77022.533,22691.575,79850.223,3040.933,3640.168,90158.135,7645.331,102506.354,1352.891,30574.931,177204.094,1228.333,192505.843,287733.587,216069.541,2490.541,53012.785,365145.523,77080.605
