Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isol_growth_condt,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,SRA Study,strain
SRR28387338,AMPLICON,502,38966244,PRJNA1089552,SAMN40544403,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",12502824,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992191,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM42,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3042,2024-03-20T00:33:00Z,1,3042,SRP496422,microbial
SRR28387339,AMPLICON,502,35994404,PRJNA1089552,SAMN40544402,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",11374144,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992190,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM41,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3041,2024-03-20T00:33:00Z,1,3041,SRP496422,microbial
SRR28387340,AMPLICON,502,38847270,PRJNA1089552,SAMN40544366,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",12580153,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992189,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3005,2024-03-20T00:33:00Z,1,3005,SRP496422,microbial
SRR28387341,AMPLICON,502,38979798,PRJNA1089552,SAMN40544401,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",12426718,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992188,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM40,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3040,2024-03-20T00:33:00Z,1,3040,SRP496422,microbial
SRR28387342,AMPLICON,502,36986356,PRJNA1089552,SAMN40544400,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",11761498,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992187,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM39,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3039,2024-03-20T00:33:00Z,1,3039,SRP496422,microbial
SRR28387343,AMPLICON,502,49441980,PRJNA1089552,SAMN40544399,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",15708765,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992186,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM38,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3038,2024-03-20T00:33:00Z,1,3038,SRP496422,microbial
SRR28387344,AMPLICON,502,49010260,PRJNA1089552,SAMN40544398,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",15779819,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992185,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM37,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3037,2024-03-20T00:33:00Z,1,3037,SRP496422,microbial
SRR28387345,AMPLICON,502,36807142,PRJNA1089552,SAMN40544397,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",11640081,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992184,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM36,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3036,2024-03-20T00:33:00Z,1,3036,SRP496422,microbial
SRR28387346,AMPLICON,502,40061106,PRJNA1089552,SAMN40544396,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",12695784,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992183,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM35,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3035,2024-03-20T00:33:00Z,1,3035,SRP496422,microbial
SRR28387347,AMPLICON,502,43583640,PRJNA1089552,SAMN40544395,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.human-gut",13883466,8TH MEDICAL CENTER OF PLA GENERAL HOSPITAL,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX23992182,China,Asia,China:Beijing,Homo sapiens,Illumina MiSeq,not applicable,not applicable,EM34,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-07-15T00:00:00Z,replicate=biological replicate 3034,2024-03-20T00:33:00Z,1,3034,SRP496422,microbial
