Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study
DRR174601,WGS,291,5144267688,PRJDB7378,SAMD00166376,MIMS.me.human-gut,2561598282,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165212,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:49:00Z,1,SAMD00166376,10563,DRP005644
DRR174602,WGS,292,6314850677,PRJDB7378,SAMD00166377,MIMS.me.human-gut,3130588579,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165213,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:46:00Z,1,SAMD00166377,10574,DRP005644
DRR174603,WGS,293,8497525886,PRJDB7378,SAMD00166378,MIMS.me.human-gut,4090779744,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165214,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:47:00Z,1,SAMD00166378,10599,DRP005644
DRR174605,WGS,290,5951547636,PRJDB7378,SAMD00166380,MIMS.me.human-gut,3020800692,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165216,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:44:00Z,1,SAMD00166380,10672,DRP005644
DRR174606,WGS,293,5824752278,PRJDB7378,SAMD00166381,MIMS.me.human-gut,2815758175,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165217,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:49:00Z,1,SAMD00166381,10673,DRP005644
DRR174607,WGS,293,6313064084,PRJDB7378,SAMD00166382,MIMS.me.human-gut,2879567511,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165218,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:46:00Z,1,SAMD00166382,10680,DRP005644
DRR174608,WGS,291,6904249960,PRJDB7378,SAMD00166383,MIMS.me.human-gut,3509201714,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165219,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:44:00Z,1,SAMD00166383,10690,DRP005644
DRR174609,WGS,292,8308033162,PRJDB7378,SAMD00166384,MIMS.me.human-gut,4164194609,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165220,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:46:00Z,1,SAMD00166384,10696,DRP005644
DRR174611,WGS,290,6571535216,PRJDB7378,SAMD00166386,MIMS.me.human-gut,3314262924,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165222,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:44:00Z,1,SAMD00166386,10742,DRP005644
DRR174612,WGS,290,8853976251,PRJDB7378,SAMD00166387,MIMS.me.human-gut,4308660378,TITECH,2014,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associateed habitat,feces,DRX165223,Japan,Asia,Japan,Homo sapiens,Illumina HiSeq 2500,35.66 N 139.76 E,,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,Generic sample from human gut metagenome,2019-12-03T00:00:00Z,2019-12-03T14:50:00Z,1,SAMD00166387,10751,DRP005644
