Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version,Collection_Date,host_subject_id,subject_information
SRR8057632,AMPLICON,350,21174650,PRJNA436359,SAMN10242525,Metagenome or environmental,13262531,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887157,USA,North America,USA,Homo sapiens,Illumina MiSeq,G94413,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94413,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G94413_SubjectID_11949,
SRR8057639,AMPLICON,350,43192800,PRJNA436359,SAMN10242522,Metagenome or environmental,30506132,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887150,USA,North America,USA,Homo sapiens,Illumina MiSeq,G104282,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G104282,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G104282_SubjectID_5028,
SRR8057640,AMPLICON,350,65793000,PRJNA436359,SAMN10242700,Metagenome or environmental,41841635,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887149,USA,North America,USA,Homo sapiens,Illumina MiSeq,G96307,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G96307,SRP165757,,,2012/2016,G96307_SubjectID_1087,
SRR8057652,AMPLICON,350,18953900,PRJNA436359,SAMN10241924,Metagenome or environmental,9015594,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887311,USA,North America,USA,Homo sapiens,Illumina MiSeq,G93125,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G93125,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G93125_SubjectID_1803,
SRR8057655,AMPLICON,350,2121000,PRJNA436359,SAMN10241919,Metagenome or environmental,1430063,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887308,USA,North America,USA,Homo sapiens,Illumina MiSeq,G91866,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G91866,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G91866_SubjectID_9998,
SRR8057663,AMPLICON,350,54224800,PRJNA436359,SAMN10242218,Metagenome or environmental,37982173,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887300,USA,North America,USA,Homo sapiens,Illumina MiSeq,G94297,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94297,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G94297_SubjectID_11336,
SRR8057664,AMPLICON,350,3037300,PRJNA436359,SAMN10242396,Metagenome or environmental,1482823,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887299,USA,North America,USA,Homo sapiens,Illumina MiSeq,G75030,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G75030,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G75030_SubjectID_14696,
SRR8057667,AMPLICON,350,34092800,PRJNA436359,SAMN10242209,Metagenome or environmental,22301659,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887296,USA,North America,USA,Homo sapiens,Illumina MiSeq,G94751,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94751,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G94751_SubjectID_2743,
SRR8057676,AMPLICON,350,77360850,PRJNA436359,SAMN10242243,Metagenome or environmental,45007312,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887287,USA,North America,USA,Homo sapiens,Illumina MiSeq,G108863,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G108863,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G108863_SubjectID_9473,
SRR8057677,AMPLICON,350,36103200,PRJNA436359,SAMN10242739,Metagenome or environmental,24092504,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887286,USA,North America,USA,Homo sapiens,Illumina MiSeq,G94679,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94679,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G94679_SubjectID_2249,
