Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR18272871,WGS,297,10630053811,PRJNA1196639,SAMN26423078,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3399161081,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case5,mising,SRX14411197,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,CGD_6,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T07:40:00Z,2,CGD_6,SRP551143
SRR18272873,WGS,298,10452787765,PRJNA1196639,SAMN26423112,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3394488276,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case39,mising,SRX14411195,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,LDK_6,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T07:34:00Z,2,LDK_6,SRP551143
SRR18272876,WGS,297,10489770273,PRJNA1196639,SAMN26423109,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3379332951,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case36,mising,SRX14411192,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,LCS_6,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T06:49:00Z,2,LCS_6,SRP551143
SRR18272877,WGS,297,10564496383,PRJNA1196639,SAMN26423108,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3465634419,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case35,mising,SRX14411191,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,LCC_6,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T06:58:00Z,2,LCC_6,SRP551143
SRR18272878,WGS,298,10093845249,PRJNA1196639,SAMN26423107,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3237937893,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case34,mising,SRX14411190,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,LCC_12,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T06:36:00Z,2,LCC_12,SRP551143
SRR18272879,WGS,297,10262402572,PRJNA1196639,SAMN26423106,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3276650488,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case33,mising,SRX14411189,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,LBP_0,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T07:23:00Z,2,LBP_0,SRP551143
SRR18272884,WGS,297,10360269647,PRJNA1196639,SAMN26423102,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3315367856,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case29,mising,SRX14411184,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,HXF_6,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T07:21:00Z,2,HXF_6,SRP551143
SRR18272885,WGS,298,11038003739,PRJNA1196639,SAMN26423101,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3463130643,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case28,mising,SRX14411183,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,HJY_0,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T07:00:00Z,2,HJY_0,SRP551143
SRR18272886,WGS,297,9794644948,PRJNA1196639,SAMN26423100,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3100399029,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case27,mising,SRX14411182,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,HJX_0,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T07:22:00Z,2,HJX_0,SRP551143
SRR18272887,WGS,297,10249614892,PRJNA1196639,SAMN26423099,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3265688251,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case26,mising,SRX14411181,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,HJ_6,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T05:45:00Z,2,HJ_6,SRP551143
