"","(1E,4Z,6E)-5-hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,4,6-trien-3-one","(2S)-2-[[(2S)-2-azaniumyl-4-methylpentanoyl]amino]-3-phenylpropanoate","(7r)-4,7-Dihydroxy-N,N,N-Trimethyl-10-Oxo-3,5,9-Trioxa-4-Phosphaheptacosan-1-Aminium 4-Oxide","(R)-(+)-Atenolol","(R)-Baclofen","(R,S)-ANATABINE","1,5-isoquinolinediol","1-Isomangostin","1-O-palmitoyl-sn-glycero-3-phosphocholine","1-Oleoylglycerophosphocholine","1-Palmitoylglycerophosphocholine","1-oxo-1,2-dihydroisoquinoline-3-carboxylic acid","1-phenyl-1H-pyrazole-5-carboxylic acid","1453-93-6","15861-40-2","2,3-Diaminonaphthalene","2,3-Diaminonaphthalene (Chimeric precursor selection)","2,6-DIMETHYLQUINOLINE","2-(1H-imidazol-2-yl)benzoic acid","2-Amino-1-phenylethanol","2-methyl-3-(pyridin-2-yl)benzoic acid","2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxylic acid","2-phenyloxazole-5-carboxylic acid","2227803-25-8","23012-16-0","2971-31-5","3-(2-aminocyclohexyl)propanoic acid","3-Acetamidobenzoic acid","3-Acetamidophenol","3-Cyclopropylquinoline-2-carboxylic acid","3-isomangostin","34014-51-2","4-Aminoquinoline-2-carboxylic acid","4-hydroxyisoquinoline-3-carboxylic acid","4-methyl-2-propyl-1,3-oxazole-5-carboxylic acid","4-methylquinoline-6-carboxylic Acid","5-methyl-1-(4-methylphenyl)-1H-pyrazole-4-carboxylic acid","5-methyl-2-(3-methylphenyl)-1H-imidazole-4-carboxylic acid","76474-56-1","8-Aminooctanoic acid","8-HYDROXYQUINOLINE","8-HYDROXYQUINOLINE (Chimeric precursor selection)","8-methylquinoline-5-carboxylic acid","883715-21-7","890-38-0","961-07-9","98483-00-2","Ala-phe","BEPHENIUM","Benzododecinium","Bisdemethoxycurcumin","Butylscopolamine","CHEMBL5028245","CID 6993119","Cer 18:1;2O/16:0","Cer 18:5;2O/9:0;O","Cer 27:5;3O","Cer 34:1;2O","Columbamine","Cratoxyarborenone E","Cratoxylone","D-Tryptophan","D-phenylalanine","D-tyrosine","DL-Tryptophan","Demethoxycurcumin","Fendizoic acid","Feruloylputrescine","GARCINONE D","GLYCOCHENODEOXYCHOLIC ACID","Garcinone C","Glycitein","Glycocholic acid","Glycoursodeoxycholic acid","H-ILE-TRP-OH","H-gamma-glu-phe-oh","Hispidol","INDOLE-3-CARBOXALDEHYDE","INDOLE-3-CARBOXALDEHYDE (Chimeric precursor selection)","Indolizine-1-carboxylic acid","Jatrorrhizine","Jineol","L-phenylalanine","L-tryptophan","L-tyrosine","LETESTUIANIN B","LEVOFLOXACIN","LPC 16:0","LPC 16:1","LPC 18:0","LPC 18:1","LPC 18:2","LPC 18:3","LPE 16:0","LPE 18:0","Levocetirizine","METHYL NICOTINATE","Moxacin","N-(5-acetamidopentyl)acetamide","N-Valylphenylalanine","NCGC00024645-01","NCGC00380823-01!2-(14-methylpentadecanoylamino)-3-phenylpropanoic acid","NCIOpen2_005816","Oleamide","PAF C-16-d4","Phe-ala","Piperolein B","Robinetin","SCHEMBL3706","SCHEMBL424527","SPB 18:0;2O","SPB 18:1;2O","Solanidine","Sulfachloropyridazine","TAUROCHENODEOXYCHOLIC ACID","TAUROCHOLIC ACID","TAURODEOXYCHOLIC ACID","Tauroursodeoxycholic acid","Tert-butyl N-[2-(1H-indol-3-yl)-1-(methylcarbamoyl)ethyl]carbamate","UFIPRAZOLE","VORTIOXETINE","Val-Tyr","Vidarabine","Z2961795382","abacavir","amitriptyline","amoxicillin","aspartame","atenolol","atorvastatin","baclofen","berberine","celecoxib","cetirizine","cholic acid","ciprofloxacin","curcumin","daidzein","diphenhydramine","diprotin A","doxepin","doxycycline","enoxolone","famotidine","fluconazole","gabapentin","gamma-Mangostin","genistein","glycodeoxycholic acid","hydroxyzine","lisinopril","loperamide","m-Tyramine","metoprolol","minocycline","minocycline zwitterion","montelukast","mycophenolic acid","naringenin chalcone","nortriptyline","octopamine","ofloxacin","piperine","protriptyline","ranitidine","sertraline","sphingosine","sulfadimethoxine","sulfamethazine","sulfamethizole","sulfapyridine","trans-Zeatin","trazodone","trimethoprim","tryptamine","tyramine","tyramine (Chimeric precursor selection)","valsartan","sample_clean"
"PLCL18257",0,0,2454,1570,0,0,0,4600,8700,50680,13050,0,0,3474,0,0,0,0,0,2901,6030,0,0,0,0,0,0,0,15800,7193,2300,0,0,0,6784,0,0,0,13008,1113,0,0,0,8040,14028,2036,6462,0,3842,406200,32100,0,0,0,641,0,54360,641,5152,2300,2300,0,0,1842,0,19630,0,12730,0,0,0,17166,0,0,29480,6999,15932,0,0,0,7728,0,0,0,4298,8672,7128,2175,0,818,5068,0,0,0,4907,0,0,13292,0,0,36550,0,0,0,5726,0,0,3570,0,0,796,0,3548,37360,0,0,0,0,235840,0,0,6596,2036,0,0,0,53168,16331,6280,5048,0,92450,0,0,8580,19896,0,23898,34578,0,0,23140,0,0,0,7960,0,0,0,0,0,32500,4652,0,0,0,0,239890,0,0,12012,1782,0,0,9410,14170,0,0,0,3668000,0,0,58160,7200,0,4652,2326,0,"PLCL18257"
"PLCL18260",2910,0,3549,0,0,0,0,6528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5140,0,3264,0,0,0,0,0,0,0,0,0,0,0,0,6180,9716,0,0,2590,0,16146,21250,0,0,0,774,0,0,774,0,3264,3264,0,0,0,0,193300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,0,6131,1459,0,3113,13314,0,0,0,0,0,0,0,0,8281,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978,0,0,0,0,0,0,0,17448,0,0,0,5706,0,7824,6790,0,0,0,3174,5000,0,0,0,8210,0,0,0,0,0,0,54160,0,0,0,0,11340,0,0,3390,0,0,0,15990,0,0,0,0,0,0,3592,5940,0,0,54160,27080,0,"PLCL18260"
"PLCL18266",0,0,3117,1310,0,0,913,5432,1170,13050,4680,0,0,0,0,0,0,0,0,1118,0,0,0,0,0,0,0,0,5690,0,2716,0,0,0,0,0,0,0,0,0,0,0,0,10938,12820,0,2424,2945,0,92760,39010,0,0,0,0,0,0,0,3248,2716,2716,0,0,2907,0,10990,0,5010,0,0,0,0,0,0,0,8913,0,0,0,2739,4872,5478,0,0,6783,0,0,585,0,1039,1305,0,524,0,4240,0,0,1138,0,0,0,0,0,0,7273,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14512,0,0,0,0,4552,20797,5240,0,0,0,0,0,0,0,0,0,0,0,1094,0,2540,0,0,8030,0,0,0,6870,0,0,82880,0,0,0,0,0,0,0,20592,0,0,0,20490,7670,0,0,0,0,0,2868,0,0,0,82880,41440,0,"PLCL18266"
"PLCL18269",0,105120,3021,1644,0,13516,535,5224,10776,29180,16164,0,0,0,0,0,0,21467,0,41570,3936,0,0,5092,0,0,0,0,7050,3608,2612,0,0,0,7048,0,2546,2546,3054,0,0,0,0,7378,5444,6148,0,0,0,234420,34870,0,0,0,511,0,3198,511,5364,2612,2612,0,0,0,0,5140,0,15150,0,0,0,13254,0,0,0,15886,0,0,0,1605,8046,3210,0,0,0,2036,0,2694,0,1007,2918,0,0,25090,3334,0,19856,5384,0,0,0,0,0,0,7049,0,0,0,0,0,0,1963,0,0,0,0,0,0,0,0,0,3626,6148,0,236900,0,21536,15659,6576,0,0,0,0,0,55600,6472,0,0,0,0,0,0,0,0,0,148240,0,6354,0,0,0,0,2836,0,0,0,0,0,0,0,9714,0,0,0,10760,0,19630,0,0,0,724200,0,0,0,20274,2836,1418,0,"PLCL18269"
"PLCL18273",0,21847,3210,0,0,0,0,5660,4748,23160,7122,0,0,0,0,0,0,0,0,904,3450,0,0,0,0,0,0,0,11910,575,2830,0,0,0,0,16890,0,0,29052,555,0,0,11260,8448,11236,0,1056,2855,0,166980,32350,0,0,0,599,0,12520,599,29924,2830,7174,0,0,0,0,14260,0,0,6516,0,0,0,18935,0,0,3021,0,0,0,0,44886,0,0,0,0,19368,0,1187,0,1070,2316,0,0,0,4213,0,0,6694,0,0,0,0,0,0,7490,1142,0,0,0,0,0,0,0,0,4122,0,2748,6870,0,0,0,9112,0,0,0,0,26776,7049,0,0,0,0,0,0,6372,8544,0,0,0,0,0,0,8752,0,0,7210,0,0,0,58350,0,5100,17628,0,7962,1327,0,0,20710,0,12948,0,0,0,19070,16590,0,0,0,0,0,0,0,0,0,17628,8814,0,"PLCL18273"
"PLCL18276",0,0,3294,0,0,0,0,5780,0,5280,0,0,0,0,3354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2890,0,0,0,0,0,0,0,0,0,1118,2236,0,6152,0,0,0,2505,0,56346,35070,0,0,0,594,0,699,594,4892,2890,2890,0,0,0,0,0,0,0,0,0,0,0,5495,0,0,0,0,1118,1118,0,7338,0,0,0,0,0,0,0,0,1098,528,0,0,0,3363,0,0,0,0,0,0,0,0,0,7686,1002,0,0,0,0,0,0,0,0,11646,0,7764,19410,0,0,0,2490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2944,0,0,0,0,8170,0,0,0,57910,0,0,3672,0,0,0,0,0,8380,0,3792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3672,1836,0,"PLCL18276"
"PLCL18278",0,0,3327,0,0,0,0,5920,3736,5350,5604,0,0,0,0,0,0,0,0,2585,0,0,0,0,0,0,0,0,5090,0,2960,0,0,0,0,0,0,0,0,0,0,0,0,6396,19688,0,2408,0,0,60120,41580,0,0,0,0,0,7171,0,7192,2960,2960,1941,0,0,1941,9370,0,0,0,0,0,0,4676,0,0,2583,0,0,0,0,10788,0,0,2588,0,0,0,934,0,1109,535,0,0,0,3405,0,0,4306,0,0,0,0,0,0,7763,0,0,0,0,0,0,0,0,0,3264,0,2176,5440,0,0,0,2304,0,0,0,0,17224,6027,0,5160,0,0,0,0,6016,4008,0,0,0,0,0,0,4760,0,0,6270,0,0,0,194400,0,0,0,0,0,0,0,0,0,0,5334,0,0,0,7120,49680,0,0,0,0,0,0,0,0,0,0,0,0,"PLCL18278"
"PLCL18279",0,19145,2526,1438,0,0,0,4840,16800,19870,25200,0,0,0,0,0,0,0,0,0,4854,0,0,0,0,0,0,0,11700,809,2420,0,0,0,4328,0,0,0,4146,591,0,0,0,9924,50960,0,6098,2510,0,136680,33360,0,0,0,587,0,93740,587,10804,2420,2420,0,0,3414,0,13500,0,0,0,0,0,0,6804,0,0,4353,0,0,0,0,16206,0,0,0,7966,2764,0,4200,0,842,1987,0,0,0,4743,0,0,10710,0,0,0,0,0,0,5894,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8534,0,0,0,0,42840,10157,5752,0,0,0,0,0,19944,10016,0,0,0,0,0,0,3552,0,0,8080,0,0,0,27300,0,0,2920,0,0,0,12912,0,8320,0,9402,0,0,0,20300,32910,0,0,0,0,0,0,0,0,0,2920,1460,0,"PLCL18279"
"PLCL18281",0,29036,2676,0,0,0,2578,4860,3084,27730,4626,0,0,0,0,0,0,0,0,0,7962,0,0,0,0,0,0,0,14810,5643,2430,0,0,0,4952,0,0,0,20694,1041,0,0,0,10210,4580,0,1682,2900,0,232560,36740,0,0,0,506,0,31700,506,13944,2430,2430,0,12602,2079,0,24760,0,5730,0,0,0,7038,0,0,2027,2607,2256,0,0,7734,20916,15468,50408,0,4851,13796,0,771,0,892,2773,0,0,0,5226,0,0,15406,0,0,0,0,0,0,6244,1160,0,0,1204,0,0,0,0,0,0,4816,0,0,16216,0,0,11316,0,0,0,0,61624,6083,0,18688,0,5800,0,0,9520,19800,0,3384,0,0,0,7380,0,0,0,8480,0,0,0,0,0,28580,0,0,0,0,0,16900,0,0,21246,0,0,0,22260,181900,0,0,0,0,0,5056,9200,0,0,0,0,0,"PLCL18281"
"PLCL18283",3276,0,2949,0,0,0,19050,4908,7028,0,10542,0,0,0,7863,0,0,0,0,0,0,0,0,0,0,0,0,0,6010,0,2454,0,0,0,0,0,0,0,5742,0,2621,5242,0,10528,19364,4100,1212,2960,0,37338,34460,0,0,0,586,0,634,586,3864,2454,2454,0,0,2907,0,37430,0,0,0,0,0,0,0,0,0,3585,0,2621,2621,57150,5796,114300,0,0,6783,3828,0,1757,0,983,0,0,0,0,4222,9772,0,3634,0,0,0,0,0,0,6881,1184,0,0,0,0,0,0,0,37510,0,0,0,0,0,0,0,4566,4100,0,0,0,14536,8365,0,0,0,0,0,4188,0,0,7644,0,0,0,0,0,0,0,0,8110,0,0,0,7330,0,0,5812,0,0,0,0,0,0,0,6144,0,0,0,9600,0,0,0,12970,0,0,2916,0,0,0,5812,2906,0,"PLCL18283"
"PLCL18290",0,35329,3465,1678,0,0,0,5748,21630,44610,38730,1503,0,0,1539,0,0,0,0,1927,7926,0,1002,0,1002,0,5660,0,18980,7109,2874,501,0,1002,8472,0,0,0,15246,1550,513,1026,0,7910,16444,2148,6472,2680,0,249000,43100,0,0,0,0,0,232900,0,7840,2874,6922,0,0,4452,0,14580,0,13490,6072,0,5432,16596,0,0,1295,5982,0,513,513,0,11760,0,0,0,10388,10164,0,6036,0,1155,4461,0,0,1042,3324,0,0,19626,0,0,0,0,0,0,8085,1072,0,0,0,0,2582,0,0,0,0,0,0,0,10360,0,0,8362,2148,0,0,0,78504,13958,6712,5848,0,0,0,0,8844,16328,0,0,0,0,0,0,0,0,0,12570,8148,0,0,9010,0,58690,2320,0,0,0,0,0,0,0,22650,0,0,0,15790,0,0,0,0,0,12700,3264,0,0,0,2320,1160,0,"PLCL18290"
"PLCL18291",0,23580,2667,1158,0,5568,0,5164,12252,20240,18378,0,0,0,0,0,0,21575,0,17280,6252,0,0,2492,0,0,0,0,12020,1042,2582,0,0,0,4960,0,1246,1246,0,1093,0,0,0,10692,5328,0,4384,0,0,111720,36090,0,0,0,613,586,13366,613,10408,2582,2582,0,0,0,0,5730,0,16770,0,0,2556,8034,0,0,0,16482,0,0,0,0,15612,0,0,0,0,0,0,3063,0,889,2024,0,0,38540,5845,0,0,6488,0,0,0,0,0,0,6223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4744,0,0,327500,0,25952,20608,4632,4000,0,0,0,0,113720,18128,0,0,0,0,0,0,0,0,0,6900,3834,0,0,0,0,11840,2040,0,0,0,0,0,0,0,9192,0,0,0,22490,71960,0,0,0,0,692200,3872,0,0,8352,2040,1020,0,"PLCL18291"
"PLCL18293",0,0,3315,0,0,0,0,5688,3380,7630,5070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2844,0,0,0,0,0,0,0,0,0,0,0,0,7648,12036,0,0,0,0,73980,30860,0,0,0,0,0,0,0,0,2844,2844,0,0,0,0,8310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845,0,1105,763,0,823,0,2929,0,0,0,0,0,0,0,0,0,7735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2038,0,0,0,0,6950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4308,0,0,0,5350,22700,0,0,0,0,0,5576,0,0,0,0,0,0,"PLCL18293"
"PLCL18295",0,13370,2535,0,0,8168,0,4396,16460,39290,24690,0,0,0,0,0,0,0,0,4048,5490,0,0,2628,0,0,0,0,12050,915,2198,0,0,0,0,0,1314,1314,4884,617,0,0,0,8662,39492,0,3586,3500,0,236820,24980,0,0,0,675,0,6300,675,0,2198,2198,0,0,2073,0,13250,0,8430,0,0,0,19566,0,0,0,5136,0,0,0,0,0,0,0,0,4837,3256,0,4115,0,845,3929,0,0,18880,5238,0,0,7332,0,0,0,0,0,0,5915,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6640,0,0,18880,0,29328,11984,0,7800,0,0,0,0,14020,13616,0,0,0,0,0,0,0,0,0,8300,0,0,0,6840,0,11280,0,0,0,0,0,0,0,0,14730,0,0,0,11900,207400,0,0,0,0,388000,0,0,0,12252,0,0,0,"PLCL18295"
"PLCL18302",0,4277,3396,0,0,5056,0,4936,2280,8460,3420,0,0,0,0,0,0,2565,0,9837,4698,0,0,6528,0,0,0,0,0,783,2468,0,0,0,0,0,3264,3264,0,0,0,0,0,5434,2420,0,0,0,553,76620,22650,0,0,0,553,0,3194,553,3352,2468,2468,0,0,0,0,6620,0,0,0,0,0,11190,0,0,0,2601,3456,0,0,0,5028,0,0,0,0,0,0,570,0,1132,846,0,0,47120,2210,7756,0,2116,0,0,12480,0,0,0,7924,0,0,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,2736,0,0,20740,114800,8464,6069,0,0,0,13280,0,3324,102380,5224,0,5184,4977,0,0,26090,0,0,0,7430,0,0,0,0,0,5730,0,0,0,0,0,57710,0,123760,4248,0,0,53040,6490,0,0,0,0,0,473600,0,20890,0,7584,0,0,0,"PLCL18302"
"PLCL18303",0,0,3549,0,0,0,0,5508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2754,0,0,0,0,0,0,0,0,0,0,0,0,6572,7412,0,0,0,0,0,17400,0,0,0,742,0,0,742,0,2754,2754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,0,0,586,0,3513,0,0,0,8780,0,0,0,0,0,8281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29950,"PLCL18303"
"PLCL18752",0,0,3633,0,0,0,0,6144,14388,21130,21582,0,0,0,0,0,0,0,0,0,3354,0,0,0,0,0,0,0,7350,559,3072,0,0,0,4864,0,0,0,0,899,1522,4566,0,6314,6584,0,1474,0,0,140100,40490,0,0,0,602,0,78000,602,4108,3072,3072,0,1612,0,0,0,0,7790,0,0,0,0,0,0,4218,3627,0,0,0,0,6162,0,6448,0,0,0,0,3597,0,1211,2113,0,0,0,3333,0,0,4012,0,0,0,0,0,0,8477,0,0,0,0,0,0,0,0,0,0,0,0,0,33744,0,0,5546,0,0,0,0,16048,8463,0,8872,0,0,0,0,14572,5040,0,0,0,0,0,8060,0,0,0,12170,0,0,0,0,0,40750,0,0,0,0,0,11240,0,0,7290,0,0,0,5810,76140,0,0,0,0,0,2632,11230,0,0,0,0,0,"PLCL18752"
"PLCL18755",0,15183,3435,1048,0,0,0,6168,4864,9240,7296,0,0,0,0,0,0,0,0,2891,4464,0,0,3352,0,0,0,0,10220,744,3084,0,0,0,0,0,1676,1676,0,652,0,0,0,8464,29536,2404,4118,0,0,81360,34910,0,0,0,689,0,11710,689,11952,3084,3084,0,2272,3891,0,15050,0,9910,0,0,0,0,11676,0,4031,6096,0,0,0,0,17928,0,9088,0,9079,0,0,1216,0,1145,924,0,0,1397,4420,0,0,13860,0,0,0,0,0,0,8015,0,0,0,0,0,0,0,0,0,8007,0,5338,13345,32248,0,0,5498,2404,0,8410,0,55440,14224,4192,11848,0,0,0,0,13740,7176,0,0,0,0,3242,8510,4592,0,0,6890,0,0,0,126200,0,10570,2344,0,0,0,0,13230,0,0,12000,0,0,0,13360,35850,0,0,0,0,415200,3652,12120,5070,0,2344,1172,0,"PLCL18755"
"PLCL18757",0,86450,2664,0,0,0,0,5360,0,8160,0,0,0,0,0,0,0,0,0,5528,7716,0,0,0,0,0,0,0,17330,3394,2680,0,0,0,5920,0,0,0,5778,932,0,0,0,9380,3828,2088,0,3155,0,73620,27120,0,0,0,591,0,32060,591,14696,2680,2680,0,0,1878,0,6180,0,5640,0,0,0,0,0,0,0,7782,0,0,0,0,22044,0,0,0,4382,3852,6408,0,0,888,816,0,0,0,5028,0,0,10876,0,0,70700,0,0,0,6216,1262,0,0,0,6720,0,0,0,9230,0,0,0,0,0,0,0,16780,2088,0,0,0,43504,18158,0,5968,0,0,0,0,207480,23040,0,0,0,0,0,0,11208,0,0,7800,0,0,0,10560,0,33770,2640,0,0,0,18360,90920,0,0,20424,1602,0,0,25470,36460,0,0,0,0,0,4120,0,0,0,2640,1320,0,"PLCL18757"
"PLCL18758",0,44345,3291,1796,0,0,2212,5516,10364,26250,30426,0,0,0,0,0,0,0,0,4255,5226,0,0,0,0,0,0,0,10570,871,2758,0,0,0,0,0,0,0,0,745,0,0,0,8776,7544,0,2032,0,0,214740,30230,0,0,0,627,0,11040,627,7440,2758,2758,0,0,3564,0,23970,0,12340,0,0,0,0,52234,0,0,6960,0,0,0,6636,11160,13272,0,0,8316,0,0,4079,0,1097,2625,0,0,0,4226,0,0,5006,0,0,0,0,0,0,7679,0,0,0,0,0,0,0,0,6090,21837,0,14558,36395,0,0,0,11786,0,0,0,0,20024,16240,7184,4608,0,0,0,0,5832,6480,0,0,0,0,0,0,28068,0,0,6900,0,0,0,294400,0,18740,174720,0,0,0,4440,0,51610,0,23316,0,0,0,14810,26000,0,0,0,0,0,3616,0,0,0,174720,87360,0,"PLCL18758"
"PLCL18761",5952,0,3564,0,0,0,0,5452,0,0,0,0,0,0,4752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2726,0,0,0,0,0,0,0,0,0,1584,3168,0,8020,21024,0,0,3225,0,0,37250,0,0,0,565,0,0,565,0,2726,2726,0,0,3471,0,575600,0,0,0,0,0,0,0,0,867,0,0,1584,1584,0,0,0,0,0,8099,0,0,0,0,1188,0,0,0,0,3923,18949,0,39040,0,0,0,0,0,0,8316,1290,0,0,0,0,0,0,0,0,0,0,0,0,6936,0,0,0,0,0,0,0,156160,0,0,0,0,0,0,8121,0,0,13888,0,0,0,0,0,4236,0,0,7620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54680,0,0,0,0,0,0,0,0,0,0,0,0,"PLCL18761"
"PLCL18776",0,4809,3435,0,0,0,0,5804,1212,0,4848,0,0,0,0,0,0,0,0,538,0,0,0,0,0,0,0,0,0,0,2902,0,0,0,0,0,0,0,0,514,0,0,0,6358,6724,3808,0,3040,0,19770,45650,0,0,0,686,0,24840,686,3948,2902,2902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2523,2844,0,0,0,5922,0,0,0,0,0,0,606,0,1145,0,0,0,0,3235,0,0,3116,0,0,0,0,0,0,8015,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1452,3808,0,0,0,13794,5887,0,0,0,5170,0,0,0,0,0,4266,0,0,0,15590,0,0,0,7070,0,12540,0,0,0,0,0,0,0,0,0,29250,0,0,8244,0,0,0,0,5200,0,0,0,0,0,0,26600,0,0,0,0,0,"PLCL18776"
"PLCL18788",0,6328,3015,0,0,0,0,5704,5880,11990,8820,0,0,0,0,0,0,0,0,864,0,0,0,0,0,0,39850,0,0,2484,2852,0,0,0,0,0,0,0,6000,0,0,0,0,10376,20964,0,3630,0,0,82800,32280,0,0,0,704,0,82320,704,4956,2852,2852,0,0,1578,0,11950,0,0,0,0,2636,4062,0,0,0,3648,0,0,0,0,7434,0,0,0,3682,4000,0,1470,0,1005,1199,0,0,0,5571,0,0,7012,0,0,0,0,0,0,7035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2548,0,0,0,0,28048,8512,0,21752,0,8640,0,0,19436,4040,0,0,0,0,0,0,0,0,0,8530,3954,0,0,0,0,50680,7452,0,0,0,0,21610,0,0,8730,0,0,0,9760,104200,0,0,0,217300,0,0,9670,0,0,7452,3726,0,"PLCL18788"
"PLCL18791",0,0,3060,0,0,0,0,5360,6236,8550,9354,0,0,13998,0,0,0,0,0,0,3630,0,0,0,0,0,0,0,9890,605,2680,0,0,0,4920,0,0,0,4602,540,0,0,0,0,6436,0,2922,2685,0,91680,16810,0,0,0,609,0,59230,609,15516,2680,2680,0,1086,1686,0,11910,0,6880,0,0,0,11178,0,0,0,2280,0,0,0,0,23274,0,4344,0,3934,3068,0,1559,0,1020,855,0,0,0,3562,0,0,5814,0,0,0,0,0,0,7140,1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4408,0,0,0,0,23256,5320,0,9576,0,0,0,0,64840,9192,0,0,0,0,0,0,0,0,0,8740,0,0,0,10540,0,21770,0,0,0,0,17328,0,0,0,8658,0,0,0,8680,86700,0,0,0,0,0,2104,0,8730,0,0,0,0,"PLCL18791"
"PLCL18794",0,19789,3066,1262,0,0,0,5068,22748,12320,34122,0,0,0,0,0,0,0,0,853,5808,0,0,0,0,0,0,0,15930,968,2534,0,0,0,7584,0,0,0,24126,1019,0,0,0,8018,89280,5448,14352,0,0,88620,27700,0,0,0,607,0,94970,607,7548,2534,2534,0,0,5622,0,23000,0,13480,0,0,0,10290,0,0,0,7554,0,0,0,0,11322,0,0,0,13118,16084,0,5687,0,1022,1232,0,0,0,4502,0,0,6424,0,0,0,0,0,0,7154,0,0,0,0,0,0,0,4508,0,0,0,0,0,0,0,0,9770,5448,0,0,0,25696,17626,5048,7152,0,0,0,0,12472,10160,0,0,0,0,0,0,0,0,0,13820,0,0,0,0,0,54360,0,0,0,0,4376,0,0,0,17988,0,0,0,9470,102100,0,0,0,0,21180,4840,0,0,0,0,0,0,"PLCL18794"
"PLCL18795",1527,16394,4296,0,0,0,0,6524,4560,0,6840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3262,0,0,0,0,0,0,0,10248,0,0,0,0,5722,16348,0,2690,0,0,39852,34170,0,0,0,582,0,0,582,0,3262,5502,0,0,1665,0,14300,0,0,3360,0,0,0,0,0,2519,2238,0,0,0,0,0,0,0,0,3885,6832,0,1140,0,1432,0,0,0,0,2916,6678,0,2282,0,0,0,0,0,0,10024,0,0,0,0,0,0,0,0,0,0,0,0,0,20152,0,0,3088,0,0,0,120900,9128,5222,0,0,0,0,0,2862,129980,0,3563,0,0,0,0,0,0,0,0,7500,0,0,0,0,0,8680,0,0,0,0,0,10210,0,63308,7104,0,0,27132,0,8780,0,0,0,0,0,0,5760,0,0,0,0,0,"PLCL18795"
"PLCL18796",0,0,4218,0,0,0,0,5084,2064,5300,3096,0,0,0,0,0,0,0,0,897,0,0,0,0,0,0,0,0,0,0,2542,0,0,0,0,0,0,0,0,692,0,0,0,7522,4940,0,0,0,0,64440,40010,0,0,0,645,0,8871,645,17604,2542,2542,0,0,2085,0,29780,0,0,0,0,0,0,0,0,0,2169,0,0,0,0,26406,0,0,0,4865,0,0,516,0,1406,530,0,2585,0,3309,0,0,1678,0,0,0,0,0,0,9842,0,0,0,0,0,0,0,0,0,1575,0,1050,2625,0,0,0,3310,0,0,0,0,6712,5061,0,4688,0,0,0,0,4076,10976,0,0,0,0,0,0,0,0,0,5620,0,0,0,48880,0,0,66800,0,0,0,0,0,0,0,6378,0,0,0,0,19140,0,0,0,0,0,0,0,0,0,66800,33400,0,"PLCL18796"
