Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,rel_to_oxygen,ReleaseDate,create_date,version,samp_collect_device,Sample Name,SRA Study
SRR33980695,AMPLICON,446,91694642,PRJNA1276713,SAMN49082428,Metagenome or environmental,28067894,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179119,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 318,20.044923 N 99.894760 E,BH318,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH318,SRP592103
SRR33980696,AMPLICON,446,91614093,PRJNA1276713,SAMN49082383,Metagenome or environmental,29261126,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179118,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 214,20.044923 N 99.894760 E,BH214,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH214,SRP592103
SRR33980697,AMPLICON,446,97709020,PRJNA1276713,SAMN49082427,Metagenome or environmental,31416690,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179117,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 317,20.044923 N 99.894760 E,BH317,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH317,SRP592103
SRR33980698,AMPLICON,446,94592051,PRJNA1276713,SAMN49082426,Metagenome or environmental,30269345,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179116,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 316,20.044923 N 99.894760 E,BH316,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH316,SRP592103
SRR33980699,AMPLICON,446,91889822,PRJNA1276713,SAMN49082425,Metagenome or environmental,28756725,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179115,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 314,20.044923 N 99.894760 E,BH314,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH314,SRP592103
SRR33980700,AMPLICON,446,90386949,PRJNA1276713,SAMN49082424,Metagenome or environmental,29463228,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179114,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 312,20.044923 N 99.894760 E,BH312,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH312,SRP592103
SRR33980701,AMPLICON,446,94329042,PRJNA1276713,SAMN49082423,Metagenome or environmental,30152744,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179113,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 309,20.044923 N 99.894760 E,BH309,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH309,SRP592103
SRR33980702,AMPLICON,446,95907334,PRJNA1276713,SAMN49082422,Metagenome or environmental,30673016,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179112,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 308,20.044923 N 99.894760 E,BH308,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH308,SRP592103
SRR33980703,AMPLICON,446,93957512,PRJNA1276713,SAMN49082421,Metagenome or environmental,29522934,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179111,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 307,20.044923 N 99.894760 E,BH307,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH307,SRP592103
SRR33980704,AMPLICON,446,87333420,PRJNA1276713,SAMN49082420,Metagenome or environmental,27380460,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179110,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 305,20.044923 N 99.894760 E,BH305,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH305,SRP592103
