Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,replicate
SRR22269675,AMPLICON,493,34598740,PRJNA901136,SAMN31706255,Metagenome or environmental,11445171,FIRST AFFILIATED HOSPITAL OF ANHUI MEDICAL UNIVERSITY,2022-07-29,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX18245835,China,Asia,China: Hefei,Homo sapiens,Illumina MiSeq,stool sample,31.51 N 117.17 E,nc3,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-11-13T00:00:00Z,2022-11-13T08:28:00Z,1,NC3,SRP407636,replicate = biological replicate 3
SRR22269676,AMPLICON,494,35900462,PRJNA901136,SAMN31706254,Metagenome or environmental,11793726,FIRST AFFILIATED HOSPITAL OF ANHUI MEDICAL UNIVERSITY,2022-07-29,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX18245834,China,Asia,China: Hefei,Homo sapiens,Illumina MiSeq,stool sample,31.51 N 117.17 E,nc2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-11-13T00:00:00Z,2022-11-13T08:28:00Z,1,NC2,SRP407636,replicate = biological replicate 2
SRR22269677,AMPLICON,495,39061440,PRJNA901136,SAMN31706253,Metagenome or environmental,13009366,FIRST AFFILIATED HOSPITAL OF ANHUI MEDICAL UNIVERSITY,2022-07-29,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX18245833,China,Asia,China: Hefei,Homo sapiens,Illumina MiSeq,stool sample,31.51 N 117.17 E,nc1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-11-13T00:00:00Z,2022-11-13T08:28:00Z,1,NC1,SRP407636,replicate = biological replicate 1
SRR22269678,AMPLICON,492,37050060,PRJNA901136,SAMN31706252,Metagenome or environmental,12276707,FIRST AFFILIATED HOSPITAL OF ANHUI MEDICAL UNIVERSITY,2022-07-23,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX18245832,China,Asia,China: Hefei,Homo sapiens,Illumina MiSeq,stool sample,31.51 N 117.17 E,csu15,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-11-13T00:00:00Z,2022-11-13T08:28:00Z,1,CSU15,SRP407636,
SRR22269679,AMPLICON,493,41377983,PRJNA901136,SAMN31706251,Metagenome or environmental,13675575,FIRST AFFILIATED HOSPITAL OF ANHUI MEDICAL UNIVERSITY,2022-07-05,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX18245831,China,Asia,China: Hefei,Homo sapiens,Illumina MiSeq,stool sample,31.51 N 117.17 E,csu14,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-11-13T00:00:00Z,2022-11-13T08:28:00Z,1,CSU14,SRP407636,
SRR22269680,AMPLICON,494,36386558,PRJNA901136,SAMN31706250,Metagenome or environmental,12045946,FIRST AFFILIATED HOSPITAL OF ANHUI MEDICAL UNIVERSITY,2022-06-26,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX18245830,China,Asia,China: Hefei,Homo sapiens,Illumina MiSeq,stool sample,31.51 N 117.17 E,csu13,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-11-13T00:00:00Z,2022-11-13T08:28:00Z,1,CSU13,SRP407636,
SRR22269681,AMPLICON,493,48752770,PRJNA901136,SAMN31706249,Metagenome or environmental,15822613,FIRST AFFILIATED HOSPITAL OF ANHUI MEDICAL UNIVERSITY,2022-06-19,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX18245829,China,Asia,China: Hefei,Homo sapiens,Illumina MiSeq,stool sample,31.51 N 117.17 E,csu12,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-11-13T00:00:00Z,2022-11-13T08:28:00Z,1,CSU12,SRP407636,
SRR22269682,AMPLICON,494,42228602,PRJNA901136,SAMN31706248,Metagenome or environmental,13917937,FIRST AFFILIATED HOSPITAL OF ANHUI MEDICAL UNIVERSITY,2022-06-16,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX18245828,China,Asia,China: Hefei,Homo sapiens,Illumina MiSeq,stool sample,31.51 N 117.17 E,csu11,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-11-13T00:00:00Z,2022-11-13T08:28:00Z,1,CSU11,SRP407636,
SRR22269683,AMPLICON,493,39467608,PRJNA901136,SAMN31706239,Metagenome or environmental,13025995,FIRST AFFILIATED HOSPITAL OF ANHUI MEDICAL UNIVERSITY,2022-03-08,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX18245827,China,Asia,China: Hefei,Homo sapiens,Illumina MiSeq,stool sample,31.51 N 117.17 E,csu2,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-11-13T00:00:00Z,2022-11-13T08:28:00Z,1,CSU2,SRP407636,
SRR22269684,AMPLICON,495,48549105,PRJNA901136,SAMN31706238,Metagenome or environmental,15913250,FIRST AFFILIATED HOSPITAL OF ANHUI MEDICAL UNIVERSITY,2022-03-02,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX18245826,China,Asia,China: Hefei,Homo sapiens,Illumina MiSeq,stool sample,31.51 N 117.17 E,csu1,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-11-13T00:00:00Z,2022-11-13T08:28:00Z,1,CSU1,SRP407636,
