"","3-oxo-Δ4,6-LCA","3-oxo-Δ4-LCA","3-oxoalloLCA","3-oxoLCA","7-oxoCA","3-oxo-Δ4-CDCA","7-oxoCDCA","βMCA","12-oxoDCA","3-oxoDCA","CDCA","MDCA","DCA","alloCDCA","3-oxoCA","UCA","CA","isoCA","TLCA","Δ5-3b-ol","isoalloLCA","isoLCA","LCA","alloLCA","3-oxoCDCA","isoDCA","isoCDCA","GDCA","GCDCA","UDCA","HDCA","ωMCA","αMCA","HCA","LCA-3S","GCA","UDCA-3S","CDCA-3S","DCA-3S","CA-3S","TUDCA","TCDCA","TDCA","T-βMCA","TCA","TLCA-3S","TCA-3S"
"CE091",12.74568443,"7.219090858",98.13474475,1788.013524,11.70400472,NA,35.50396517,NA,479.3672818,220.6396039,92.87734212,12.54183036,"4575.019075",15.15084159,1.603497319,"5.843712618",20.85543242,NA,NA,5.76792158,"511.8144426",1273.264159,7875.127053,145.4218415,10.51947661,95.8156225,11.46975028,14.87026077,12.22331457,16.07670479,9.386502747,0.799771083,NA,1.720416617,8.017539393,2.94100167,0.388986123,"1.153727291",0.985435331,0.224647956,NA,0.27791816,0.207164551,NA,NA,NA,NA
"CE092-2",2.015873296,"3.751233509",NA,350.1026459,NA,NA,7.358445716,NA,240.6795577,83.85331261,16.70748216,3.869026337,"366.9172041",11.09546484,NA,NA,5.330414441,0.328227795,NA,0.864405233,"6.615173488",72.82082492,639.8969223,7.206546321,3.740202428,15.05086061,2.360493259,11.48790052,10.66819588,3.575440276,20.7581414,0.198565951,NA,NA,5.529627759,3.415518624,0.556881695,"0.708799285",3.864470828,0.14003546,0.706710461,8.614149671,2.299373201,NA,1.475412534,0.487822034,NA
"CE093",3.204088602,"4.559602865",6.774185836,510.8862747,4.681596418,NA,15.61457615,NA,543.4951779,260.0963906,29.52040164,7.150452739,"8162.070426",58.77979368,0.358320314,"10.02915265",12.38251833,5.693050462,NA,16.0235426,"90.66859697",895.463124,6074.450384,62.24794404,5.552106124,284.3438805,28.60251498,13.64120773,16.27580915,22.84042059,18.86034849,0.656758878,NA,0.493632275,71.23627242,10.08151604,2.464576625,"3.570401807",13.35458945,0.305607698,0.423253171,2.310447298,1.031909863,NA,1.131340281,0.869314639,NA
"CE095",1.943675964,"&lt; 0",NA,NA,288.5139887,0.864109244,124.0217152,NA,2.377768636,1.48668627,5832.278686,NA,"868.6645338",80.94895975,17.52654753,"1245.783664",8181.620971,462.4972673,NA,5.308756793,"1.614982279",3.844982707,57.27998548,NA,10.56072669,32.86214996,204.8980823,0.378103736,8.966881382,1827.319203,1.971581413,NA,NA,12.60653592,NA,3.131015307,2.050438226,"0.190775401",NA,NA,0.340643971,1.394803079,NA,NA,0.598615638,NA,NA
"CE096",4.860327563,"0.81759033",NA,234.165234,4.41746765,NA,30.34754715,NA,1761.555634,392.2428767,59.72401465,4.88544227,"24052.20503",16.30614638,0.659713758,"65.12071789",12.34698878,29.38969928,NA,8.031117031,"33.9831744",1464.410235,8270.226289,58.89034224,10.9840311,1089.519889,113.9143959,17.88535305,12.3027268,155.1673042,17.98454317,4.348717308,NA,4.75503893,1.67912751,6.643320874,0.108012151,"0.057764654",0.34618647,NA,0.127565952,0.682723883,0.507475922,NA,0.387922238,NA,NA
"CE097",0.857216444,"1.135761279",9.408670872,200.6723258,NA,NA,NA,NA,569.9614194,305.7817439,9.931942578,9.630610696,"15154.1761",NA,NA,"2.595025493",4.092184324,NA,NA,2.439922801,"124.7182605",626.1268098,4868.72278,58.92893846,9.102026938,541.937818,55.40862757,7.739587503,5.206853544,1.870583925,119.8040905,0.598109446,NA,0.153215765,0.789655302,2.637988052,NA,"&lt; 0",0.75656868,NA,NA,1.247648316,1.28802298,NA,0.504186167,NA,NA
"CE098",2.030690591,"5.223810654",73.91506632,426.4572136,NA,NA,16.38609851,NA,415.0335469,81.27613541,32.82310628,NA,"734.1800791",NA,0.134914912,"1.879444531",8.498192117,NA,NA,3.040939013,"268.5066175",357.6019436,1889.939539,81.83704128,3.989059013,36.18350514,6.620140439,12.75729011,7.347029218,2.983512901,4.074726194,NA,NA,NA,28.2541721,2.567783434,0.600491707,"0.827839269",18.33886707,0.195544514,NA,0.708181863,0.956059919,NA,0.613673669,0.139242836,NA
"CE099",2.05146805,"5.094354539",32.50551792,764.3863156,NA,NA,NA,NA,1259.037968,233.0703585,18.10445479,4.298786115,"7151.670412",NA,0.17429628,"2.247892298",4.910478191,NA,NA,5.856044667,"308.0971181",925.7634786,7069.015534,122.7938463,6.605866591,184.7495451,20.2490659,9.539622416,6.31524509,2.593564367,28.96095563,NA,NA,NA,3.542212327,1.590037515,NA,"0.311327048",1.904177921,NA,NA,0.682588468,0.573665475,NA,0.410632014,NA,NA
"CE100-2",2.354234018,"2.704836261",NA,407.9261297,5.696496731,NA,38.83070499,NA,2034.907216,350.9001162,43.93570986,1.714098698,"10801.39016",5.876812873,1.043709886,"12.84166728",17.34456235,2.437657659,5.653312315,2.147078346,"20.12289808",629.0433296,4048.319983,38.34989621,5.619857968,381.6790508,44.56893314,26.60720494,22.6171458,44.93438856,7.238801317,NA,NA,2.856179609,7.807240657,14.02783276,0.171564681,"0.391915513",1.943823849,NA,0.318509195,2.658183798,7.546022328,NA,1.078846753,0.214119313,NA
"CE101-2",1.660723109,"1.162101826",NA,273.9690496,15.04133136,NA,21.51414492,NA,22.97399751,180.1465894,109.5041682,NA,"1584.37651",4.397110307,2.98199454,"178.2065958",43.4066443,118.7213033,NA,28.32336628,"2.634002066",43.77326649,637.3261346,2.969864238,13.28157199,47.50938482,7.365206956,65.42350244,250.8188283,53.08797038,1.046606784,NA,NA,3.098173073,6712.55472,49.05066335,3262.385036,"2441.253383",5844.353691,217.2201139,1.108020173,5.850526702,1.382497914,NA,2.181787584,4.094476229,NA
