sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
9002000001208627LL,EGAN00001374260,SAMEA3886035,EGAR00001420172,EGAX00001383068,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001209007LL,EGAN00001374420,SAMEA3886195,EGAR00001420173,EGAX00001383069,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001209357LL,EGAN00001373617,SAMEA3885392,EGAR00001420174,EGAX00001383070,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001209698LL,EGAN00001373569,SAMEA3885344,EGAR00001420175,EGAX00001383071,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001210554LL,EGAN00001374429,SAMEA3886204,EGAR00001420176,EGAX00001383072,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001210705LL,EGAN00001373748,SAMEA3885523,EGAR00001420177,EGAX00001383073,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001211023LL,EGAN00001373732,SAMEA3885507,EGAR00001420178,EGAX00001383074,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001211391LL,EGAN00001374331,SAMEA3886106,EGAR00001420179,EGAX00001383075,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001211604LL,EGAN00001374263,SAMEA3886038,EGAR00001420180,EGAX00001383076,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001211829LL,EGAN00001373592,SAMEA3885367,EGAR00001420181,EGAX00001383077,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001212011LL,EGAN00001374452,SAMEA3886227,EGAR00001420182,EGAX00001383078,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001212423LL,EGAN00001373579,SAMEA3885354,EGAR00001420183,EGAX00001383079,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001212880LL,EGAN00001373822,SAMEA3885597,EGAR00001420184,EGAX00001383080,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001213019LL,EGAN00001373610,SAMEA3885385,EGAR00001420185,EGAX00001383081,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001213378LL,EGAN00001373565,SAMEA3885340,EGAR00001420186,EGAX00001383082,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001214562LL,EGAN00001373870,SAMEA3885645,EGAR00001420187,EGAX00001383083,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001214606LL,EGAN00001373833,SAMEA3885608,EGAR00001420188,EGAX00001383084,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001214947LL,EGAN00001374430,SAMEA3886205,EGAR00001420189,EGAX00001383085,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001215040LL,EGAN00001374268,SAMEA3886043,EGAR00001420190,EGAX00001383086,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001215390LL,EGAN00001373740,SAMEA3885515,EGAR00001420191,EGAX00001383087,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001215523LL,EGAN00001373882,SAMEA3885657,EGAR00001420192,EGAX00001383088,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001215882LL,EGAN00001374465,SAMEA3886240,EGAR00001420193,EGAX00001383089,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001215917LL,EGAN00001374359,SAMEA3886134,EGAR00001420194,EGAX00001383090,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001216389LL,EGAN00001374447,SAMEA3886222,EGAR00001420195,EGAX00001383091,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001216469LL,EGAN00001374245,SAMEA3886020,EGAR00001420196,EGAX00001383092,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001216790LL,EGAN00001374462,SAMEA3886237,EGAR00001420197,EGAX00001383093,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001217457LL,EGAN00001373630,SAMEA3885405,EGAR00001420198,EGAX00001383094,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001218033LL,EGAN00001373550,SAMEA3885325,EGAR00001420199,EGAX00001383095,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001219863LL,EGAN00001373669,SAMEA3885444,EGAR00001420200,EGAX00001383096,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001220031LL,EGAN00001373762,SAMEA3885537,EGAR00001420201,EGAX00001383097,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001222690LL,EGAN00001373810,SAMEA3885585,EGAR00001420202,EGAX00001383098,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001223042LL,EGAN00001373632,SAMEA3885407,EGAR00001420203,EGAX00001383099,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001223445LL,EGAN00001373836,SAMEA3885611,EGAR00001420204,EGAX00001383100,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001223900LL,EGAN00001374275,SAMEA3886050,EGAR00001420205,EGAX00001383101,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001224326LL,EGAN00001374410,SAMEA3886185,EGAR00001420206,EGAX00001383102,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001224907LL,EGAN00001373616,SAMEA3885391,EGAR00001420207,EGAX00001383103,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001225234LL,EGAN00001374233,SAMEA3886008,EGAR00001420208,EGAX00001383104,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001225468LL,EGAN00001373645,SAMEA3885420,EGAR00001420209,EGAX00001383105,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001225833LL,EGAN00001374364,SAMEA3886139,EGAR00001420210,EGAX00001383106,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001226278LL,EGAN00001373873,SAMEA3885648,EGAR00001420211,EGAX00001383107,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001226394LL,EGAN00001373796,SAMEA3885571,EGAR00001420212,EGAX00001383108,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001226607LL,EGAN00001373580,SAMEA3885355,EGAR00001420213,EGAX00001383109,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001226939LL,EGAN00001374335,SAMEA3886110,EGAR00001420214,EGAX00001383110,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001227800LL,EGAN00001374405,SAMEA3886180,EGAR00001420215,EGAX00001383111,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001227810LL,EGAN00001373801,SAMEA3885576,EGAR00001420216,EGAX00001383112,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001227892LL,EGAN00001374240,SAMEA3886015,EGAR00001420217,EGAX00001383113,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001228076LL,EGAN00001373687,SAMEA3885462,EGAR00001420218,EGAX00001383114,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001228094LL,EGAN00001373758,SAMEA3885533,EGAR00001420219,EGAX00001383115,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001228174LL,EGAN00001374227,SAMEA3886002,EGAR00001420220,EGAX00001383116,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001228512LL,EGAN00001374341,SAMEA3886116,EGAR00001420221,EGAX00001383117,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001228915LL,EGAN00001373719,SAMEA3885494,EGAR00001420222,EGAX00001383118,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001229707LL,EGAN00001374235,SAMEA3886010,EGAR00001420223,EGAX00001383119,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001230056LL,EGAN00001373828,SAMEA3885603,EGAR00001420224,EGAX00001383120,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001230350LL,EGAN00001373608,SAMEA3885383,EGAR00001420225,EGAX00001383121,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001230646LL,EGAN00001374232,SAMEA3886007,EGAR00001420226,EGAX00001383122,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001231376LL,EGAN00001374238,SAMEA3886013,EGAR00001420227,EGAX00001383123,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001231625LL,EGAN00001373872,SAMEA3885647,EGAR00001420228,EGAX00001383124,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001231803LL,EGAN00001374440,SAMEA3886215,EGAR00001420229,EGAX00001383125,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001232168LL,EGAN00001374461,SAMEA3886236,EGAR00001420230,EGAX00001383126,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001232275LL,EGAN00001373726,SAMEA3885501,EGAR00001420231,EGAX00001383127,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001232570LL,EGAN00001374664,SAMEA3886439,EGAR00001420232,EGAX00001383128,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001232622LL,EGAN00001373865,SAMEA3885640,EGAR00001420233,EGAX00001383129,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001233030LL,EGAN00001374326,SAMEA3886101,EGAR00001420234,EGAX00001383130,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001233100LL,EGAN00001374416,SAMEA3886191,EGAR00001420235,EGAX00001383131,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001233352LL,EGAN00001373625,SAMEA3885400,EGAR00001420236,EGAX00001383132,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001233610LL,EGAN00001374270,SAMEA3886045,EGAR00001420237,EGAX00001383133,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001234064LL,EGAN00001373829,SAMEA3885604,EGAR00001420238,EGAX00001383134,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001234485LL,EGAN00001373811,SAMEA3885586,EGAR00001420239,EGAX00001383135,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001234897LL,EGAN00001373868,SAMEA3885643,EGAR00001420240,EGAX00001383136,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001235221LL,EGAN00001373588,SAMEA3885363,EGAR00001420241,EGAX00001383137,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001235670LL,EGAN00001373611,SAMEA3885386,EGAR00001420242,EGAX00001383138,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001235867LL,EGAN00001374358,SAMEA3886133,EGAR00001420243,EGAX00001383139,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001236274LL,EGAN00001373738,SAMEA3885513,EGAR00001420244,EGAX00001383140,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001236793LL,EGAN00001373572,SAMEA3885347,EGAR00001420245,EGAX00001383141,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001237520LL,EGAN00001373566,SAMEA3885341,EGAR00001420246,EGAX00001383142,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001238804LL,EGAN00001373876,SAMEA3885651,EGAR00001420247,EGAX00001383143,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001239202LL,EGAN00001373765,SAMEA3885540,EGAR00001420248,EGAX00001383144,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001239599LL,EGAN00001373648,SAMEA3885423,EGAR00001420249,EGAX00001383145,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001240080LL,EGAN00001373807,SAMEA3885582,EGAR00001420250,EGAX00001383146,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001240419LL,EGAN00001373594,SAMEA3885369,EGAR00001420251,EGAX00001383147,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001240722LL,EGAN00001373684,SAMEA3885459,EGAR00001420252,EGAX00001383148,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001240830LL,EGAN00001374432,SAMEA3886207,EGAR00001420253,EGAX00001383149,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001241111LL,EGAN00001373837,SAMEA3885612,EGAR00001420254,EGAX00001383150,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001241407LL,EGAN00001374266,SAMEA3886041,EGAR00001420255,EGAX00001383151,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001242610LL,EGAN00001374346,SAMEA3886121,EGAR00001420256,EGAX00001383152,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001242988LL,EGAN00001374411,SAMEA3886186,EGAR00001420257,EGAX00001383153,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001243214LL,EGAN00001373900,SAMEA3885675,EGAR00001420258,EGAX00001383154,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001243260LL,EGAN00001374254,SAMEA3886029,EGAR00001420259,EGAX00001383155,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001244042LL,EGAN00001373757,SAMEA3885532,EGAR00001420260,EGAX00001383156,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001244089LL,EGAN00001374371,SAMEA3886146,EGAR00001420261,EGAX00001383157,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001244294LL,EGAN00001374276,SAMEA3886051,EGAR00001420262,EGAX00001383158,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001244632LL,EGAN00001374281,SAMEA3886056,EGAR00001420263,EGAX00001383159,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001244712LL,EGAN00001373771,SAMEA3885546,EGAR00001420264,EGAX00001383160,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001244866LL,EGAN00001374665,SAMEA3886440,EGAR00001420265,EGAX00001383161,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001245890LL,EGAN00001374222,SAMEA3885997,EGAR00001420266,EGAX00001383162,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001246252LL,EGAN00001374219,SAMEA3885994,EGAR00001420267,EGAX00001383163,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001247124LL,EGAN00001374210,SAMEA3885985,EGAR00001420268,EGAX00001383164,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001247760LL,EGAN00001374368,SAMEA3886143,EGAR00001420269,EGAX00001383165,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001248426LL,EGAN00001374247,SAMEA3886022,EGAR00001420270,EGAX00001383166,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001248749LL,EGAN00001373878,SAMEA3885653,EGAR00001420271,EGAX00001383167,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001248800LL,EGAN00001373583,SAMEA3885358,EGAR00001420272,EGAX00001383168,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001249076LL,EGAN00001374295,SAMEA3886070,EGAR00001420273,EGAX00001383169,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001249639LL,EGAN00001374277,SAMEA3886052,EGAR00001420274,EGAX00001383170,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001250148LL,EGAN00001374288,SAMEA3886063,EGAR00001420275,EGAX00001383171,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001250317LL,EGAN00001374445,SAMEA3886220,EGAR00001420276,EGAX00001383172,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001250513LL,EGAN00001373670,SAMEA3885445,EGAR00001420277,EGAX00001383173,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001250738LL,EGAN00001374360,SAMEA3886135,EGAR00001420278,EGAX00001383174,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001251234LL,EGAN00001373847,SAMEA3885622,EGAR00001420279,EGAX00001383175,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001251520LL,EGAN00001373602,SAMEA3885377,EGAR00001420280,EGAX00001383176,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001251593LL,EGAN00001373717,SAMEA3885492,EGAR00001420281,EGAX00001383177,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001252044LL,EGAN00001373721,SAMEA3885496,EGAR00001420282,EGAX00001383178,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001253168LL,EGAN00001373650,SAMEA3885425,EGAR00001420283,EGAX00001383179,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001253462LL,EGAN00001374203,SAMEA3885978,EGAR00001420284,EGAX00001383180,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001254174LL,EGAN00001373841,SAMEA3885616,EGAR00001420285,EGAX00001383181,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001254835LL,EGAN00001373640,SAMEA3885415,EGAR00001420286,EGAX00001383182,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001255019LL,EGAN00001373739,SAMEA3885514,EGAR00001420287,EGAX00001383183,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001255529LL,EGAN00001373849,SAMEA3885624,EGAR00001420288,EGAX00001383184,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001256043LL,EGAN00001373716,SAMEA3885491,EGAR00001420289,EGAX00001383185,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001256080LL,EGAN00001373824,SAMEA3885599,EGAR00001420290,EGAX00001383186,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001256105LL,EGAN00001374177,SAMEA3885952,EGAR00001420291,EGAX00001383187,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001256590LL,EGAN00001373605,SAMEA3885380,EGAR00001420292,EGAX00001383188,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001257031LL,EGAN00001373604,SAMEA3885379,EGAR00001420293,EGAX00001383189,EGAS00001001704,ENA-CHECKLIST=ERC000026
