sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
9002000001301926_4yearsFollowUpMGS,EGAN00002854521,SAMEA7985232,EGAR00002588887,EGAX00002367970,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001303715_4yearsFollowUpMGS,EGAN00002854578,SAMEA7985339,EGAR00002588965,EGAX00002368048,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001304042_4yearsFollowUpMGS,EGAN00002854351,SAMEA7985026,EGAR00002588836,EGAX00002367919,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001304937LL_4yearsFollowUpMGS,EGAN00002854415,SAMEA7985126,EGAR00002588803,EGAX00002367886,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001305350_4yearsFollowUpMGS,EGAN00002854405,SAMEA7985116,EGAR00002588815,EGAX00002367898,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001307240_4yearsFollowUpMGS,EGAN00002854531,SAMEA7985242,EGAR00002588897,EGAX00002367980,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001308622_4yearsFollowUpMGS,EGAN00002854580,SAMEA7985341,EGAR00002588967,EGAX00002368050,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001310371LL_4yearsFollowUpMGS,EGAN00002854527,SAMEA7985238,EGAR00002588893,EGAX00002367976,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001312311_4yearsFollowUpMGS,EGAN00002854394,SAMEA7985105,EGAR00002588823,EGAX00002367906,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001316393_4yearsFollowUpMGS,EGAN00002854349,SAMEA7985024,EGAR00002588844,EGAX00002367927,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001317659_4yearsFollowUpMGS,EGAN00002854366,SAMEA7985041,EGAR00002588827,EGAX00002367910,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
