sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
G38007,EGAN00001564872,SAMEA104165462,EGAR00001570329,EGAX00001526014,EGAS00001001704,age=59;ENA-CHECKLIST=ERC000026
G38008,EGAN00001564873,SAMEA104165463,EGAR00001570330,EGAX00001526015,EGAS00001001704,age=48;ENA-CHECKLIST=ERC000026
G38009,EGAN00001564874,SAMEA104165464,EGAR00001570331,EGAX00001526016,EGAS00001001704,age=36;ENA-CHECKLIST=ERC000026
G38010,EGAN00001564875,SAMEA104165465,EGAR00001570332,EGAX00001526017,EGAS00001001704,age=47;ENA-CHECKLIST=ERC000026
G38011,EGAN00001564876,SAMEA104165466,EGAR00001570333,EGAX00001526018,EGAS00001001704,age=34;ENA-CHECKLIST=ERC000026
G38012,EGAN00001564877,SAMEA104165467,EGAR00001570334,EGAX00001526019,EGAS00001001704,age=37;ENA-CHECKLIST=ERC000026
G38013,EGAN00001564878,SAMEA104165468,EGAR00001570335,EGAX00001526020,EGAS00001001704,age=30;ENA-CHECKLIST=ERC000026
G38014,EGAN00001564879,SAMEA104165469,EGAR00001570336,EGAX00001526021,EGAS00001001704,age=41;ENA-CHECKLIST=ERC000026
G38015,EGAN00001564880,SAMEA104165470,EGAR00001570337,EGAX00001526022,EGAS00001001704,age=41;ENA-CHECKLIST=ERC000026
G38016,EGAN00001565805,SAMEA104166395,EGAR00001571262,EGAX00001526947,EGAS00001001704,age=59;ENA-CHECKLIST=ERC000026
G38017,EGAN00001564881,SAMEA104165471,EGAR00001570338,EGAX00001526023,EGAS00001001704,age=47;ENA-CHECKLIST=ERC000026
G38018,EGAN00001564882,SAMEA104165472,EGAR00001570339,EGAX00001526024,EGAS00001001704,age=33;ENA-CHECKLIST=ERC000026
G38019,EGAN00001564883,SAMEA104165473,EGAR00001570340,EGAX00001526025,EGAS00001001704,age=40;ENA-CHECKLIST=ERC000026
G38020,EGAN00001564884,SAMEA104165474,EGAR00001570341,EGAX00001526026,EGAS00001001704,age=35;ENA-CHECKLIST=ERC000026
G38021,EGAN00001564885,SAMEA104165475,EGAR00001570342,EGAX00001526027,EGAS00001001704,age=32;ENA-CHECKLIST=ERC000026
G38022,EGAN00001564886,SAMEA104165476,EGAR00001570343,EGAX00001526028,EGAS00001001704,age=48;ENA-CHECKLIST=ERC000026
G38023,EGAN00001564887,SAMEA104165477,EGAR00001570344,EGAX00001526029,EGAS00001001704,age=47;ENA-CHECKLIST=ERC000026
G38024,EGAN00001565829,SAMEA104166419,EGAR00001571286,EGAX00001526971,EGAS00001001704,age=24;ENA-CHECKLIST=ERC000026
G38025,EGAN00001564888,SAMEA104165478,EGAR00001570345,EGAX00001526030,EGAS00001001704,age=45;ENA-CHECKLIST=ERC000026
G38026,EGAN00001564889,SAMEA104165479,EGAR00001570346,EGAX00001526031,EGAS00001001704,age=30;ENA-CHECKLIST=ERC000026
G38028,EGAN00001564890,SAMEA104165480,EGAR00001570347,EGAX00001526032,EGAS00001001704,age=51;ENA-CHECKLIST=ERC000026
G38029,EGAN00001564891,SAMEA104165481,EGAR00001570348,EGAX00001526033,EGAS00001001704,age=45;ENA-CHECKLIST=ERC000026
G38030,EGAN00001564892,SAMEA104165482,EGAR00001570349,EGAX00001526034,EGAS00001001704,age=65;ENA-CHECKLIST=ERC000026
G38031,EGAN00001564893,SAMEA104165483,EGAR00001570350,EGAX00001526035,EGAS00001001704,age=49;ENA-CHECKLIST=ERC000026
G38032,EGAN00001564894,SAMEA104165484,EGAR00001570351,EGAX00001526036,EGAS00001001704,age=18;ENA-CHECKLIST=ERC000026
G38034,EGAN00001564895,SAMEA104165485,EGAR00001570352,EGAX00001526037,EGAS00001001704,age=53;ENA-CHECKLIST=ERC000026
G38035,EGAN00001564896,SAMEA104165486,EGAR00001570353,EGAX00001526038,EGAS00001001704,age=33;ENA-CHECKLIST=ERC000026
G38036,EGAN00001564897,SAMEA104165487,EGAR00001570354,EGAX00001526039,EGAS00001001704,age=56;ENA-CHECKLIST=ERC000026
G38037,EGAN00001564898,SAMEA104165488,EGAR00001570355,EGAX00001526040,EGAS00001001704,age=44;ENA-CHECKLIST=ERC000026
G38038,EGAN00001564899,SAMEA104165489,EGAR00001570356,EGAX00001526041,EGAS00001001704,age=72;ENA-CHECKLIST=ERC000026
G38039,EGAN00001565818,SAMEA104166408,EGAR00001571275,EGAX00001526960,EGAS00001001704,age=75;ENA-CHECKLIST=ERC000026
G38040,EGAN00001564900,SAMEA104165490,EGAR00001570357,EGAX00001526042,EGAS00001001704,age=50;ENA-CHECKLIST=ERC000026
G38041,EGAN00001565815,SAMEA104166405,EGAR00001571272,EGAX00001526957,EGAS00001001704,age=64;ENA-CHECKLIST=ERC000026
G38042,EGAN00001564901,SAMEA104165491,EGAR00001570358,EGAX00001526043,EGAS00001001704,age=48;ENA-CHECKLIST=ERC000026
G38043,EGAN00001564902,SAMEA104165492,EGAR00001570359,EGAX00001526044,EGAS00001001704,age=49;ENA-CHECKLIST=ERC000026
G38044,EGAN00001564903,SAMEA104165493,EGAR00001570360,EGAX00001526045,EGAS00001001704,age=62;ENA-CHECKLIST=ERC000026
G38045,EGAN00001564904,SAMEA104165494,EGAR00001570361,EGAX00001526046,EGAS00001001704,age=30;ENA-CHECKLIST=ERC000026
G38046,EGAN00001564905,SAMEA104165495,EGAR00001570362,EGAX00001526047,EGAS00001001704,age=34;ENA-CHECKLIST=ERC000026
G38047,EGAN00001564906,SAMEA104165496,EGAR00001570363,EGAX00001526048,EGAS00001001704,age=64;ENA-CHECKLIST=ERC000026
G38048,EGAN00001564907,SAMEA104165497,EGAR00001570364,EGAX00001526049,EGAS00001001704,age=53;ENA-CHECKLIST=ERC000026
G38049,EGAN00001564908,SAMEA104165498,EGAR00001570365,EGAX00001526050,EGAS00001001704,age=60;ENA-CHECKLIST=ERC000026
G38050,EGAN00001564909,SAMEA104165499,EGAR00001570366,EGAX00001526051,EGAS00001001704,age=58;ENA-CHECKLIST=ERC000026
G38051,EGAN00001564910,SAMEA104165500,EGAR00001570367,EGAX00001526052,EGAS00001001704,age=59;ENA-CHECKLIST=ERC000026
G38052,EGAN00001564911,SAMEA104165501,EGAR00001570368,EGAX00001526053,EGAS00001001704,age=42;ENA-CHECKLIST=ERC000026
G38053,EGAN00001564912,SAMEA104165502,EGAR00001570369,EGAX00001526054,EGAS00001001704,age=39;ENA-CHECKLIST=ERC000026
G38054,EGAN00001564913,SAMEA104165503,EGAR00001570370,EGAX00001526055,EGAS00001001704,age=54;ENA-CHECKLIST=ERC000026
G38055,EGAN00001564914,SAMEA104165504,EGAR00001570371,EGAX00001526056,EGAS00001001704,age=43;ENA-CHECKLIST=ERC000026
G38057,EGAN00001564915,SAMEA104165505,EGAR00001570372,EGAX00001526057,EGAS00001001704,age=48;ENA-CHECKLIST=ERC000026
G38058,EGAN00001564916,SAMEA104165506,EGAR00001570373,EGAX00001526058,EGAS00001001704,age=45;ENA-CHECKLIST=ERC000026
G38059,EGAN00001564917,SAMEA104165507,EGAR00001570374,EGAX00001526059,EGAS00001001704,age=81;ENA-CHECKLIST=ERC000026
G38060,EGAN00001564918,SAMEA104165508,EGAR00001570375,EGAX00001526060,EGAS00001001704,age=80;ENA-CHECKLIST=ERC000026
G38061,EGAN00001564919,SAMEA104165509,EGAR00001570376,EGAX00001526061,EGAS00001001704,age=50;ENA-CHECKLIST=ERC000026
G38062,EGAN00001564920,SAMEA104165510,EGAR00001570377,EGAX00001526062,EGAS00001001704,age=49;ENA-CHECKLIST=ERC000026
G38063,EGAN00001564921,SAMEA104165511,EGAR00001570378,EGAX00001526063,EGAS00001001704,age=45;ENA-CHECKLIST=ERC000026
G38064,EGAN00001564922,SAMEA104165512,EGAR00001570379,EGAX00001526064,EGAS00001001704,age=21;ENA-CHECKLIST=ERC000026
G38065,EGAN00001564923,SAMEA104165513,EGAR00001570380,EGAX00001526065,EGAS00001001704,age=52;ENA-CHECKLIST=ERC000026
G38066,EGAN00001564924,SAMEA104165514,EGAR00001570381,EGAX00001526066,EGAS00001001704,age=47;ENA-CHECKLIST=ERC000026
G38067,EGAN00001564925,SAMEA104165515,EGAR00001570382,EGAX00001526067,EGAS00001001704,age=48;ENA-CHECKLIST=ERC000026
G38068,EGAN00001564926,SAMEA104165516,EGAR00001570383,EGAX00001526068,EGAS00001001704,age=19;ENA-CHECKLIST=ERC000026
G38069,EGAN00001565823,SAMEA104166413,EGAR00001571280,EGAX00001526965,EGAS00001001704,age=56;ENA-CHECKLIST=ERC000026
G38070,EGAN00001564927,SAMEA104165517,EGAR00001570384,EGAX00001526069,EGAS00001001704,age=29;ENA-CHECKLIST=ERC000026
G38071,EGAN00001564928,SAMEA104165518,EGAR00001570385,EGAX00001526070,EGAS00001001704,age=60;ENA-CHECKLIST=ERC000026
G38072,EGAN00001564929,SAMEA104165519,EGAR00001570386,EGAX00001526071,EGAS00001001704,age=30;ENA-CHECKLIST=ERC000026
G38073,EGAN00001564930,SAMEA104165520,EGAR00001570387,EGAX00001526072,EGAS00001001704,age=33;ENA-CHECKLIST=ERC000026
G38074,EGAN00001564931,SAMEA104165521,EGAR00001570388,EGAX00001526073,EGAS00001001704,age=57;ENA-CHECKLIST=ERC000026
G38075,EGAN00001564932,SAMEA104165522,EGAR00001570389,EGAX00001526074,EGAS00001001704,age=40;ENA-CHECKLIST=ERC000026
G38076,EGAN00001564933,SAMEA104165523,EGAR00001570390,EGAX00001526075,EGAS00001001704,age=27;ENA-CHECKLIST=ERC000026
G38077,EGAN00001564934,SAMEA104165524,EGAR00001570391,EGAX00001526076,EGAS00001001704,age=31;ENA-CHECKLIST=ERC000026
G38078,EGAN00001564935,SAMEA104165525,EGAR00001570392,EGAX00001526077,EGAS00001001704,age=66;ENA-CHECKLIST=ERC000026
G38080,EGAN00001564936,SAMEA104165526,EGAR00001570393,EGAX00001526078,EGAS00001001704,age=35;ENA-CHECKLIST=ERC000026
G38081,EGAN00001564937,SAMEA104165527,EGAR00001570394,EGAX00001526079,EGAS00001001704,age=21;ENA-CHECKLIST=ERC000026
G38082,EGAN00001564938,SAMEA104165528,EGAR00001570395,EGAX00001526080,EGAS00001001704,age=44;ENA-CHECKLIST=ERC000026
G38083,EGAN00001564939,SAMEA104165529,EGAR00001570396,EGAX00001526081,EGAS00001001704,age=73;ENA-CHECKLIST=ERC000026
G38084,EGAN00001564940,SAMEA104165530,EGAR00001570397,EGAX00001526082,EGAS00001001704,age=45;ENA-CHECKLIST=ERC000026
G38085,EGAN00001564941,SAMEA104165531,EGAR00001570398,EGAX00001526083,EGAS00001001704,age=73;ENA-CHECKLIST=ERC000026
G38086,EGAN00001564942,SAMEA104165532,EGAR00001570399,EGAX00001526084,EGAS00001001704,age=21;ENA-CHECKLIST=ERC000026
G38087,EGAN00001565806,SAMEA104166396,EGAR00001571263,EGAX00001526948,EGAS00001001704,age=53;ENA-CHECKLIST=ERC000026
G38088,EGAN00001565819,SAMEA104166409,EGAR00001571276,EGAX00001526961,EGAS00001001704,age=29;ENA-CHECKLIST=ERC000026
G38089,EGAN00001564943,SAMEA104165533,EGAR00001570400,EGAX00001526085,EGAS00001001704,age=43;ENA-CHECKLIST=ERC000026
G38090,EGAN00001564944,SAMEA104165534,EGAR00001570401,EGAX00001526086,EGAS00001001704,age=64;ENA-CHECKLIST=ERC000026
G38091,EGAN00001564945,SAMEA104165535,EGAR00001570402,EGAX00001526087,EGAS00001001704,age=23;ENA-CHECKLIST=ERC000026
G38092,EGAN00001564946,SAMEA104165536,EGAR00001570403,EGAX00001526088,EGAS00001001704,age=65;ENA-CHECKLIST=ERC000026
G38093,EGAN00001564947,SAMEA104165537,EGAR00001570404,EGAX00001526089,EGAS00001001704,age=49;ENA-CHECKLIST=ERC000026
G38094,EGAN00001564948,SAMEA104165538,EGAR00001570405,EGAX00001526090,EGAS00001001704,age=41;ENA-CHECKLIST=ERC000026
G38095,EGAN00001564949,SAMEA104165539,EGAR00001570406,EGAX00001526091,EGAS00001001704,age=44;ENA-CHECKLIST=ERC000026
G38096,EGAN00001564950,SAMEA104165540,EGAR00001570407,EGAX00001526092,EGAS00001001704,age=62;ENA-CHECKLIST=ERC000026
G38097,EGAN00001565814,SAMEA104166404,EGAR00001571271,EGAX00001526956,EGAS00001001704,age=45;ENA-CHECKLIST=ERC000026
G38098,EGAN00001564951,SAMEA104165541,EGAR00001570408,EGAX00001526093,EGAS00001001704,age=60;ENA-CHECKLIST=ERC000026
G38099,EGAN00001564952,SAMEA104165542,EGAR00001570409,EGAX00001526094,EGAS00001001704,age=42;ENA-CHECKLIST=ERC000026
G38100,EGAN00001564953,SAMEA104165543,EGAR00001570410,EGAX00001526095,EGAS00001001704,age=68;ENA-CHECKLIST=ERC000026
G38101,EGAN00001564954,SAMEA104165544,EGAR00001570411,EGAX00001526096,EGAS00001001704,age=57;ENA-CHECKLIST=ERC000026
G38102,EGAN00001564955,SAMEA104165545,EGAR00001570412,EGAX00001526097,EGAS00001001704,age=29;ENA-CHECKLIST=ERC000026
G38103,EGAN00001564956,SAMEA104165546,EGAR00001570413,EGAX00001526098,EGAS00001001704,age=53;ENA-CHECKLIST=ERC000026
G38104,EGAN00001564957,SAMEA104165547,EGAR00001570414,EGAX00001526099,EGAS00001001704,age=28;ENA-CHECKLIST=ERC000026
G38105,EGAN00001564958,SAMEA104165548,EGAR00001570415,EGAX00001526100,EGAS00001001704,age=49;ENA-CHECKLIST=ERC000026
G38106,EGAN00001564959,SAMEA104165549,EGAR00001570416,EGAX00001526101,EGAS00001001704,age=25;ENA-CHECKLIST=ERC000026
G38107,EGAN00001564960,SAMEA104165550,EGAR00001570417,EGAX00001526102,EGAS00001001704,age=47;ENA-CHECKLIST=ERC000026
G38108,EGAN00001564961,SAMEA104165551,EGAR00001570418,EGAX00001526103,EGAS00001001704,age=41;ENA-CHECKLIST=ERC000026
G38109,EGAN00001564962,SAMEA104165552,EGAR00001570419,EGAX00001526104,EGAS00001001704,age=36;ENA-CHECKLIST=ERC000026
G38110,EGAN00001564963,SAMEA104165553,EGAR00001570420,EGAX00001526105,EGAS00001001704,age=52;ENA-CHECKLIST=ERC000026
G38111,EGAN00001564964,SAMEA104165554,EGAR00001570421,EGAX00001526106,EGAS00001001704,age=52;ENA-CHECKLIST=ERC000026
G38112,EGAN00001564965,SAMEA104165555,EGAR00001570422,EGAX00001526107,EGAS00001001704,age=61;ENA-CHECKLIST=ERC000026
G38113,EGAN00001564966,SAMEA104165556,EGAR00001570423,EGAX00001526108,EGAS00001001704,age=38;ENA-CHECKLIST=ERC000026
G38114,EGAN00001564967,SAMEA104165557,EGAR00001570424,EGAX00001526109,EGAS00001001704,age=19;ENA-CHECKLIST=ERC000026
G38115,EGAN00001564968,SAMEA104165558,EGAR00001570425,EGAX00001526110,EGAS00001001704,age=47;ENA-CHECKLIST=ERC000026
G38116,EGAN00001564969,SAMEA104165559,EGAR00001570426,EGAX00001526111,EGAS00001001704,age=31;ENA-CHECKLIST=ERC000026
G38117,EGAN00001564970,SAMEA104165560,EGAR00001570427,EGAX00001526112,EGAS00001001704,age=35;ENA-CHECKLIST=ERC000026
G38119,EGAN00001565826,SAMEA104166416,EGAR00001571283,EGAX00001526968,EGAS00001001704,age=56;ENA-CHECKLIST=ERC000026
G38120,EGAN00001564971,SAMEA104165561,EGAR00001570428,EGAX00001526113,EGAS00001001704,age=45;ENA-CHECKLIST=ERC000026
G38121,EGAN00001564972,SAMEA104165562,EGAR00001570429,EGAX00001526114,EGAS00001001704,age=66;ENA-CHECKLIST=ERC000026
G38122,EGAN00001564973,SAMEA104165563,EGAR00001570430,EGAX00001526115,EGAS00001001704,age=28;ENA-CHECKLIST=ERC000026
G38123,EGAN00001564974,SAMEA104165564,EGAR00001570431,EGAX00001526116,EGAS00001001704,age=50;ENA-CHECKLIST=ERC000026
G38124,EGAN00001564975,SAMEA104165565,EGAR00001570432,EGAX00001526117,EGAS00001001704,age=40;ENA-CHECKLIST=ERC000026
G38125,EGAN00001564976,SAMEA104165566,EGAR00001570433,EGAX00001526118,EGAS00001001704,age=68;ENA-CHECKLIST=ERC000026
G38126,EGAN00001564977,SAMEA104165567,EGAR00001570434,EGAX00001526119,EGAS00001001704,age=32;ENA-CHECKLIST=ERC000026
G38128,EGAN00001564978,SAMEA104165568,EGAR00001570435,EGAX00001526120,EGAS00001001704,age=46;ENA-CHECKLIST=ERC000026
G38129,EGAN00001564979,SAMEA104165569,EGAR00001570436,EGAX00001526121,EGAS00001001704,age=30;ENA-CHECKLIST=ERC000026
G38130,EGAN00001564980,SAMEA104165570,EGAR00001570437,EGAX00001526122,EGAS00001001704,age=25;ENA-CHECKLIST=ERC000026
G38131,EGAN00001564981,SAMEA104165571,EGAR00001570438,EGAX00001526123,EGAS00001001704,age=66;ENA-CHECKLIST=ERC000026
G38132,EGAN00001564982,SAMEA104165572,EGAR00001570439,EGAX00001526124,EGAS00001001704,age=51;ENA-CHECKLIST=ERC000026
G38133,EGAN00001564983,SAMEA104165573,EGAR00001570440,EGAX00001526125,EGAS00001001704,age=32;ENA-CHECKLIST=ERC000026
G38134,EGAN00001564984,SAMEA104165574,EGAR00001570441,EGAX00001526126,EGAS00001001704,age=29;ENA-CHECKLIST=ERC000026
G38136,EGAN00001564985,SAMEA104165575,EGAR00001570442,EGAX00001526127,EGAS00001001704,age=59;ENA-CHECKLIST=ERC000026
G38137,EGAN00001564986,SAMEA104165576,EGAR00001570443,EGAX00001526128,EGAS00001001704,age=46;ENA-CHECKLIST=ERC000026
G38138,EGAN00001565830,SAMEA104166420,EGAR00001571287,EGAX00001526972,EGAS00001001704,age=41;ENA-CHECKLIST=ERC000026
G38139,EGAN00001564987,SAMEA104165577,EGAR00001570444,EGAX00001526129,EGAS00001001704,age=60;ENA-CHECKLIST=ERC000026
G38140,EGAN00001564988,SAMEA104165578,EGAR00001570445,EGAX00001526130,EGAS00001001704,age=54;ENA-CHECKLIST=ERC000026
G38141,EGAN00001564989,SAMEA104165579,EGAR00001570446,EGAX00001526131,EGAS00001001704,age=44;ENA-CHECKLIST=ERC000026
G38142,EGAN00001564990,SAMEA104165580,EGAR00001570447,EGAX00001526132,EGAS00001001704,age=51;ENA-CHECKLIST=ERC000026
G38143,EGAN00001564991,SAMEA104165581,EGAR00001570448,EGAX00001526133,EGAS00001001704,age=51;ENA-CHECKLIST=ERC000026
G38144,EGAN00001565809,SAMEA104166399,EGAR00001571266,EGAX00001526951,EGAS00001001704,age=46;ENA-CHECKLIST=ERC000026
G38145,EGAN00001564992,SAMEA104165582,EGAR00001570449,EGAX00001526134,EGAS00001001704,age=54;ENA-CHECKLIST=ERC000026
G38146,EGAN00001564993,SAMEA104165583,EGAR00001570450,EGAX00001526135,EGAS00001001704,age=26;ENA-CHECKLIST=ERC000026
G38147,EGAN00001564994,SAMEA104165584,EGAR00001570451,EGAX00001526136,EGAS00001001704,age=57;ENA-CHECKLIST=ERC000026
G38148,EGAN00001564995,SAMEA104165585,EGAR00001570452,EGAX00001526137,EGAS00001001704,age=42;ENA-CHECKLIST=ERC000026
G38149,EGAN00001564996,SAMEA104165586,EGAR00001570453,EGAX00001526138,EGAS00001001704,age=20;ENA-CHECKLIST=ERC000026
G38150,EGAN00001564997,SAMEA104165587,EGAR00001570454,EGAX00001526139,EGAS00001001704,age=45;ENA-CHECKLIST=ERC000026
G43088,EGAN00001564998,SAMEA104165588,EGAR00001570455,EGAX00001526140,EGAS00001001704,age=47;ENA-CHECKLIST=ERC000026
G43090,EGAN00001564999,SAMEA104165589,EGAR00001570456,EGAX00001526141,EGAS00001001704,age=33;ENA-CHECKLIST=ERC000026
G43091,EGAN00001565000,SAMEA104165590,EGAR00001570457,EGAX00001526142,EGAS00001001704,age=42;ENA-CHECKLIST=ERC000026
G43092,EGAN00001565001,SAMEA104165591,EGAR00001570458,EGAX00001526143,EGAS00001001704,age=30;ENA-CHECKLIST=ERC000026
G43093,EGAN00001565002,SAMEA104165592,EGAR00001570459,EGAX00001526144,EGAS00001001704,age=58;ENA-CHECKLIST=ERC000026
G43094,EGAN00001565003,SAMEA104165593,EGAR00001570460,EGAX00001526145,EGAS00001001704,age=44;ENA-CHECKLIST=ERC000026
G43095,EGAN00001565004,SAMEA104165594,EGAR00001570461,EGAX00001526146,EGAS00001001704,age=33;ENA-CHECKLIST=ERC000026
G43096,EGAN00001565005,SAMEA104165595,EGAR00001570462,EGAX00001526147,EGAS00001001704,age=51;ENA-CHECKLIST=ERC000026
G43097,EGAN00001565006,SAMEA104165596,EGAR00001570463,EGAX00001526148,EGAS00001001704,age=24;ENA-CHECKLIST=ERC000026
G43098,EGAN00001565007,SAMEA104165597,EGAR00001570464,EGAX00001526149,EGAS00001001704,age=36;ENA-CHECKLIST=ERC000026
G43100,EGAN00001565008,SAMEA104165598,EGAR00001570465,EGAX00001526150,EGAS00001001704,age=79;ENA-CHECKLIST=ERC000026
G43101,EGAN00001565009,SAMEA104165599,EGAR00001570466,EGAX00001526151,EGAS00001001704,age=54;ENA-CHECKLIST=ERC000026
