"","2-aminoadipate","2-hydroxy-3-methylpentanoate","3-hydroxyanthranilic acid","4-acetamidobutanoate","acetyltyrosine","agmatine","alanine","arginine","asparagine","aspartate","butyrate","cadaverine","citrulline","D-alany-D-alanine","diaminopimelate","formylmethionine","gentisate","glutamine","glycine","histamine","histidine","homovanillate","hydrocinnamate","hydrocinnamate (phenylpropionate)","imidazole propionate","imidazoleacetic acid","indole","indole-3-propionate","indoleacetate","indolelactate","isoleucine","leucine","leucylglycine","lysine","methionine","methylimidazole acetic acid","N-acetylglutamine","N-acetylhistamine","N6-acetyl-L-lysine","N6-acetyllysine","ornithine","phenylalanine","phenyllactate","pipecolic acid","proline","pyridoxamine","quinolinate","serine","taurine","threonine","tryptamine","tryptophan","tyrosine","urocanic acid","valine","xanthurenate"
"9034-B",NA,2487486,2471.899053,149.8120638,NA,7650.00000000004,55827.28723,141483.2265,396.8236214,4147359565,NA,333,63807.45484,1854.00000000001,NA,955.000000000009,NA,39472.8036,1992.143753,2303.360481,2272372.569,2927050,NA,68,NA,458504.28,162217.9295,NA,NA,NA,73529285.79,96369289.72,3481,180338.0553,142889.498,173998913.9,1705,1824,14986.55681,617831,582240.1273,56352997.38,NA,9783.26281,891965.8684,NA,1425402,7388.945004,1893.160783,13902.20283,NA,5101750.85,10840353.68,393961.1409,78947882.91,5758261
"9034-C",274972,2883760,3918.144082,999.4710736,NA,11867.0000000001,84617.95763,42824.11871,1211.507548,4289963338,NA,5906.00000000001,106892.6611,1316.99999999999,NA,820.000000000006,NA,38923.19127,2479.1957,939.6659142,989404.7779,1643115,NA,51,NA,263539.5903,141130.2087,NA,NA,NA,129891470,140845096.7,5842,97803.18301,229477.8336,280698079.3,1824,20516,34229.39239,1298900,1620572.12,83690495.59,NA,8789.54616,1001450.081,NA,913345,7458.428293,2692.138313,23729.96235,86,8021116.009,17046259.16,613552.0043,132337444.9,2729614
"9004-D",2728750,7168400,462.5133193,4434.858726,NA,231918.999999998,154341.8656,468346.4514,1471.455877,328723009,580280766,13988.9999999999,74143.61723,28868.0000000003,NA,7463.99999999995,35335475,245514.5597,55887.02608,10731.47993,9241186.879,14257707,737586694,606414,NA,2177139.965,54534.61372,14632348,3111,1051313,122673355.2,169341486.7,60142,89191.88814,294155.5438,7934203.276,4170,4674,91765.96016,8620539,243178.5747,122093126.3,4876545,91617.64365,1098690.632,7002,5507658,17275.94582,1318941.622,39769.3151,859,25023266.39,23386104.87,613347.3043,1884243906,NA
"9034-D",NA,7757880,898.7533114,23244.06723,NA,40137.9999999998,59674.62667,254764.1486,NA,282598627,155846519,4473.99999999999,131205.0174,10338,789635,25477.9999999998,2263850,59033.82989,4632.298768,51628.15719,4420454.356,3578983,148580224,153050,NA,3337133.828,54382.42323,1575281,2514,668901,54144160.79,85020456.83,52341,404130.5342,144230.4574,1966138.54,20516,26461,271378.46,2774170,4757347.633,68989093.75,NA,206672.9986,322908.3481,952,3666331,7331.288402,1020415.302,30340.60154,142,35094904.88,16834372.89,937837.8205,964094970.1,NA
"9034-E",311151,11923542,1767.702083,15832.52635,NA,7488.99999999998,77808.42721,276228.1866,26.58198622,281205977,266432280,8991.00000000007,84177.76646,3651.99999999999,NA,9096.99999999998,16619950,44845.28753,57492.40586,101845.9266,8664707.054,5119551,342752392,436257,NA,15032584.3,92964.58969,2816512,1218,NA,85072234.06,101226482.2,24648,73375.14262,148367.3561,5032757.113,26461,1028,53630.63397,2965640,942291.5384,71823405.89,3435914,124846.7286,893829.624,4297,5674116,14292.24792,1242193.937,26621.8592,151,17385875.72,15860379.84,1272485.587,2735854635,NA
"9033-A",654763,30443177,NA,5941.678271,NA,72788.0000000001,298059.4647,8170953.852,1033784.441,376561560,148327422,68746.0000000005,29787.23252,38980.9999999998,NA,8494,21614683,2152309.274,82300.64801,23302.32995,375461330.7,3086455,NA,197,NA,134853.0509,56647.81162,NA,15977,3229333,772725260.8,841342300.8,38493,4605948.622,713798.4681,5442476.796,5511,3378,17060.01558,3536262,687707.2402,1163728805,4538710,7642.394872,7696202.669,156,1072559,258751.5115,36037.34437,486506.315,330247,441300942,265914351.9,181697.6998,701532514.4,3820183
"9033-B",952579,280963724,525.9282747,558.0924833,NA,205040.999999998,219082.5946,1668971.225,62190.80116,314479133,262252416,235363,436897.7455,20918.0000000001,1170350,5688.99999999998,8572708,201387.9334,14491.2799,3631.078353,9677672.25,27869747,17280428,15337,NA,4948849.454,98976.22409,3228506,2262,9263851,414029247.1,463358232.3,16937,1665161.07,1023319.942,1150106067,3378,2328,115457.3384,5262470,2067067.634,354944773.9,76996209,230403.5267,2667405.632,NA,1247264,38837.84716,2344164.898,49904.0735,730,42373471.7,65134818.99,1069213.052,317686767.5,2787577
"9033-C",623408,1800988,778.3162223,340.196787,NA,71507.9999999999,130996.867,240471.8554,546.1720129,2339282852,NA,5521.00000000003,356417.336,23140,NA,1669.00000000001,NA,166170.5135,8542.906909,25934.30692,10330817.45,3965527,NA,0,NA,2644206.118,119266.4091,NA,12,NA,289282048.6,275810002.6,9804,874020.4162,592282.6061,131152356.4,2328,6041,100295.5843,2545300,6365879.616,206317901.1,NA,373061.6538,1247535.384,119,1404684,22801.62634,2775680.78,57421.50334,261,25376077.76,42859157.85,710278.5533,205884125.7,617060
"9033-D",3576421,47101633,NA,5566.620618,NA,72856.0000000006,450229.4135,2176959.485,1335018.367,890486814,430469411,568287.000000002,63954.63904,58213.0000000004,NA,18861,18408868,1395954.999,78801.19191,1747.047024,45512176.43,17436355,4339024,4543,NA,1387722.625,51178.10262,2291752,8127,908421,854705995.7,899596763,320975,3448094.333,625293.9005,845478.7217,6041,9931,2197.196113,6073246,185403056.9,1008372334,14645112,8674.992119,8876258.964,321,1104952,19011.68701,22528.37218,43634.34018,145270,526971715.5,280370084.1,683915.3605,1025627080,NA
"9033-E",8899688,30768317,NA,6945.158138,NA,41664.9999999998,304637.1543,6446145.365,1279972.776,470233267,448041158,64967.9999999997,23236.32557,68406,NA,10714,9806494,2247644.489,79359.04364,2652.978157,83189879.37,32407575,6180799,5833,NA,1190746.159,53666.92581,17724672,2939,1474095,488685325.3,608786146.2,53413,3828673.463,413689.9852,684661.7874,9931,2389,3521.499234,8854072,3563135.562,791997712.5,13090610,4426.898588,6466679.04,1051,1452243,364993.3481,32778.76814,874198.0732,3888,401730501.9,211524178.5,546584.2465,697009162.5,4588219
