"","2-aminoadipate","2-hydroxy-3-methylpentanoate","3-hydroxyanthranilic acid","4-acetamidobutanoate","acetyltyrosine","agmatine","alanine","arginine","asparagine","aspartate","butyrate","cadaverine","citrulline","D-alany-D-alanine","diaminopimelate","formylmethionine","gentisate","glutamine","glycine","histamine","histidine","homovanillate","hydrocinnamate","hydrocinnamate (phenylpropionate)","imidazole propionate","imidazoleacetic acid","indole","indole-3-propionate","indoleacetate","indolelactate","isoleucine","leucine","leucylglycine","lysine","methionine","methylimidazole acetic acid","N-acetylglutamine","N-acetylhistamine","N6-acetyl-L-lysine","N6-acetyllysine","ornithine","phenylalanine","phenyllactate","pipecolic acid","proline","pyridoxamine","quinolinate","serine","taurine","threonine","tryptamine","tryptophan","tyrosine","urocanic acid","valine","xanthurenate"
"9016-B",547876,920857691,NA,1055.109209,NA,575316.000000001,188052.0288,1170073.349,38216.41321,324102836,2138237,226820.999999998,49283.78571,26717.0000000003,NA,6859.99999999997,NA,205020.8596,8790.762503,5838.478298,31142160.22,14166575,NA,211,NA,4176187.562,87821.31912,NA,501,12334373,418852080.1,492355878.3,28659,1267611.469,804505.61,39454979.24,949,1375,20707.9761,1485954,1279158.578,327632881.7,382251490,222323.251,2272512.409,NA,1029829,23602.72303,10244.74498,53047.81201,31,52904742.46,53815415.23,2443744.892,333891310.5,3077973
"9016-C",179704,2511377,3165.302739,11516.88894,NA,20990,84555.8199,241148.6751,8436.305321,4821483173,NA,4925,249224.0033,1555.00000000001,NA,307.000000000003,NA,126953.4417,5151.904691,91378.77852,5236963.914,2679060,NA,36,NA,11353559.07,116471.5993,NA,NA,NA,139120364.4,168653515.6,3944,473119.4456,349846.9883,59497384,1375,6757,78848.94359,997280,2262864.86,133266528.7,NA,133069.1798,569405.794,NA,1474732,18925.51451,284392.2602,36257.32734,162,17202785.61,21622741.66,505721.5727,353396191.4,3424820
"9016-D",5026050,10940282,588.7601612,8526.306147,2062898,360206.999999997,48675.46267,913248.9574,200.4558151,631664984,428903027,27645.9999999998,149666.1109,18596,NA,8355.99999999998,NA,511550.6328,4826.068302,57071.91379,1322330.108,682480,6183958,5662,NA,1946394.446,105507.8381,5770793,7181,NA,74835884.52,99355894.48,240877,150746.5551,142564.4278,1265607.416,6757,2023,102008.056,9478018,1252684.949,95424727.76,NA,79516.66143,909331.8743,579,1919463,13104.01095,1370213.833,31286.23589,34565,26713644.6,11860241.88,1607698.502,1374189419,122776
"9016-E",887598,23118648,104.697082,14497.23266,NA,38520.0000000003,123448.4619,495559.12,8313.478423,207761096,741248788,76133.0000000003,62147.65776,30388.9999999999,NA,9240.99999999998,30932289,158877.1593,63018.36641,270913.6393,8379180.48,7571484,9456009,14149,NA,2791555.526,115650.5172,6639445,4416,272085,69382426.25,97325536.72,70174,280781.6706,180446.0835,2900087.967,2023,7675,83715.25666,2771526,3124078.76,88668977.89,6514592,88849.38951,622451.9834,127,1529595,15798.65715,1141283.012,48541.01294,12314,48508425.64,17005036.56,3055233.139,1233677895,2044212
"9015-A",1462543,55592996,43.59737155,5031.980497,NA,846776.000000003,291636.882,6402330.266,756467.8383,435388835,176063524,638964.000000001,66358.01223,29880.9999999997,1257732,13562,42878499,1997759.544,81894.14654,38391.00156,354642837.1,3818848,NA,193,NA,379758.4208,68333.95762,NA,17161,4550148,640343294.2,710570677.3,7743,2473637.511,674555.409,6733241.348,2217,1628,21458.345,7786669,605062.6051,915449158.3,8350195,19679.29097,10886976.7,270,1165488,228717.4366,37880.49041,406961.7743,329,337615875.2,170785685.3,248772.2275,566845721.6,7643820
"9015-B",668842,163999570,1968.354307,7828.732682,NA,953258.999999992,139526.3817,845500.8954,57629.66061,334416489,306360080,701172.999999993,416718.0338,26153.0000000003,5550263,9442.99999999997,25632393,159370.7892,7443.328461,12653.54667,22971672.24,5596756,2499249,1790,NA,4163501.683,92052.4016,1222084,44371,7935441,217242006.6,331299081.2,12017,837028.7052,684980.5962,532054629.1,1628,2159,130186.1942,4167509,5596449.096,250470196.7,11224643,181869.4587,1798599.946,570,1240879,24391.06013,4516021.428,43648.98289,2006,30895097.06,48904472.13,666094.6723,188488184.1,6048998
"9015-C",1178942,3093163,836.4170794,9414.641357,NA,79319.9999999992,274098.5787,222284.0254,116451.2815,2178596623,NA,3615.00000000001,664478.9283,14825.9999999999,NA,1957,NA,302257.1288,21379.36496,42100.48453,17604486,3574297,NA,54,NA,1611486.183,90693.09986,NA,10,NA,492608514.5,520450550.1,7886,1755765.655,878928.3487,24420729.65,2159,2224,107828.5143,1995248,8567632.961,423126378.9,NA,219528.5508,2836927.528,13,980673,59702.3623,2476700.261,122658.8325,18,54667047.35,82271191.54,542459.7816,1067783578,1243014
"9015-D",2705678,27029690,NA,8953.909395,NA,50084.9999999998,566487.2088,632760.1356,NA,583173101,386898765,12066.0000000001,29120.54539,38909.0000000002,NA,8960.00000000011,82979920,19226.19119,82885.11888,101835.7379,119415521.6,16402869,13782382,16627,NA,154733.3525,59608.45378,6711481,1994,1477516,998307184.6,1002277106,207550,6660066.53,1081214.96,715264.7024,2224,3350,7258.484246,5373142,53217431.45,860179003.7,7037364,14539.71413,14111172.24,3545,3784987,15032.24476,90386.80653,31773.91199,4709,18645155.51,11484125.85,1650310.044,1088891589,386794
"9002-B",1523030,1626504842,518.3559064,614.0970159,NA,250114.000000001,72802.41009,36381.62164,181.8114,274620192,200738072,329453.000000002,202519.0415,38295.9999999998,1531017,9819.00000000009,43780346,41108.71804,4904.555931,59224.58001,3010846.105,109616689,549506691,593615,18221.75744,2657465.67,66095.21347,8451287,11626,102148967,163617176.8,162909073.2,16209,288841.2568,328264.8346,70633056.29,1064,1806,119039.08,934049,1828222.907,107419671.5,774981869,16090.79244,939223.6697,535,2209051,9853.597631,6512.813156,26172.6214,9282,9485605.555,19521588.55,1043929.145,148434029.4,3516818
"9009-A",4791605,113395982,NA,9570.955213,10916164,587090.000000006,361176.4479,7993817.435,925262.3676,1008278303,59878850,3125019.00000003,29717.32489,308652.000000004,10320648,30657.0000000001,NA,2103719.327,79323.68894,6228.144644,645757810.6,81544344,NA,NA,NA,1617134.649,63795.59418,NA,709,4534148,952086453.3,979697440.8,25814,4023715.846,885430.8342,1374112.694,12883,3404,11111.20895,31304906,2301734.546,1070329070,123568945,8501.852539,10820128.34,484,2378021,343926.6006,43390.65083,517439.4782,23421,468041406.5,208972290.8,180302.9227,880146758.1,10801693
"9009-B",1664189,1541116494,30.44833747,12078.33563,5872330,434907.999999997,294654.5029,780822.3647,85630.37933,257463688,58324719,688218.000000007,79987.0399,153447.000000002,NA,19349.0000000002,NA,319475.0964,17278.31755,9527.35906,24776115.2,37129239,NA,NA,NA,3231537.754,72629.68187,NA,2098,15938661,683814096.6,698313865.3,33624,1816163.125,1317277.512,2269870.088,3404,769,15183.32341,12616304,1464453.636,506264407.7,420718634,104466.7606,4041866.043,0,1548093,41504.05455,11675.82346,125360.2612,91,82270350.33,91026170.06,2691677.591,523645366.6,5105751
"9009-C",245180,2871452,1782.917717,14537.35321,NA,20835.0000000002,86247.2622,155119.9851,14235.08046,4255860626,NA,7244.99999999995,274901.0911,558.000000000002,NA,571.000000000003,NA,125508.3145,4917.461545,21708.34411,7018249.776,1809816,NA,17,NA,2186444.464,97573.88902,NA,NA,NA,148301444.2,170118833.8,3276,316373.8953,350619.1859,23088439.15,769,5271,34978.85502,265125,5751291.981,138592954.7,NA,100165.3249,967681.9698,0,1095625,21801.72918,114581.0318,42828.11648,28,19186373.21,27687452.67,787666.2605,251174226.1,1254532
"9009-D",1270535,249545187,1673.539766,42810.65652,1775542,62405.9999999997,96227.42679,434401.2054,NA,633964908,433473918,3171.00000000001,189834.6763,44141.0000000004,NA,14523.9999999998,NA,128511.8733,6650.877864,409639.9195,7675130.812,5500681,3199387,3044,NA,17564738.72,93034.60589,3950316,9903,308149,129605664.7,157494824.3,182891,215582.5517,275191.863,16580871.57,5271,4719,49795.57647,7537464,1528391.265,111709537.4,9604999,503155.0577,666858.9864,3369,1626016,17353.54199,1732783.962,34814.7321,141205,38513403.69,22905361.46,1116632.787,2803097509,NA
"9009-E",453792,53427219,1630.723131,9166.993601,NA,33485.0000000002,520887.9121,3321000.937,25410.99279,308406606,773994646,18694,485790.7568,54467.0000000004,NA,14211,160276747,203783.8153,141673.232,1138622.474,89697651.27,12030750,16754007,19431,NA,6594246.645,92580.14576,20217160,1358,485583,454145730.7,613997768.4,59519,495100.8546,367428.5455,4323887.342,4719,2845,77675.66914,3268620,1823391.405,764317384,7231050,198246.0126,4222161.835,2240,2935363,12514.96803,1248235.357,59789.2988,6915,407748697.4,166169823.4,6081239.452,3275221959,789224
"9008-A",2025125,36832927,1311.289316,7303.605696,NA,64264.0000000003,345735.3435,6693082.678,658401.3745,370703529,233096772,415738,33109.42843,30132.0000000003,NA,7467.00000000008,25830258,3080781.481,74277.1434,9151.445516,324634120.9,5210474,NA,1382,NA,588960.7074,68076.72566,NA,21728,181296,814993348.3,1018977914,33069,1789498.729,1009034.622,1351055.481,2048,5548,16114.06584,2600766,1224275.367,1062923959,5127604,16774.72499,11937013.9,1144,2776449,238688.5034,36776.27475,442163.9995,291652,294154655,213004910.1,224235.4876,671392905.7,9369687
"9015-E",2751154,145456882,16.31151694,10862.38285,1763031,19319.9999999998,469702.092,5911139.323,6991.11616,678180513,730876947,17793.0000000001,8803.869409,115778,NA,21216,47545235,194012.4448,106571.8396,49295.57906,115750618.4,69326244,20722157,24222,NA,173959.0658,69730.64748,10612610,2363,10919111,817751327,867644967.8,48909,3657981.641,860996.897,796334.7815,3350,1572,NA,5525670,2013046.715,892414717.4,34940587,14206.24382,15832573.83,558,1828228,22303.28083,47233.80331,56886.95904,1909,431328466.5,22350297.14,495701.5626,912987635.6,1220714
"9014-A",1829567,182881530,NA,16139.3143,4506592,8674.99999999998,72339.13575,5172926.156,301574.739,366925928,256219105,660920.000000004,33716.44384,57489.0000000004,897095,44653.9999999997,41275769,838239.8131,20715.74869,1882.955929,66541481.03,45841743,6830541,6229,NA,639078.6914,60362.37199,NA,4092,4643725,124739734.2,257041253.3,46953,3110182.965,124690.053,3505404.313,26896,53377,11610.3041,19572749,3179685.272,342438753.1,72730924,3444.72075,1813565.716,30,1892821,121256.1105,54547.51953,281478.7382,350017,172111560.9,67037374.23,1046694.998,217282959,4512361
"9003-E",3139718,39318736,2082.527451,35840.92308,NA,76725.0000000001,76390.83527,385354.4036,7461.858015,330604453,355514633,32254.0000000001,42129.36434,26648,NA,16557.0000000002,6090061,116583.232,9077.06171,73572.84749,9976353.499,14876722,104179544,110724,NA,8928289.319,126992.0388,1112405,5753,1193881,108760474.9,139549333.3,52646,788030.4304,216153.8364,2497856.971,7664,1954,117050.5558,7979809,1641173.361,101807217.1,29343994,137187.6131,1046411.948,14544,NA,19650.58091,482653.508,28389.27979,43,31713707.36,18225772.07,994835.2379,1963233975,NA
"9014-B",3300782,429039692,3960.0322,41230.05896,2772032,283693.000000001,238080.4019,1049224.004,6615.295028,372116631,442493456,1400510,425067.4068,30678,4572830,38922.9999999996,31687905,146579.9795,13823.37013,13676.39987,16837885.45,9406310,NA,1633,NA,24195956.78,287950.6795,NA,107757,11894765,295627713.9,340877945.3,57188,1125230.494,668464.8664,9437032.71,53377,2912,246532.8252,10160523,5231047.401,242678742.3,12760705,1274286.106,937949.5484,NA,11623037,31518.59031,24052.50073,77374.94668,809432,27446183.01,40315848.38,1881497.031,326288102.4,4113752
"9014-C",162891,1113793,5715.669447,28136.52739,NA,3735.00000000002,279755.9301,369719.2477,2421.012837,730121009,NA,5810,462779.3027,827.000000000007,NA,1341.99999999999,NA,233700.709,17624.81352,42029.86241,8972538.465,969655,NA,278,NA,30410161.32,157058.9595,NA,1392,NA,427052427.2,468940960.2,5372,445173.4814,799631.9516,24892270.23,2912,3669,590752.122,1551077,1898564.864,324817404.3,NA,702297.6395,1616245.979,107,471608,29512.96615,49064.99385,89004.70851,1255,34444934.15,61202582.77,1845707.416,416653358.4,171750
"9014-D",509943,24235309,736.7058123,16312.06045,NA,27062.9999999999,170680.5502,2031647.965,3076.244541,399555601,994425046,6171.99999999999,86658.75448,62516.9999999996,NA,12603.9999999999,30697517,293373.1788,24830.22141,22188.28485,13970643.87,3482502,716293402,711904,NA,2921094.546,65615.35028,41059766,752,616814,310407890.4,358877030.1,86330,1102406.826,547471.9734,13282584.29,3669,20245,93790.6143,6286043,11578139.48,237374492.5,15340367,121122.151,3226882.213,189,3816173,55259.1581,3749404.499,88702.11756,318,57803779.8,45935268.72,899308.7317,2741329527,3408344
"9002-A",2136932,757034797,NA,5597.121755,2373672,354156.999999998,508801.9569,7608242.927,911056.2142,200512180,254526414,729815.000000006,41938.20396,17001.0000000001,924837,6496.00000000002,16605728,3800170.909,89476.21028,10888.65353,373182424.9,5747549,1467740,1198,6787.314312,185664.6777,103876.468,6532801,153687,13826023,1311517406,1479660885,16172,2607848.604,1719640.602,844585.0321,6780,1064,32003.84896,4681329,972018.7348,1506762298,21007072,20969.10198,14225472.29,268,1431940,301645.4576,11349.71911,499035.1403,1152,386115906.9,237152568.5,153274.8203,925236173.7,3813003
"9013-A",840446,550863500,NA,5264.937229,2865004,668118.000000008,259028.509,5502177.894,460585.968,245269611,NA,1246471.99999999,20866.02812,63245.0000000005,NA,3909.00000000003,260375,1088829.076,57723.05127,3885.907833,393708573.2,10372466,1179578,NA,NA,506336.089,50921.48129,NA,552,5330467,554040227.4,671600066,7761,2872470.622,594493.8265,904843.5712,2808,1194,4569.676575,2859464,1397341.757,626562227.6,135809027,3996.722695,8637491.519,NA,2676271,192515.787,36810.23466,332371.5307,87,263752033.6,117778461.5,97120.60774,497302747.1,6727029
"9013-B",NA,1624535,295.6095327,3901.50836,NA,8546.00000000005,222885.8254,353378.6225,60646.71426,2552429516,NA,11004.0000000001,376787.6727,5501.00000000006,NA,1421,NA,207144.349,14522.49013,2941.583586,23026513.69,2241304,NA,182,NA,3209742.818,57057.47706,NA,NA,NA,446991633.9,467997790.3,3883,1749122.68,966440.545,13856120.14,1194,492,53322.58498,998002,1067419.686,307814620.4,NA,157637.8144,2525425.561,NA,2482624,28275.32054,133719.2409,43497.06159,18,51637138.21,60541288.61,1009708.106,386587931.7,4098027
"9008-B",1265009,95258018,1722.381226,25518.31043,1034516,516158.000000004,88424.69975,106632.96,4058.632654,259971259,250290161,228137.999999998,303848.0272,40225.9999999996,3712500,3662.00000000003,40377008,94985.53825,6979.752543,10459.96157,3962269.533,8607591,16667891,16423,NA,9435495.982,231530.5726,5089713,12548,2866936,134185177.1,158922441.6,36409,199375.6969,330731.0307,24045368.35,5548,751,178881.1326,1633526,2007518.296,113844364,15040695,380451.2947,1085733.377,1537,4745448,17465.49344,10492.18573,30429.27205,218436,18672565.27,26673032.51,1731136.529,118873493.2,5405443
"9008-C",929617,2793456,1232.117884,27684.36624,NA,56357.9999999999,112658.7335,565093.8128,15318.63625,789215458,NA,8045.99999999997,431419.464,4455.99999999998,NA,4516.99999999996,NA,89916.76106,7799.236595,21660.21473,10606626.24,3461356,NA,137,NA,10323115.22,141988.7081,NA,39,1429461,154787734.2,183075552.8,12882,401126.0708,444085.9143,24539656.13,751,1562,132557.7854,1456475,3361696.513,145885320.6,NA,279660.1308,921429.266,5,4189155,19725.02393,20908.41399,51314.57737,811,23584656.18,32497501.8,808486.5188,166999725.2,1439708
"9008-D",1411505,16188955,NA,8510.215702,NA,32277.9999999997,325188.6532,1076098.127,8087.97995,388835578,658925115,5534.99999999998,86072.75792,31209.9999999999,NA,4882.99999999996,22512250,225587.5701,13861.78319,620.3617578,38308007.08,6798980,368720669,345461,NA,1590316.313,50039.80849,9609918,20982,587889,371580494.2,413701177.5,67831,6487072.016,1411081.025,664808.5666,1562,2360,87286.95637,3478784,12651371.87,755108042.4,16396660,215001.9033,6359321.883,3255,1730051,29575.9904,21552.9698,124419.8841,236,35678169.09,263707510.7,1285910.32,2631347543,7608215
"9006-A",738908,29024586,NA,2080.011402,NA,670984.000000007,239994.3726,7022708.725,451247.8758,426431606,184174208,122266.999999999,45644.63831,11331.0000000001,NA,8334.00000000002,29937700,1272745.894,58923.85298,12998.29651,185782592.3,925457,1256188,1001,NA,98698.62002,62726.89675,1984507,7066,1167084,429574851.7,736740517.2,12053,4540879.889,498955.2851,4228151.037,1127,479,11014.62888,4169453,1871176.634,647384119.8,3014850,6617.296147,4466551.173,972,1115613,189177.5948,38614.58515,362277.9488,25830,294747044.1,138329007.3,647420.0287,591114387.8,2772756
"9002-C",251196,2762058,259.8851594,380.7034418,1345129,75100.0000000003,54958.4747,44182.36489,28.31678492,1616459676,NA,3449,128196.378,6476.99999999996,NA,5439,NA,34688.06153,3308.029741,28672.31789,2340891.976,1936536,NA,115,11833.26979,2749937.373,101027.996,NA,NA,NA,116787865,122010517.2,43278,152354.3711,215481.2943,28424807.8,1806,5949,95213.61615,2591993,1419376.957,77573191.08,NA,11195.19824,822452.2085,50,5365117,8614.595236,3395.497143,21940.47422,61,8455062.245,14932239.85,1295750.278,102180959.2,381891
"9006-B",1584030,434049268,1672.904659,1299.248582,NA,326693.000000003,91000.31499,77466.47559,372.027946,341030102,53967914,1083596.00000001,216586.2039,60667.9999999997,NA,12125,2662461,63557.35199,5494.128245,490.8815131,2073071.594,98249070,NA,62,NA,533266.6488,94494.28423,NA,365,8960709,159085855.2,169624234.6,18869,338253.1814,317439.154,663716549.1,479,508,74008.32523,2725772,4633517.707,122986187.8,286047730,639405.3263,1378168.978,NA,2239469,10166.86437,12056.31046,19941.34916,325,12148220.09,22134981.42,1603118.078,167328293.1,4913731
"9006-C",556804,2731471,3284.902521,1747.208255,NA,36754.0000000004,72353.42274,19866.70791,22.02098989,734743444,NA,5887.99999999997,121556.4934,16182.0000000002,NA,2134.99999999999,NA,64316.3906,3820.327161,1520.706645,1394170.891,3754371,NA,124,NA,407971.5547,91546.91753,NA,NA,NA,124362197.1,129668004.9,7527,150850.7017,229752.5376,748675046.1,508,5627,51777.63895,2008113,1929439.497,97448433.98,NA,448502.1304,819430.605,98,209954,8917.871736,15269.35439,22034.20249,62,11224280.38,18177078.25,779884.053,155408378.4,912946
"9013-C",167449,2006336,1737.76916,18385.27676,NA,7164.99999999996,191801.1128,396324.8508,46087.56389,2101062706,NA,2464.00000000001,627229.2086,1020.00000000001,NA,486.999999999996,NA,458059.2149,12562.14527,41588.39242,11352335.83,924359,NA,42,NA,4567853.476,117793.4675,NA,9,NA,399000073.1,404951506,4132,948284.3535,759367.2956,324953063.2,492,5757,144174.0872,900394,4576052.857,315251692.9,NA,198971.13,1576691.944,NA,1002454,40763.06669,48099.29534,87845.60659,31,36798710.87,55345525.65,1673448.776,390015326.2,1528230
"9013-D",4741556,10853573,5968.721499,14889.91955,NA,308515.999999998,100175.3613,547866.1406,18623.55891,857057512,406845535,2830,238053.7845,24441.9999999998,NA,9495.99999999989,1081232,168214.6415,91874.3109,5492.052768,3616951.17,1734686,28323217,31581,NA,3035568.363,106859.883,5370403,8555,NA,115422302.6,145102989.8,237211,617757.8925,338469.8715,2004897.378,5757,10245,423925.8937,5972294,1732564.894,142374259,3069313,138992.7758,558469.23,1169,NA,16860.36287,1269705.208,36328.85297,13475,23842440.64,35638614.33,798386.6457,2031456667,812770
"9013-E",2401643,27338294,4505.005751,152375.8646,2927783,104553.000000001,181576.587,203846.8499,60810.3282,512216809,975870801,13147,122078.4064,47909.0000000001,NA,7191.00000000007,59147026,303453.0448,31868.51424,7338.499023,2159691.472,20207925,896148012,1216416,NA,24320983.99,101907.3726,4772360,2389,576287,173210550,222165775.3,68279,140884.4752,293573.1012,21781977.25,10245,26896,259367.1621,7116418,2860407.316,174549250.2,18041136,51711.25222,1332527.884,492,1871682,23021.0972,1812465.306,38096.81415,1592,101592071.9,35226017.36,1341367.016,2109888307,1737384
"9010-A",1144386,142139996,793.2126603,3642.303032,NA,190507.000000002,209435.1223,7100024.938,526283.1101,280233252,407581392,506874,86179.58774,29120.0000000001,3382253,9511.00000000009,15411224,1605235.792,74205.85377,70152.3752,648852171.5,4990774,2960864,3502,NA,224676.6766,46394.84662,424771,78077,11053362,297562881.4,422959698.4,29915,4399320.373,318237.9985,2007612.61,2845,2476,13001.13322,4295156,1542677.754,763201929.8,8058034,16166.42946,4735513.037,2042,4680068,219534.2844,39159.8838,372419.2796,155,282587683.6,143894815.8,424677.4247,454417579,12451056
"9010-B",1655857,98854661,3458.038416,1292.692019,1108990,340590.999999998,274164.7349,68218.3016,13313.21519,206767541,246529557,552084.999999997,823306.3549,27817.9999999998,2873703,13169.9999999999,12498007,278374.4196,15058.52395,119593.2102,16724445.59,23941745,1955171,1978,NA,6521600.984,123963.4633,2431899,28004,18611629,472422216.2,590111164.2,7774,1001345.301,1063544.615,607552249.9,2476,982,48604.52179,6175961,2780608.458,398056332.1,43021465,1420787.21,2493784.417,460,3977596,36547.9289,22113.06195,70632.64538,86,54483844.5,73348946.19,4125146.619,378285376.8,3383256
"9010-C",486713,2350096,2774.30016,2196.761925,NA,76559.0000000001,142001.0796,69287.95752,452.8081188,1163696365,NA,1877.00000000002,273107.5505,16621,NA,2746.99999999999,NA,147809.7233,7231.322979,109469.1975,11042575.65,4196310,NA,126,NA,6037044.967,78097.68342,NA,NA,NA,194602274.8,235048668.3,2127,725316.2088,471134.3746,22658528.09,982,7718,33474.53943,1456770,4326215.7,153358102.9,NA,498635.4754,1014988.675,16,1109777,26566.75881,8289.639116,56764.29791,NA,21332149.55,31264287.75,1308345.593,178052136.5,388082
"9010-D",2042580,16245698,NA,7584.598608,NA,4117.99999999998,491045.0563,6639710.799,343294.6865,688683892,160774968,65257.9999999998,113189.5216,10647.0000000001,NA,7265,9893701,823924.0342,84721.0479,12478.51284,186548982,6827628,4257058,4019,NA,2001200.943,54778.91202,1813663,3082,317505,812558576.9,880794361.7,142512,8920356.343,756818.3335,753619.2115,7718,12081,6271.538177,2033526,7663006.959,1187420257,7376102,13373.52453,10082997.51,7249,2991099,10276.89707,75209.22844,49022.26785,629,190054316.7,321346268.9,209809.6248,1025536275,NA
"9010-E",2139565,25031162,NA,5562.072081,NA,5829.99999999995,313474.7607,7023724.205,733057.0681,408867353,768661343,41271,46800.77903,16598,NA,8185,47862868,2001933.003,70221.05424,9459.668917,536496273.9,68070810,9379940,9066,NA,1503870.731,60383.13396,6445846,3293,373112,444777673.1,560516442.2,101348,3818141.202,375756.7673,1065376.701,12081,2808,6172.182224,4164842,4879158.281,886710989.9,9985662,6161.181625,8192562.385,8388,5597516,290752.6004,49054.20942,606043.3062,2590,438118816.8,252831035.3,34643.42476,660495809.9,158874
"9006-D",953823,42658304,1578.437751,32963.82408,NA,165661.000000001,64638.19947,453156.8626,979.9223214,396849522,386026197,6658.00000000002,275293.6265,43895.0000000001,NA,7682.99999999997,20959508,113895.4326,5775.380508,66492.42375,2951967.584,8804542,159806695,190394,NA,17192745.93,98430.85007,6181582,12110,1269500,77358808.77,94378616.02,29353,214585.385,168810.6902,9800895.537,5627,8919,141905.3679,7564858,3385244.346,68061913.11,34669536,158275.0583,1152195.013,3176,NA,12850.47835,936400.8612,25874.05674,111,10881983.1,19446821.05,468537.829,2558267665,5056229
"9006-E",1364965,327253980,1121.822228,21078.9156,2653956,57444.9999999994,134558.4115,685504.2703,579.5195394,500728960,738059632,12092,38147.27243,72414.0000000005,362029,7622.99999999998,32166679,111866.7656,37255.84024,90119.71895,4110820.967,7906004,209887901,241838,NA,4057466.18,111868.5379,7442589,17936,1283300,106518016.5,137437381.2,10499,205577.0246,237943.2795,5066849.211,8919,2048,77799.16899,7782301,1256293.8,113215020.5,24278594,79443.79937,8994752.899,2868,NA,17816.23832,817453.9577,37608.51421,1743,16923680.75,29944504.76,1020140.474,2279730338,1671048
"9005-A",1337881,77785207,202.616271,2623.009734,NA,111782,156302.4088,6934529.956,614007.0641,330326546,349221591,42716,46989.55537,42204.0000000003,NA,12959,18985085,1556294.661,69568.89257,17131.61828,495800598.6,5748036,2539220,2607,NA,227396.8827,47997.13583,NA,3223,3322051,368325401.5,465378884.1,34714,3957779.717,302788.4718,5620619.364,10189,2782,16574.19433,6765651,881234.0883,811365946.1,12256555,9002.213416,4098227.632,798,546516,201716.8748,127645.5003,381867.4937,2207,314235840.1,180530897.6,126816.6989,504936812.9,6200153
"9005-B",2184875,744464462,461.3909681,2624.614067,1744380,940530.999999998,162820.2829,1086212.173,43020.48037,276681500,119304340,1981796,151853.1887,99894.0000000006,1656322,27740.0000000003,8974530,167757.8909,18560.71991,18118.65422,24463635.18,89601312,NA,81,NA,1514716.353,65664.8727,NA,301,3808830,161204827.5,204970052.1,75280,660214.2405,378077.287,131905008.1,2782,868,26593.99564,10260822,6437456.025,194534717,166721574,64446.17247,3080725.612,182,3654322,24772.58837,646041.5661,47886.82647,99,29379737.82,25136230.88,408421.594,953242778.3,2248319
"9005-C",751482,2261336,1398.46311,5254.910292,NA,22119,353164.65,1191491.441,60386.59555,1456553405,NA,1207.99999999999,273365.9924,10491.0000000001,NA,1793.99999999999,NA,225498.4734,13278.86467,70463.37179,16456736.6,5814008,NA,62,NA,1597294.068,76325.58974,NA,12,NA,526813571,584835968.4,8288,931860.8835,929152.8315,3372625.996,868,3045,64795.45744,2494715,3714868.693,599343600.3,NA,106657.8625,2508955.22,16,1643234,35198.57587,35722.23713,80226.47407,NA,113756741.8,73228426.12,1225071.111,1067045180,966388
"9040-E",3350898,25413535,1195.237249,7769.697405,1505088,4201.99999999996,222464.1883,1175098.419,14372.33475,255132799,839548568,19769.0000000001,397860.6677,142190.999999999,NA,8101.00000000002,25632848,382257.7104,35748.99569,92853.02796,32372271.57,12620708,269874420,394515,NA,2929603.822,67996.81122,17892084,9322,1000162,441200174.8,493026317.2,46254,1473964.086,660029.1434,154417742,8051,6241,68066.92656,5076948,6746200.808,464245535,7552636,129322.1803,4460051.386,4710,5118526,58503.06271,606305.7191,110756.6859,424,117061358,83092020.74,3628662.31,796506407.7,2086904
"9038-A",NA,84800341,10.6854177,3498.138618,1476166,212513.000000002,294930.2173,5748232.47,494730.1644,2846366635,NA,46137.9999999999,153190.8229,1513.00000000001,NA,2070.00000000001,NA,1521121.3,74851.35095,5293.288791,513312960.6,2751759,NA,29,NA,372926.4203,34986.72889,NA,13,NA,721506286.6,797416688,10288,3379258.003,713214.9,1382938.814,1539,1523,5439.545445,999420,2718578.627,779833648.9,12281262,7871.14581,7933903.271,4,1202965,257636.7739,93121.4117,525515.5206,87,334816225.6,175111110.5,1477284.374,719365127.9,3541767
"9038-E",1029528,41365205,2080.786964,14553.97794,NA,1466,80982.97074,768273.7187,61.84706846,1388039716,471364757,25760.9999999998,47131.65919,54604.0000000003,875774,13509.0000000002,24401803,98032.84479,5146.934002,73060.25645,8633810.923,10448467,298744880,353471,NA,7600943.915,84404.47636,5613488,8856,994741,100931919.8,138070216.5,316410,189317.0213,243200.4935,27659802.58,4772,957,78198.80441,7781721,1213169.033,104366280.2,16176154,302532.7973,758997.7067,716,1127720,12308.61488,25632.98924,22752.38341,22414,15668384.54,20596921.87,1523065.825,2819750158,NA
"9037-C",738246,2354113,1088.903678,3123.454836,NA,202662,119451.4027,36124.04683,NA,1986490359,NA,7350.99999999997,253013.1497,9616.99999999997,NA,2496.00000000002,NA,53982.53685,6954.579639,566265.1397,8740465.434,1754576,NA,146,NA,901380.5307,92374.41542,NA,NA,NA,178593227.8,191193736.2,9232,432596.1463,412041.6216,1119244253,670,2746,68896.83798,1431461,9830431.4,121040434.9,NA,328755.7552,1077640.453,6,878701,13246.89292,324602.1082,42731.05405,313,24362458.46,26250076.51,2574852.481,191882763.3,384238
